,UNC5B (219699)
ACH-000004,-0.2220778618759864
ACH-000005,0.18918184343395603
ACH-000007,-0.1430024011835023
ACH-000009,-0.09512062433050528
ACH-000011,-0.11524306516362888
ACH-000012,-0.18375973864381734
ACH-000013,-0.07719403511166031
ACH-000014,-0.2286177720866438
ACH-000015,-0.2409018353473752
ACH-000017,-0.2822130586508161
ACH-000018,-0.2832581249803853
ACH-000019,-0.3013052602252427
ACH-000021,-0.09230466437860137
ACH-000022,-0.19757643200553146
ACH-000025,-0.22713206941395295
ACH-000028,-0.17849613743017334
ACH-000030,-0.4533467329293416
ACH-000035,-0.19824295295073185
ACH-000036,-0.18206772851116051
ACH-000037,-0.14903244385148906
ACH-000039,-0.24282615574639135
ACH-000040,-0.2678547938323767
ACH-000041,-0.17809319873046425
ACH-000042,-0.14561871506271507
ACH-000045,-0.10868880524262638
ACH-000047,-0.11494324855057965
ACH-000052,-0.35745720997839675
ACH-000053,-0.09727084743250047
ACH-000054,-0.1156311981472966
ACH-000055,-0.07183624860224308
ACH-000060,-0.4051244465365063
ACH-000067,-0.33253702055641154
ACH-000070,-0.0018555380061219145
ACH-000075,-0.14270621639631245
ACH-000078,-0.27494388262612723
ACH-000082,-0.16040344121628275
ACH-000085,-0.2831908593230341
ACH-000086,-0.2874931632015111
ACH-000087,-0.13975570201638954
ACH-000092,-0.09743829720847502
ACH-000095,-0.16768922608380052
ACH-000097,-0.11604204023905375
ACH-000098,-0.1795081584164283
ACH-000099,-0.033681643229854445
ACH-000108,-0.211466257170606
ACH-000113,-0.19008487400382812
ACH-000116,-0.2395666483561508
ACH-000118,-0.1915069704868899
ACH-000120,-0.026384329446263288
ACH-000123,-0.08702044698108076
ACH-000127,-0.2593542300691287
ACH-000128,-0.06375485741350148
ACH-000132,-0.12253155324199785
ACH-000133,-0.15632777988008295
ACH-000137,-0.031906359958924914
ACH-000138,-0.1249425813895911
ACH-000142,-0.2361670450732129
ACH-000143,-0.2839423817194139
ACH-000146,-0.1720492996655221
ACH-000148,-0.12317060392293833
ACH-000150,-0.15278693954969513
ACH-000152,-0.2177543676015211
ACH-000153,-0.14022202922671306
ACH-000159,-0.13902211545522716
ACH-000160,-0.15045215113502636
ACH-000163,-0.26641891554696706
ACH-000167,-0.2214934129878142
ACH-000168,-0.1879745030137766
ACH-000169,-0.1810211280252234
ACH-000178,-0.206148725644633
ACH-000183,-0.23596229413816924
ACH-000188,-0.2415824374227284
ACH-000189,-0.2333961920138201
ACH-000190,-0.03865811301833949
ACH-000198,-0.04590979047480325
ACH-000203,0.002929619700525503
ACH-000204,-0.3770743248690498
ACH-000206,-0.16307603559291015
ACH-000207,-0.19150839949290605
ACH-000208,-0.17073033188491227
ACH-000210,0.07233965400561371
ACH-000211,-0.1689291878583456
ACH-000215,-0.20677685372956806
ACH-000221,-0.22199121062519636
ACH-000222,-0.10072030391416327
ACH-000223,-0.3252560288193384
ACH-000226,-0.2232394046840739
ACH-000227,-0.10696001845284712
ACH-000228,-0.2356332705102989
ACH-000231,-0.21891927305252795
ACH-000232,-0.1904988640066604
ACH-000233,-0.11750957694658448
ACH-000234,-0.2438093687078802
ACH-000235,-0.13717216287977652
ACH-000237,-0.2496306334352019
ACH-000238,-0.16164837510409655
ACH-000242,-0.006373651509216406
ACH-000243,-0.12643839199696552
