,SNAPC5 (10302)
ACH-000004,-1.3718996223175104
ACH-000005,-1.482452962723234
ACH-000007,-1.0538700738011626
ACH-000009,-1.2536044761550544
ACH-000011,-1.166265079289231
ACH-000012,-1.2626206260560864
ACH-000013,-1.1001994417928318
ACH-000014,-1.0357762824021892
ACH-000015,-1.3050153501443096
ACH-000017,-1.157213566466852
ACH-000018,-1.2152733251035035
ACH-000019,-0.7345523344264242
ACH-000021,-0.8703340518135567
ACH-000022,-1.112786825320958
ACH-000025,-1.278689482097612
ACH-000028,-1.1842880659203536
ACH-000030,-1.2880628851757394
ACH-000035,-1.1503802067903608
ACH-000036,-1.0572563549651206
ACH-000037,-1.428165681436369
ACH-000039,-1.3506937340693999
ACH-000040,-1.177768568173286
ACH-000041,-1.468254388917565
ACH-000042,-1.1701748430211243
ACH-000045,-1.2515015989718596
ACH-000047,-1.0458470684086447
ACH-000052,-1.2371425907199851
ACH-000053,-1.053596341024885
ACH-000054,-1.009668068160743
ACH-000055,-1.2308742811994429
ACH-000060,-1.1992335313849831
ACH-000067,-1.222790316862505
ACH-000070,-0.9866519615265668
ACH-000075,-1.2488051520245744
ACH-000078,-1.271163452033491
ACH-000082,-1.0488411136448466
ACH-000085,-0.9948473884791468
ACH-000086,-1.0070332279638954
ACH-000087,-1.3197322042350923
ACH-000092,-1.1937654577216985
ACH-000095,-0.8788685168384859
ACH-000097,-1.21317846058653
ACH-000098,-1.1430476158763316
ACH-000099,-0.8570522162362468
ACH-000108,-1.3364317333958369
ACH-000113,-1.192887688383721
ACH-000116,-1.466108187586222
ACH-000118,-1.215400594062719
ACH-000120,-1.1095514560443485
ACH-000123,-0.9729035061303876
ACH-000127,-1.098718342642332
ACH-000128,-1.0469888474474254
ACH-000132,-1.1752799303871813
ACH-000133,-1.238548905863286
ACH-000137,-1.1634588339056362
ACH-000138,-1.1275363684958553
ACH-000142,-1.2391230841453564
ACH-000143,-1.080640283297067
ACH-000146,-1.296434988805068
ACH-000148,-1.5502917414124953
ACH-000150,-1.2052876957250735
ACH-000152,-1.1885236060111328
ACH-000153,-1.4207439175707346
ACH-000159,-1.0954656791940596
ACH-000160,-1.0314660524552528
ACH-000163,-1.4081498430716806
ACH-000167,-1.795597353448355
ACH-000168,-1.3250330183496413
ACH-000169,-1.0942127842968925
ACH-000178,-1.1408821703785923
ACH-000183,-1.2989772061880396
ACH-000188,-1.2796631210446103
ACH-000189,-0.9167480155167468
ACH-000190,-1.387393256821512
ACH-000198,-1.1641791955255527
ACH-000203,-0.8809024764764612
ACH-000204,-1.1698699009902842
ACH-000206,-1.0796575239162034
ACH-000207,-1.2808148470898315
ACH-000208,-1.172318397718254
ACH-000210,-1.1329059617342436
ACH-000211,-1.3254427800230753
ACH-000215,-1.1319839995249474
ACH-000221,-1.168976812495256
ACH-000222,-1.2559467295876736
ACH-000223,-1.2094334535005655
ACH-000226,-1.1285316620503274
ACH-000227,-0.7294782071001349
ACH-000228,-1.0968391352899598
ACH-000231,-1.2514913856195231
ACH-000232,-0.9957498889499046
ACH-000233,-1.3093966583249843
ACH-000234,-1.09079250591555
ACH-000235,-1.0615579039572849
ACH-000237,-1.391712395510566
ACH-000238,-1.1511893718239852
ACH-000242,-1.102201956750121
ACH-000243,-1.4666546897269497
ACH-000244,-1.07439958354896
ACH-000246,-1.0748084016429134
ACH-000248,-1.2285933211147866
ACH-000250,-0.9419837663184684
ACH-000251,-1.2329528015943587
ACH-000252,-1.0640859015043036
ACH-000253,-1.116158017946498
ACH-000255,-1.2923444792827683
ACH-000256,-1.2148746158924173
ACH-000257,-1.0336312293610208
ACH-000258,-0.7806695671518157
ACH-000259,-1.1483244261985095
ACH-000260,-1.2572632070046943
ACH-000261,-1.273330652010639
ACH-000262,-1.2504343597089589
ACH-000263,-1.2822368351122897
ACH-000264,-0.8477202866373053
ACH-000265,-1.1179625561294595
ACH-000266,-1.2940754543667472
