,APOPT1 (84334)
ACH-000004,-0.07050056470481299
ACH-000005,0.3124814221286259
ACH-000007,-0.037246053479694084
ACH-000009,-0.10038455880660244
ACH-000011,0.003066926125994036
ACH-000012,-0.08867196832325086
ACH-000013,-0.14308324950051893
ACH-000014,0.1296989016236752
ACH-000015,-0.12025772428553527
ACH-000017,-0.11455351359515055
ACH-000018,-0.220251543330486
ACH-000019,-0.2692241631783384
ACH-000021,-0.007957494370284987
ACH-000022,-0.0037255730105452407
ACH-000025,-0.016493532273279734
ACH-000028,-0.15716720667280776
ACH-000030,0.022146847615984497
ACH-000035,0.011982513020639558
ACH-000036,-0.06384911805741611
ACH-000037,-0.0831452652808391
ACH-000039,-0.18597946028896514
ACH-000040,-0.1815365686465452
ACH-000041,-0.1664450739317313
ACH-000042,-0.12746211919845848
ACH-000045,-0.06967668322600505
ACH-000047,-0.09677153168207524
ACH-000052,0.0542556491855532
ACH-000053,-0.1929777854438075
ACH-000054,-0.08159914961257292
ACH-000055,-0.18889173095822634
ACH-000060,-0.18475689696312925
ACH-000067,-0.054031302499272515
ACH-000070,0.06217640929821235
ACH-000075,-0.3023972070219872
ACH-000078,-0.2110137314323835
ACH-000082,-0.2044851253454662
ACH-000085,-0.01971787767895667
ACH-000086,-0.05251428511793959
ACH-000087,-0.11399654419088087
ACH-000092,-0.0981802770228048
ACH-000095,-0.27202403008600423
ACH-000097,-0.32221126111260523
ACH-000098,-0.18585771951396268
ACH-000099,-0.1246313743686408
ACH-000108,-0.06789574138659821
ACH-000113,-0.17490536016169864
ACH-000116,-0.20876662236442795
ACH-000118,-0.10393976615885757
ACH-000120,-0.09707348969127873
ACH-000123,0.07819193680374865
ACH-000127,-0.09909149032289892
ACH-000128,-0.09429288124728204
ACH-000132,-0.056076602448733234
ACH-000133,-0.1777563242646833
ACH-000137,0.002198171741180229
ACH-000138,-0.11229529276316556
ACH-000142,-0.07838575401033662
ACH-000143,-0.07385474231404089
ACH-000146,-0.06361590389104435
ACH-000148,-0.16534070237956044
ACH-000150,-0.2407161335557491
ACH-000152,-0.1401416017832052
ACH-000153,0.12800870278851015
ACH-000159,-0.046788120948585775
ACH-000160,-0.1961592244931328
ACH-000163,-0.2683180781504744
ACH-000167,0.09013344994724988
ACH-000168,-0.14150838188438838
ACH-000169,-0.13364292079973591
ACH-000178,-0.1492081724487878
ACH-000183,-0.08660696860634128
ACH-000188,0.0031088762641070283
ACH-000189,-0.1855671731882747
ACH-000190,-0.16599500297122013
ACH-000198,-0.17848329616483138
ACH-000203,0.011934180924599316
ACH-000204,-0.18729270066061834
ACH-000206,-0.22606997865196976
ACH-000207,-0.2605149492311061
ACH-000208,-0.24214333809635555
ACH-000210,-0.15700555383171153
ACH-000211,-0.21260674174731056
ACH-000215,-0.1131867654519899
ACH-000221,-0.20657471515146855
ACH-000222,-0.1455934416965803
ACH-000223,-0.027248135758619625
ACH-000226,-0.10343394551541917
ACH-000227,0.0035814122097421533
ACH-000228,-0.09225752705989612
ACH-000231,-0.07844281354395065
ACH-000232,-0.0172827088359142
ACH-000233,-0.1944075802857835
ACH-000234,-0.2116748962826227
ACH-000235,-0.05313508133542465
ACH-000237,0.029857483944578943
ACH-000238,-0.4737942374051538
ACH-000242,-0.2604911329146909
ACH-000243,-0.04658861729639079
ACH-000244,-0.1447945501162202
ACH-000246,-0.25120782716366685
ACH-000248,-0.10646155496942994
ACH-000250,-0.10243684883250978
ACH-000251,0.16480361609810856
ACH-000252,-0.021351120607059616
ACH-000253,-0.013453071566995187
ACH-000255,0.030358595126603858
ACH-000256,-0.17643081253824947
ACH-000257,-0.15021839244598814
ACH-000258,-0.087121993221587
ACH-000259,-0.08094823917976159
ACH-000260,-0.08338158739271985
ACH-000261,-0.11216268614796106
ACH-000262,-0.022670816482185198
ACH-000263,-0.2578561375160308
ACH-000264,-0.0774692648276086
ACH-000265,-0.04437212816475365
ACH-000266,-0.20388677352810325
ACH-000272,-0.07230361978202543
ACH-000274,-0.084297811100691
ACH-000277,-0.2662160245674547
ACH-000278,-0.17548140731551226
ACH-000279,-0.11483932033422252
ACH-000280,-0.29758967784514434
ACH-000281,-0.17234215862699032
ACH-000288,-0.10602632089948193
ACH-000291,-0.018006266407003615
ACH-000293,-0.18331450082033046
ACH-000294,-0.1427768583993257
ACH-000295,0.057405501176542764
ACH-000296,0.054605273698114604
ACH-000302,-0.0074160802019022564
ACH-000304,-0.21818981664371528
ACH-000307,-0.1279385815306637
ACH-000308,-0.10532076535183693
ACH-000310,-0.3361396534786349
ACH-000311,-0.14573921691851136
ACH-000312,-0.2266384907707493
ACH-000315,0.034070044089950034
ACH-000316,-0.06690951882273151
ACH-000317,-0.028502499619483517
ACH-000318,-0.040577748511258345
ACH-000319,0.0021398340100514017
ACH-000320,0.057507727683955165
ACH-000322,0.029604811262157162
ACH-000323,0.03271661810036032
ACH-000324,-0.15039744426059726
ACH-000329,-0.16721455202806204
ACH-000330,-0.2669862783607734
ACH-000331,-0.1022254323848954
