,CAPNS1 (826)
ACH-000004,-0.0721803432816867
ACH-000005,-0.30428434305916985
ACH-000007,-0.17676081333238308
ACH-000009,-0.22422684059532705
ACH-000011,-0.11531335265200082
ACH-000012,-0.4531446015119043
ACH-000013,-0.3978945073586475
ACH-000014,-0.14965303920145756
ACH-000015,-0.28777749188267504
ACH-000017,-0.3751439922380293
ACH-000018,-0.10510003475026787
ACH-000019,-0.1868003274419547
ACH-000021,-0.1980242622806054
ACH-000022,-0.14623987566743746
ACH-000025,-0.072960806469095
ACH-000028,-0.2700619403004613
ACH-000030,-0.17119115410079722
ACH-000035,-0.14893725864366467
ACH-000036,-0.09309125342680327
ACH-000037,-0.07637561397846616
ACH-000039,-0.09525602796461972
ACH-000040,-0.004959431023470957
ACH-000041,-0.2423294510379121
ACH-000042,0.002359904255740247
ACH-000045,-0.34541097392472314
ACH-000047,-0.19506250245095927
ACH-000052,-0.23299651514405284
ACH-000053,-0.24139886295297386
ACH-000054,-0.20271105456544564
ACH-000055,-0.1898773919159752
ACH-000060,-0.1269681268623786
ACH-000067,-0.13365099424025834
ACH-000070,-0.14090664586060242
ACH-000075,-0.1864099763685457
ACH-000078,-0.17091067929348733
ACH-000082,-0.1936418961045866
ACH-000085,-0.2115166106742861
ACH-000086,-0.20769641217862336
ACH-000087,-0.16472727497598802
ACH-000092,-0.2482095204435804
ACH-000095,-0.16760519255856887
ACH-000097,-0.26144167405117663
ACH-000098,-0.1550809609250099
ACH-000099,-0.13593430706057266
ACH-000108,-0.0496413698529687
ACH-000113,-0.16151264836607754
ACH-000116,-0.0605210440840368
ACH-000118,-0.1600390222258577
ACH-000120,-0.09236061873645313
ACH-000123,-0.15400472826336187
ACH-000127,-0.2378400065699916
ACH-000128,-0.11652466145117199
ACH-000132,-0.019465834836923254
ACH-000133,-0.25149764651733303
ACH-000137,-0.4597013179667382
ACH-000138,-0.27853699040160024
ACH-000142,-0.24750764141126655
ACH-000143,0.009854903581379387
ACH-000146,-0.2903203696080671
ACH-000148,-0.17552098903189434
ACH-000150,-0.1152937026481268
ACH-000152,-0.1867510342117505
ACH-000153,-0.2414740761693783
ACH-000159,-0.1440232431140874
ACH-000160,-0.16763059468066482
ACH-000163,-0.1975687561682789
ACH-000167,-0.04198587475425407
ACH-000168,0.008560433539064948
ACH-000169,-0.12875358977991552
ACH-000178,-0.09820608506091102
ACH-000183,-0.2030934305740767
ACH-000188,-0.11922781922188985
ACH-000189,0.09508549659639952
ACH-000190,-0.4210190050662254
ACH-000198,-0.09317514891959924
ACH-000203,-0.8727306963896019
ACH-000204,-0.23777833808543464
ACH-000206,-0.1221371773243292
ACH-000207,-0.2613774896661469
ACH-000208,0.21427159939876986
ACH-000210,0.039085059687451566
ACH-000211,-0.07215470087623084
ACH-000215,-0.20627742132407048
ACH-000221,-0.39675986809605457
ACH-000222,0.019452098581414112
ACH-000223,0.04040751472752328
ACH-000226,-0.1461796675722143
ACH-000227,-0.4271248379730221
ACH-000228,-0.1416363596723072
ACH-000231,-0.07018802444508895
ACH-000232,-0.2740862041182496
ACH-000233,-0.06867014315412992
ACH-000234,-0.24628008959006914
