,SPRED3 (399473)
ACH-000004,-0.06377129554506278
ACH-000005,-0.1128590158855049
ACH-000007,-0.3083606859774297
ACH-000009,-0.227285665669206
ACH-000011,0.05805011337086392
ACH-000012,-0.0076732539868469
ACH-000013,-0.41730826788816505
ACH-000014,0.053486547619698004
ACH-000015,-0.06469919762875702
ACH-000017,-0.06437988224086046
ACH-000018,-0.4283323271186179
ACH-000019,-0.09694969543658892
ACH-000021,-0.101100673949436
ACH-000022,-0.18449677340181206
ACH-000025,0.04427548376664723
ACH-000028,-0.031369916514632425
ACH-000030,-0.17759223638077334
ACH-000035,-0.3579259961461737
ACH-000036,-0.2173131822163863
ACH-000037,-0.11344036141669113
ACH-000039,-0.07811736338784966
ACH-000040,-0.08926911828387267
ACH-000041,-0.18091486124102135
ACH-000042,-0.04669416675496173
ACH-000045,0.02905119678902555
ACH-000047,-0.07466366694475629
ACH-000052,-0.04160821177758179
ACH-000053,-0.1317525529697619
ACH-000054,-0.00784885379611319
ACH-000055,-0.2808537009694091
ACH-000060,-0.037763390439074666
ACH-000067,-0.1246344183065356
ACH-000070,-0.07791802099229822
ACH-000075,-0.2803861322734251
ACH-000078,-0.07410305863153319
ACH-000082,-0.07848250092862344
ACH-000085,0.06326811759455507
ACH-000086,-0.11861468258877272
ACH-000087,-0.005757011202532562
ACH-000092,-0.13344652587573405
ACH-000095,-0.1502097051481437
ACH-000097,-0.19954380173650865
ACH-000098,-0.0349025785693202
ACH-000099,-0.034126410400022136
ACH-000108,-0.09905155174401928
ACH-000113,-0.004418413172607907
ACH-000116,-0.06777866795624488
ACH-000118,-0.028779963727417868
ACH-000120,-0.13608245924619108
ACH-000123,-0.15021295819510092
ACH-000127,-0.005007906247814721
ACH-000128,-0.17505273175762412
ACH-000132,-0.010945776404979323
ACH-000133,-0.12797614495493806
ACH-000137,-0.16540377189997973
ACH-000138,-0.11233690646875072
ACH-000142,-0.11591347626798265
ACH-000143,-0.034229317474644735
ACH-000146,0.016740367538540985
ACH-000148,-0.051586049737382636
ACH-000150,-0.02524708240844853
ACH-000152,-0.2513592864773266
ACH-000153,-0.14854416888703226
ACH-000159,0.005181577686906797
ACH-000160,-0.09357082979726347
ACH-000163,-0.20404369847883425
ACH-000167,0.6129861446134433
ACH-000168,-0.19396586225713994
ACH-000169,-0.048363376221489736
ACH-000178,-0.01693681613269958
ACH-000183,-0.1393186526349259
ACH-000188,-0.21611689439757886
ACH-000189,-0.02581987810607794
ACH-000190,-0.3536781327172591
ACH-000198,0.058328705670538925
ACH-000203,0.3745846146961229
ACH-000204,-0.19137661868266664
ACH-000206,0.02190139501748464
ACH-000207,-0.02125605745152356
ACH-000208,-0.0782777532367094
ACH-000210,-0.41018012438427853
ACH-000211,-0.0378580430657948
ACH-000215,-0.12307022431649725
ACH-000221,-0.03628325280365646
ACH-000222,0.05697774467273053
ACH-000223,-0.022469897869566373
ACH-000226,-0.2242246021288631
ACH-000227,-0.1086022291645297
ACH-000228,-0.27483930865465445
ACH-000231,-0.04220172528916537
ACH-000232,-0.15525488152915842
ACH-000233,-0.22693513047750424
ACH-000234,-0.15422620848164664
ACH-000235,-0.1348497017569351
ACH-000237,0.011168335510842205
ACH-000238,0.06574749278761938
ACH-000242,-0.15428932032378773
ACH-000243,-0.011304630225505943
ACH-000244,0.20243373593470296
ACH-000246,-0.009213797752684131
ACH-000248,-0.08141397666189125
ACH-000250,-0.10206295461575624
ACH-000251,-0.5922407307880173
ACH-000252,0.0769550056244266
ACH-000253,-0.19259984961330756
ACH-000255,-0.1858166887031948
ACH-000256,-0.11801213792990735
ACH-000257,-0.097689531259033
ACH-000258,-0.09235121721330422
ACH-000259,-0.18553482619376066
ACH-000260,-0.19459876077692034
ACH-000261,-0.07671918927458661
ACH-000262,-0.2088520110865915
ACH-000263,0.08158588469131041
ACH-000264,-0.054229629627672034
ACH-000265,-0.02077825569292373
