,TMOD4 (29765)
ACH-000004,-0.25174413102644144
ACH-000005,-0.5060347581861538
ACH-000007,-0.38938705849790095
ACH-000009,-0.2945236712221827
ACH-000011,-0.2648524408258681
ACH-000012,-0.265970708359949
ACH-000013,-0.2871827984466665
ACH-000014,-0.32809282470419376
ACH-000015,-0.15467857246400912
ACH-000017,-0.20873538783605464
ACH-000018,-0.0908670096865665
ACH-000019,-0.1556741097222242
ACH-000021,-0.18569830166897414
ACH-000022,-0.15159705582723354
ACH-000025,-0.2585153755073208
ACH-000028,-0.12814714332627142
ACH-000030,-0.16612897563101325
ACH-000035,-0.2639891961226462
ACH-000036,-0.17904354877119616
ACH-000037,-0.1400388279555053
ACH-000039,-0.2403540484471713
ACH-000040,-0.1808153402599108
ACH-000041,-0.14339377027105393
ACH-000042,-0.05735313354915659
ACH-000045,-0.1958501820453584
ACH-000047,-0.27955402638400123
ACH-000052,0.022257349745492996
ACH-000053,-0.293207077569948
ACH-000054,-0.07469740021382619
ACH-000055,-0.2883446752702168
ACH-000060,-0.03767081839224353
ACH-000067,-0.346183784276462
ACH-000070,-0.1663065356975774
ACH-000075,-0.26333560294435165
ACH-000078,0.005105987831573164
ACH-000082,-0.17431948652885998
ACH-000085,-0.05463764140907814
ACH-000086,-0.31992621784824715
ACH-000087,-0.11546782502616558
ACH-000092,-0.20799840594938804
ACH-000095,-0.15877844590605866
ACH-000097,-0.23000845297910774
ACH-000098,-0.3028267235586556
ACH-000099,-0.0654643944514473
ACH-000108,-0.35274336626213393
ACH-000113,-0.2077256680829872
ACH-000116,-0.1535476285380391
ACH-000118,-0.16175378068515425
ACH-000120,-0.2721468544351001
ACH-000123,-0.23953705175757214
ACH-000127,-0.08836308572096342
ACH-000128,-0.1356842284023955
ACH-000132,-0.20721770707885948
ACH-000133,-0.4141406294385479
ACH-000137,-0.1497948856858304
ACH-000138,-0.11140846878471793
ACH-000142,-0.2807941724549637
ACH-000143,-0.12841770676146236
ACH-000146,-0.12670307222265048
ACH-000148,-0.33564560660717
ACH-000150,-0.22088960798825252
ACH-000152,-0.19994131906110646
ACH-000153,-0.6022668085144272
ACH-000159,-0.1712388858944806
ACH-000160,-0.11413850934750558
ACH-000163,-0.14655222962834466
ACH-000167,-0.4651427414739769
ACH-000168,-0.2987864162747701
ACH-000169,-0.3362771267103791
ACH-000178,-0.2172109009795697
ACH-000183,-0.16455050117292425
ACH-000188,-0.1864177871923343
ACH-000189,-0.19942315064930094
ACH-000190,-0.05546051731907343
ACH-000198,-0.07456906367092088
ACH-000203,-0.4030906927036755
ACH-000204,-0.23494412172036905
ACH-000206,-0.35231234201966205
ACH-000207,0.12054546583765832
ACH-000208,0.015061658748870962
ACH-000210,-0.2821031796524797
ACH-000211,-0.2435796209263656
ACH-000215,-0.2270165106319513
ACH-000221,-0.29476353479707995
ACH-000222,-0.13869867957515178
ACH-000223,-0.1213986293251629
ACH-000226,-0.2478954127636809
ACH-000227,-0.14188433807896098
ACH-000228,-0.4917786301725332
ACH-000231,-0.16361449402947115
ACH-000232,-0.12757476727833508
ACH-000233,-0.16110140628867828
ACH-000234,-0.21025915177251592
ACH-000235,-0.18919664411994236
ACH-000237,-0.08313294768350286
ACH-000238,0.05096004223425707
ACH-000242,-0.48060010211374
ACH-000243,-0.16993351425366526
ACH-000244,-0.15172442279040022
ACH-000246,-0.19051564411840846
ACH-000248,-0.05924450592716756
ACH-000250,-0.17346394336250814
ACH-000251,-0.04812629223304075
ACH-000252,-0.06490140122159224
ACH-000253,-0.10697850135434732
ACH-000255,-0.29992577396649284
ACH-000256,-0.2152803487987037
ACH-000257,-0.19662424853820876
ACH-000258,-0.19794635744165506
ACH-000259,-0.2582683360432202
ACH-000260,-0.2822809572047581
ACH-000261,-0.1478243910671344
ACH-000262,-0.2773009337110786
ACH-000263,-0.05299314344657944
ACH-000264,-0.2160199133605092
ACH-000265,-0.043376625483001266
ACH-000266,-0.17111290291080594
ACH-000272,-0.27178044449613464
ACH-000274,-0.08195154463818725
ACH-000277,-0.09431778014365373
ACH-000278,-0.13913063711497134
ACH-000279,-0.14057927244263954
ACH-000280,-0.16980226630996048
ACH-000281,-0.14915196881167506
ACH-000288,-0.1947058423470571
ACH-000291,-0.1876428642562193
ACH-000293,-0.2006158341514018
ACH-000294,-0.10630157383092168
ACH-000295,0.22995151189877044
ACH-000296,-0.05383396007273528
ACH-000302,-0.15591525908557322
ACH-000304,-0.09591038248698497
ACH-000307,-0.1131312863632252
ACH-000308,-0.23627841768536706
ACH-000310,0.08019817047673829
ACH-000311,-0.17070685623299242
ACH-000312,-0.0826722744864843
ACH-000315,-0.11078674968362356
ACH-000316,-0.0006381342201607095
ACH-000317,-0.12874411661768526
ACH-000318,-0.2629218091212755
ACH-000319,-0.0327206656766631
ACH-000320,-0.297350838647213
ACH-000322,-0.1978465148279964
ACH-000323,-0.10333911207638713
ACH-000324,-0.09429081366776666
ACH-000329,-0.09914794710491696
ACH-000330,-0.05559911809841079
