,CPD (1362)
ACH-000004,-0.06446146959350997
ACH-000005,0.2327320290353305
ACH-000007,-0.5056583411623401
ACH-000009,-0.12995710771733746
ACH-000011,-0.10544608722945223
ACH-000012,0.029744958297667996
ACH-000013,-0.14225934206331034
ACH-000014,0.00033752089623946736
ACH-000015,-0.04956430331911815
ACH-000017,-0.257045638399482
ACH-000018,-0.15349711478200373
ACH-000019,0.029627833975701488
ACH-000021,-0.14111101423001554
ACH-000022,-0.3594103414103485
ACH-000025,-0.1546786844401981
ACH-000028,-0.13475092470270122
ACH-000030,-0.1923688625511973
ACH-000035,-0.34756431423347955
ACH-000036,-0.6772663942562901
ACH-000037,-0.05499556289641945
ACH-000039,-0.2788602705572251
ACH-000040,-0.4986298121113538
ACH-000041,-0.5386967730925105
ACH-000042,-0.06561353938012937
ACH-000045,-0.1439271804727119
ACH-000047,-0.016177411125329902
ACH-000052,-0.4297025138568038
ACH-000053,-0.1869128692358788
ACH-000054,-0.01562692860513669
ACH-000055,0.12644365484078154
ACH-000060,-0.19456559349089295
ACH-000067,-0.6645998633863756
ACH-000070,-0.2795785922460253
ACH-000075,-0.554209626703408
ACH-000078,-0.272077249915129
ACH-000082,-0.3260468280961296
ACH-000085,-0.009151540891642608
ACH-000086,-0.19466714669166849
ACH-000087,-0.4436371758076903
ACH-000092,-0.034675528605104665
ACH-000095,-0.2393177304839264
ACH-000097,-0.13424141158300826
ACH-000098,-0.6406586237798069
ACH-000099,-0.30260858426191817
ACH-000108,-0.2514301837817792
ACH-000113,-0.14844706311300854
ACH-000116,-0.09659131053025467
ACH-000118,-0.0058463730374208244
ACH-000120,-0.2839251385885486
ACH-000123,-0.16592316325191878
ACH-000127,-0.31810124964694536
ACH-000128,-0.034342893051640615
ACH-000132,-0.0677280529006054
ACH-000133,-0.3357258752578639
ACH-000137,-0.09017420080802202
ACH-000138,-0.03574249371520197
ACH-000142,-0.32481893733538675
ACH-000143,-0.20958072339556733
ACH-000146,-0.16030948212425025
ACH-000148,-0.19597666451243764
ACH-000150,-0.05441164924174777
ACH-000152,-0.0792162602023222
ACH-000153,-0.3963307318873747
ACH-000159,-0.3409184071722298
ACH-000160,-0.08281441551016043
ACH-000163,-0.2957314658116144
ACH-000167,-0.046730127982111166
ACH-000168,-0.336042080863284
ACH-000169,-0.19638952553439248
ACH-000178,-0.045763019875610385
ACH-000183,-0.5619073025047979
ACH-000188,-0.050643156683623285
ACH-000189,0.07364992106596921
ACH-000190,-0.07269696847089742
ACH-000198,-0.04590809545441612
ACH-000203,-0.5322062562617689
ACH-000204,-0.7389860159197872
ACH-000206,-0.19317715337991528
ACH-000207,-0.19790595624887533
ACH-000208,0.14114875819459827
ACH-000210,0.08228916432823856
ACH-000211,-0.10878426387058727
ACH-000215,-0.3163302510676912
ACH-000221,-0.0790510029723016
ACH-000222,-0.3576552182239837
ACH-000223,-0.10706462800693127
ACH-000226,-0.07293166247572351
ACH-000227,-0.2328686879517475
ACH-000228,-0.20655240513034773
ACH-000231,-0.15641973506177442
ACH-000232,-0.10464836689398477
ACH-000233,0.033558926017945044
ACH-000234,-0.2497706161432885
ACH-000235,-0.12247249460104312
ACH-000237,-0.2414271839978317
ACH-000238,-0.09173953936228957
ACH-000242,-0.0312373273620102
ACH-000243,-0.2749800466418742
ACH-000244,-0.6748027184437189
ACH-000246,-0.14643799316105474
ACH-000248,0.003659693121085647
ACH-000250,0.021423826352813355
ACH-000251,-0.1562532862145167
ACH-000252,-0.24829657297503746
