,ZAK (51776)
ACH-000004,0.041343313449060885
ACH-000005,0.08807724609664508
ACH-000007,-0.07166749846123
ACH-000009,-0.08933726703998497
ACH-000011,0.055513946867315235
ACH-000012,-0.200216750876767
ACH-000013,-0.0981407203972842
ACH-000014,-0.2355972222702224
ACH-000015,-0.10032699680528644
ACH-000017,-0.19778044875725054
ACH-000018,-0.22531551305039174
ACH-000019,-0.017716757193750786
ACH-000021,-0.0956901501913588
ACH-000022,-0.2143875090663312
ACH-000025,0.0821335562268587
ACH-000028,-0.14063748561693168
ACH-000030,-0.1088447765886386
ACH-000035,-0.1534860870474234
ACH-000036,0.010163855438124168
ACH-000037,-0.016993917117944426
ACH-000039,-0.11968310388195165
ACH-000040,-0.1811727083198744
ACH-000041,-0.1245789212650854
ACH-000042,-0.09368095397901932
ACH-000045,-0.16013448205263944
ACH-000047,-0.10379259222355326
ACH-000052,0.07172181803908789
ACH-000053,-0.15593221269102972
ACH-000054,-0.2700402571186385
ACH-000055,-0.22696913421608836
ACH-000060,-0.058411943919747474
ACH-000067,-0.2673883641150863
ACH-000070,0.08333695775271771
ACH-000075,-0.3062991197559937
ACH-000078,-0.09427706403527912
ACH-000082,-0.07446949331673464
ACH-000085,-0.43857351493090463
ACH-000086,-0.2474669082270405
ACH-000087,-0.24553333023711504
ACH-000092,-0.18530988215603675
ACH-000095,-0.16944408676112674
ACH-000097,-0.18149028679198148
ACH-000098,-0.1977897554381937
ACH-000099,-0.11491372176924353
ACH-000108,-0.15379468882748387
ACH-000113,-0.1350344087695383
ACH-000116,-0.17465824968732815
ACH-000118,-0.09020324126630594
ACH-000120,-0.18537878253838172
ACH-000123,-0.16416996857176158
ACH-000127,-0.1081776009934023
ACH-000128,-0.12598238977206408
ACH-000132,-0.3569656403377789
ACH-000133,-0.04464702032706613
ACH-000137,-0.3517396584987539
ACH-000138,-0.11844682864680307
ACH-000142,-0.08717606531791063
ACH-000143,-0.2282830804405909
ACH-000146,-0.2182196864832406
ACH-000148,-0.06908484724140508
ACH-000150,0.0552407177853287
ACH-000152,-0.17036368696470405
ACH-000153,-0.16876122887624234
ACH-000159,-0.21614895242283255
ACH-000160,-0.18750308318228648
ACH-000163,-0.0778201289245061
ACH-000167,0.017797258664416227
ACH-000168,-0.11659304867494875
ACH-000169,-0.3857847750087479
ACH-000178,-0.20221474463404374
ACH-000183,-0.1980220388346118
ACH-000188,9.4808629093623e-06
ACH-000189,0.09035049047229336
ACH-000190,-0.035287582246422006
ACH-000198,-0.0847010056855029
ACH-000203,-0.0869823942834649
ACH-000204,-0.08338162671828818
ACH-000206,-0.19319373105169385
ACH-000207,0.11319377326306874
ACH-000208,-0.4356495519781132
ACH-000210,-0.3305684363500569
ACH-000211,-0.17324255186700813
ACH-000215,-0.15219175981246955
ACH-000221,-0.14415584799831688
ACH-000222,-0.1768087373730732
ACH-000223,-0.2614234286945201
ACH-000226,-0.07217868844325014
ACH-000227,-0.09293240825045374
ACH-000228,-0.036055464984734685
ACH-000231,-0.12979530287863406
ACH-000232,-0.15624677048839486
ACH-000233,-0.11750380220052778
ACH-000234,-0.0638563441780037
ACH-000235,-0.15006815472381368
ACH-000237,-0.07330984117745311
ACH-000238,-0.11083256361510144
ACH-000242,0.008605468955655178
ACH-000243,-0.1577606239688701
ACH-000244,-0.11482287668222382
ACH-000246,-0.20344212202494
ACH-000248,-0.0261114075008732
ACH-000250,-0.1053325038362434
ACH-000251,-0.15819742262663194
ACH-000252,-0.038263927820150236
ACH-000253,-0.17666322505041115
ACH-000255,-0.14347933583072414
ACH-000256,-0.11230048075632107
ACH-000257,-0.1372954156292696
ACH-000258,-0.2692506148428173
ACH-000259,-0.20593056030747853
ACH-000260,-0.12892925548754525
ACH-000261,-0.0597465629557687
ACH-000262,-0.13467812885795044
ACH-000263,-0.504939126959921
ACH-000264,-0.015788004852736112
ACH-000265,-0.17868628805435682
ACH-000266,-0.1768292575863483
ACH-000272,-0.09693508367025244
ACH-000274,-0.1895464033023196
ACH-000277,0.048313890758258767
ACH-000278,-0.20568968917973365
ACH-000279,-0.13393197701508427
ACH-000280,-0.2020679393243199
ACH-000281,-0.1575381795457349
ACH-000288,-0.12407459113215005
ACH-000291,-0.15960156981085394
ACH-000293,0.013365988731516456
ACH-000294,-0.009946790191382162
ACH-000295,0.059119097361092464
ACH-000296,-0.055406736807813085
ACH-000302,-0.06742073657792441
ACH-000304,-0.029947449456693736
ACH-000307,-0.19625457597652976
ACH-000308,-0.21207633223949093
ACH-000310,-0.16177487240473756
ACH-000311,-0.12025600188652845
ACH-000312,-0.26492671980297444
ACH-000315,0.07141032652565557
ACH-000316,-0.3774904115808523
ACH-000317,-0.17402245731600985
ACH-000318,-0.09802800451993188
ACH-000319,-0.1492146501383647
ACH-000320,-0.1916892771719515
ACH-000322,-0.017309109877241092
ACH-000323,0.00907659285410194
ACH-000324,-0.15452823214912695
ACH-000329,-0.2380942321720004
ACH-000330,-0.11611312921621185
ACH-000331,-0.18289497115376416
ACH-000332,-0.15623715623602866
ACH-000334,-0.13687240329861186
ACH-000335,-0.2852014689537338
ACH-000336,0.12620425649181222
ACH-000337,-0.2301195236919641
ACH-000338,-0.21056456365069529
ACH-000339,-0.1611489657524856
ACH-000341,-0.13202722697913494
ACH-000348,-0.11521309046858948
ACH-000350,-0.09600820633372398
ACH-000352,-0.035789130547508936
ACH-000356,-0.10098162486981828
ACH-000361,-0.40440774163767607
ACH-000362,-0.2294150579935761
ACH-000363,-0.1786086823942354
ACH-000364,-0.17671898576394066
ACH-000365,-0.1862393510430234
ACH-000366,-0.18318649316810626
ACH-000368,-0.3064342286853024
ACH-000374,-0.19361294441086188
ACH-000375,-0.0064770036684659174
ACH-000376,-0.14064926512868944
ACH-000381,-0.15084029221035616
ACH-000383,-0.19682385360928686
ACH-000387,-0.11486785096813112
ACH-000389,-0.19017400531057468
ACH-000390,-0.13234664747268185
ACH-000393,-0.18174186818969565
