,ELAC2 (60528)
ACH-000004,-0.6079187425491791
ACH-000005,-0.6253305947488376
ACH-000007,-0.8201038285716028
ACH-000009,-0.911125599118178
ACH-000011,-0.6649682487658923
ACH-000012,-0.7316575756510668
ACH-000013,-0.756198017533005
ACH-000014,-0.7839567521486055
ACH-000015,-0.7101453109760725
ACH-000017,-0.7868940077818005
ACH-000018,-0.9920390110838724
ACH-000019,-0.7533939918500515
ACH-000021,-0.6548039411542934
ACH-000022,-0.9030486802553142
ACH-000025,-1.0226816890069224
ACH-000028,-0.5724508105238554
ACH-000030,-0.5990255215691221
ACH-000035,-1.066775203937376
ACH-000036,-0.7411249316168677
ACH-000037,-0.9027184386593684
ACH-000039,-0.8121245250294213
ACH-000040,-0.7522677533289006
ACH-000041,-0.8687186011500465
ACH-000042,-0.8679253127439742
ACH-000045,-0.7446302394619569
ACH-000047,-0.8330278491925092
ACH-000052,-1.0083416404576735
ACH-000053,-0.7343408397852255
ACH-000054,-0.5823551069626824
ACH-000055,-0.8599014637594292
ACH-000060,-0.8930646455945107
ACH-000067,-0.6194595164543366
ACH-000070,-0.5375844585679899
ACH-000075,-0.7444381385726282
ACH-000078,-0.8346741860509109
ACH-000082,-0.9132357236521944
ACH-000085,-1.0929690178244544
ACH-000086,-0.844142527146568
ACH-000087,-1.1527884244896929
ACH-000092,-0.6838311311864295
ACH-000095,-0.6582901961733011
ACH-000097,-0.8037107271506858
ACH-000098,-0.9769565640422068
ACH-000099,-0.8172001164745615
ACH-000108,-0.6785878273696072
ACH-000113,-0.5958907110878588
ACH-000116,-0.8496569068114375
ACH-000118,-0.8442846025184261
ACH-000120,-0.7147299724399203
ACH-000123,-0.7832100931476116
ACH-000127,-0.652870096542442
ACH-000128,-0.8604663221758602
ACH-000132,-0.6219589954958199
ACH-000133,-0.9921789642612304
ACH-000137,-0.7488453737763758
ACH-000138,-0.7569311305810279
ACH-000142,-0.8362015707190238
ACH-000143,-1.2448376305606774
ACH-000146,-0.6828227199028557
ACH-000148,-0.7365819298373913
ACH-000150,-0.6605110717217542
ACH-000152,-0.8673003332629688
ACH-000153,-0.4359305936872168
ACH-000159,-0.6499858007681265
ACH-000160,-0.8505307241719396
ACH-000163,-0.8201523212675856
ACH-000167,-0.8026920377888864
ACH-000168,-0.5801704524125276
ACH-000169,-0.5783557963699947
ACH-000178,-0.8296201956301638
ACH-000183,-0.7479176781501351
ACH-000188,-0.6305673751791813
ACH-000189,-0.8682437879017603
ACH-000190,-0.7394113849329574
ACH-000198,-0.6386777297078645
ACH-000203,-0.5023207237421314
ACH-000204,-0.8084133748264113
ACH-000206,-0.7508482137486246
ACH-000207,-0.5444937819413878
ACH-000208,-0.8576853608727969
ACH-000210,-0.7543635520877175
ACH-000211,-0.6309440410492593
ACH-000215,-0.6958835731879472
ACH-000221,-0.9810087726586046
ACH-000222,-0.7865142863142848
ACH-000223,-0.8846230963372882
ACH-000226,-0.8448601968354732
ACH-000227,-0.7053774540836184
ACH-000228,-0.7632908151045191
