,PLD5 (200150)
ACH-000223,0.04806918573473688
ACH-000226,-0.0394807231277022
ACH-000227,-0.06349205190804598
ACH-000228,0.20868743335018716
ACH-000231,0.0817386861836074
ACH-000232,0.140712529768381
ACH-000233,0.1823319243929967
ACH-000234,0.07897070275862549
ACH-000235,0.09800024524639042
ACH-000237,0.10257247014380387
ACH-000238,0.06773021769017823
ACH-000242,0.1948515489146373
ACH-000243,0.1335379062780858
ACH-000244,0.2346515446227181
ACH-000246,0.10502536767637627
ACH-000248,0.06051975698196627
ACH-000250,0.1482593698734656
ACH-000251,0.169254612225743
ACH-000252,0.2810216290084747
ACH-000253,0.14550044920145638
ACH-000255,0.0997021694357807
ACH-000256,0.08364731118678896
ACH-000257,0.022961738541084787
ACH-000258,-0.25662701584051306
ACH-000259,0.09745674821021506
ACH-000260,0.08540265646838945
ACH-000261,0.09950792861976013
ACH-000262,0.13771001453807769
ACH-000263,-0.0795723900793929
ACH-000264,0.05100760443592616
ACH-000265,0.19322238548353607
ACH-000266,0.0312138830870479
ACH-000272,0.09186476936679018
ACH-000274,0.023849956205845343
ACH-000277,0.10219415281866633
ACH-000278,0.07741733338881944
ACH-000279,0.05408190546457447
ACH-000280,0.2013593637167127
ACH-000281,-0.021704851827585657
ACH-000288,-0.025111024367148918
ACH-000291,0.20732370303029
ACH-000293,0.057623702756994875
ACH-000294,0.11369100708630595
ACH-000295,0.30429216827647365
ACH-000296,0.06880173743151198
ACH-000302,0.119316942222569
ACH-000304,-0.04140618879571322
ACH-000307,0.28444319891452385
ACH-000308,0.07774650903338502
ACH-000310,-0.03243728087808173
ACH-000311,0.07645279988641719
ACH-000312,0.16913864406594534
ACH-000315,0.09542918226041554
ACH-000316,0.1305583150597772
ACH-000317,0.10355958986912324
ACH-000318,-0.03460498950976048
ACH-000319,0.18041005972365987
ACH-000320,0.18081033559889434
ACH-000322,0.10295451080564293
ACH-000323,0.08940674784134868
ACH-000324,0.09892868517232234
ACH-000329,0.06146764701351454
ACH-000330,0.11126846144088096
ACH-000331,-0.00839475508470916
ACH-000332,0.111793461290474
ACH-000334,0.023583593320493538
ACH-000335,0.0929582311932682
ACH-000336,-0.02504635760350894
ACH-000337,0.11080486792790474
ACH-000338,0.11537666624313755
ACH-000339,0.1306972310384403
ACH-000341,0.16966096452971374
ACH-000348,0.018687295505210026
ACH-000350,0.14406034725100136
ACH-000352,0.11386873986681725
ACH-000356,0.08926510670817818
ACH-000361,0.10818685356273668
ACH-000362,0.15095643591109015
ACH-000363,0.024415769062867226
ACH-000364,0.08631773301017527
ACH-000365,0.09433577709557822
ACH-000366,0.12605727385918133
ACH-000368,0.1986321372479959
ACH-000374,0.1815419909928435
ACH-000375,-0.0970210194907637
ACH-000376,0.1900865592724555
ACH-000381,0.116049192465943
ACH-000383,0.12798227412958968
ACH-000387,0.1302457898627598
ACH-000389,0.06023049782080865
ACH-000390,0.04483065730967728
ACH-000393,0.1727890663361797
ACH-000395,0.2302276064867409
ACH-000396,0.2874761762074044
ACH-000397,0.04460081775923465
ACH-000401,-0.010730750230872731
ACH-000402,0.19618759004148306
ACH-000403,0.040282149340565634
ACH-000404,-0.14193776826049087
ACH-000406,0.09381217938168304
ACH-000407,0.15719863533794795
ACH-000408,0.027835072287050486
ACH-000410,0.038491250397108163
ACH-000411,-0.05672493146408152
ACH-000414,0.16832853955671107
ACH-000415,0.20990517865911376
ACH-000416,0.0038245538029442858
ACH-000420,0.06790774156722994
ACH-000421,0.107121891582268
ACH-000424,0.09285647574796932
ACH-000425,0.1043639169801896
ACH-000426,0.031451692981190986
ACH-000427,0.24164681124958
ACH-000433,0.1176485955825068
ACH-000435,0.19039320111550007
ACH-000436,0.2094883928083136
ACH-000444,0.06814239166009699
ACH-000445,0.13211611500736348
ACH-000448,0.08357664111239342
ACH-000450,0.213853394179504
ACH-000452,-0.021289308506102046
ACH-000454,0.02776314288376855
ACH-000458,-0.010040647481835138
ACH-000459,0.04556549398741186
ACH-000460,0.08368182987941114
ACH-000461,0.10395485047059956
ACH-000463,0.10734013614691168
ACH-000464,0.2572945502128333
ACH-000466,0.017649681023223174
ACH-000467,0.13552694185828393
ACH-000468,0.2305187707649597
ACH-000469,0.14742205314688672
ACH-000470,0.06425620235453815
ACH-000471,0.07494058221462979
ACH-000472,0.10533143779925973
ACH-000473,0.1990597408475248
ACH-000475,0.16173499493063515
ACH-000476,0.17114616782661904
ACH-000477,0.19878329642884152
ACH-000479,-0.1601066807095801
ACH-000480,0.05708689709675634
ACH-000481,0.14581654380621634
ACH-000483,0.11170619430593502
ACH-000484,0.004933094700812571
ACH-000485,0.2162444772036028
ACH-000486,0.15155006360145773
ACH-000487,0.0668142793105887
ACH-000488,0.17373703349500966
ACH-000490,0.073860080464508
ACH-000491,0.18149484599236912
ACH-000495,0.147522026165416
ACH-000496,0.20817663174944684
ACH-000499,0.15148531521846886
ACH-000500,-0.07773007377824816
ACH-000502,0.1364039162307631
ACH-000503,-0.06608497901526066
ACH-000505,0.11777753127162548
ACH-000507,0.20879265055199367
ACH-000510,0.07751359682589966
ACH-000511,0.0845039616715435
ACH-000512,-0.15975627950934518
ACH-000516,-0.02257978675729773
ACH-000517,0.05842746917603173
ACH-000518,0.11882996048590475
ACH-000520,0.16038306283920314
ACH-000521,0.1911630583462815
ACH-000522,0.02031512493891228
ACH-000524,0.07519966659659871
ACH-000527,0.11886820049830453
ACH-000528,0.11989002617481286
ACH-000537,-0.03635229561472734
ACH-000541,-0.02875652267672527
ACH-000542,0.17776881122308655
ACH-000544,0.2315662674575472
ACH-000545,0.19015945261989906
ACH-000547,0.03818585289631959
ACH-000548,0.05008595442170776
ACH-000549,0.15294578037941414
ACH-000550,0.09064017200422106
ACH-000552,0.18945374038483206
ACH-000556,0.13907868979081148
ACH-000557,0.13779033348090433
ACH-000569,0.1828734486575127
ACH-000570,0.16747901925533806
ACH-000571,0.0106213124426572
ACH-000573,0.052215827846015035
ACH-000576,0.022201840228666163
ACH-000579,0.3326141108210826
ACH-000580,0.2510029899135519
ACH-000584,0.1623457517563911
ACH-000585,0.12299838320189055
ACH-000588,0.260543174663883
ACH-000589,0.26381007531731504
ACH-000591,0.06521344791344644
ACH-000593,0.12430242574055896
ACH-000600,0.15141836713743093
ACH-000601,0.0855477783345199
ACH-000605,0.23540190444752634
ACH-000606,-0.02482040120024955
ACH-000608,0.0738858577840136
ACH-000614,0.0812729130221359
ACH-000616,0.0244637155899779
ACH-000618,0.06550317290792854
ACH-000619,0.16915430002156598
ACH-000620,0.05242697599799208
ACH-000621,0.10001472118813076
ACH-000622,0.08986861258083773
ACH-000623,0.06346642840926342
ACH-000624,0.13963620996138085
ACH-000627,0.07460101782990124
ACH-000630,0.12284967478813098
ACH-000631,-0.12063051651523547
ACH-000632,-0.029156136218309155
ACH-000633,0.1157018413811384
ACH-000637,0.1590050304984327
ACH-000638,0.13101856247399613
ACH-000646,-0.14750748445948492
ACH-000647,0.08569694164329826
ACH-000648,0.10985088210863933
ACH-000649,0.05737223107834654
ACH-000651,0.22011136888544774
ACH-000652,0.11347835138381142
ACH-000653,0.05604474135741115
ACH-000657,0.13315284436101416
ACH-000658,0.21283335325625652
ACH-000661,0.01061577974259997
ACH-000662,0.09450218120802398
ACH-000663,0.13895588392772934
ACH-000665,0.14313469937863155
ACH-000671,0.10586670237671142
ACH-000672,0.09651729674937848
ACH-000673,0.08687211464030344
ACH-000676,0.09490591107793933
ACH-000677,0.09055551888472604
ACH-000681,0.16449589617052315
ACH-000683,0.09919368448567664
ACH-000684,0.07635141688778083
ACH-000688,0.07229643045727788
ACH-000693,0.13582435790523706
ACH-000694,0.1274786819269666
ACH-000695,0.04653750370742673
ACH-000696,0.13908970568806325
ACH-000697,0.06826180277288542
ACH-000699,0.08090621101494246
ACH-000701,0.09026464283628753
ACH-000706,0.16802180521883964
ACH-000711,0.039814779759481375
ACH-000713,0.2117514216381959
ACH-000714,0.13661113665588498
ACH-000718,0.16297973395757093
ACH-000720,0.14549720654209206
ACH-000721,0.13742146553712628
ACH-000724,0.1427972647047553
ACH-000725,0.16205670153355287
ACH-000732,0.05986409628269596
ACH-000734,0.10532039875509487
ACH-000735,0.0670307582171133
ACH-000736,0.1640205051416047
ACH-000738,0.13774998729072732
ACH-000746,0.2711067623892416
ACH-000747,0.20820379246739348
ACH-000748,0.011197591282017671
ACH-000753,0.08403637231554233
ACH-000756,-0.16628815003098216
ACH-000757,0.0858479233375456
ACH-000758,0.11312433705953245
ACH-000760,0.06530539191200875
ACH-000762,0.22198954343987307
ACH-000763,0.035792780816110814
ACH-000764,-0.1258807752955668
ACH-000765,0.07152059892595894
ACH-000766,0.04626053810574242
ACH-000767,0.10006730167229608
ACH-000768,0.07106667740358019
ACH-000769,-0.18708684206030732
ACH-000770,0.09915507813651707
ACH-000771,0.10296404922560412
ACH-000773,0.07776277385103518
ACH-000776,0.09808662596044296
ACH-000777,0.03204438302795836
ACH-000778,0.0328371522655885
ACH-000781,0.11077417341998193
ACH-000782,0.04925240630478362
ACH-000783,0.1581910708312021
ACH-000784,0.1658758711669224
ACH-000785,0.11217093292796093
ACH-000787,0.03859934761557116
ACH-000788,0.121425311433383
ACH-000791,0.0415058910918954
ACH-000792,0.037743342617707364
ACH-000794,0.20200720790695
ACH-000796,0.11442256176404245
ACH-000798,0.18405943239571987
ACH-000799,0.08981708513617302
ACH-000800,0.13032402920706093
ACH-000802,0.12283182634463438
ACH-000804,0.23168201803908198
ACH-000805,0.13799709002482827
ACH-000809,0.13134276876217307
ACH-000810,0.08973888647574649
ACH-000811,0.02248666586756834
ACH-000817,-0.05264017879395786
ACH-000819,0.11108256584932456
ACH-000820,0.07384407376999964
ACH-000821,0.11641703936444475
ACH-000822,0.1418081628665797
ACH-000823,0.11743448285717208
ACH-000824,0.12479187047479864
ACH-000827,0.08549384089057914
ACH-000829,0.14585618411242807
ACH-000831,0.18145679973137666
ACH-000832,0.09774154606473967
ACH-000833,0.21402544857730413
ACH-000834,0.11578287899286692
ACH-000835,0.1559465172267881
ACH-000836,0.02967331252426684
ACH-000837,0.14343846098913446
ACH-000838,0.2163297670808762
ACH-000839,0.20492665481781897
ACH-000840,0.08054356446809456
ACH-000841,0.19151112845842627
ACH-000843,0.2003663999963382
ACH-000846,0.2604993806955503
ACH-000847,0.17532547814559712
ACH-000848,0.08697033150546786
ACH-000849,-0.01197558774173094
ACH-000851,0.1089983275618362
ACH-000855,0.05816913809817099
ACH-000856,0.19277958692323746
ACH-000858,0.12126213832054085
ACH-000859,0.2578286630460657
ACH-000861,0.12828487784742348
ACH-000862,-0.012890035126391636
ACH-000865,0.05460347871980615
ACH-000866,-0.002521812963443898
ACH-000867,0.1852501620857332
ACH-000869,0.14382926597997542
ACH-000872,0.17825540395128125
ACH-000873,0.16911676432913367
ACH-000876,0.01312985546776678
ACH-000878,0.2448875316541439
ACH-000880,0.022806029804180783
ACH-000881,0.21916409883529955
ACH-000882,-0.007839220842671123
