,NDUFC1 (4717)
ACH-000004,-0.11736317005144024
ACH-000005,-0.13662012297624818
ACH-000007,-0.4376557831347183
ACH-000009,-0.08285125997883502
ACH-000011,0.09486896695481324
ACH-000012,-0.2593128776098373
ACH-000013,-0.1410476071937157
ACH-000014,-0.2495650610465505
ACH-000015,-0.2828114587562501
ACH-000017,-0.08292180532796256
ACH-000018,-0.15008143294233628
ACH-000019,-0.4856885804102314
ACH-000021,-0.2285563133840048
ACH-000022,-0.05394358633725213
ACH-000025,-0.3038529666600324
ACH-000028,-0.4455786186660087
ACH-000030,-0.11360743119989865
ACH-000035,-0.19919070587023205
ACH-000036,0.10089400672826117
ACH-000037,-0.3355052072712591
ACH-000039,-0.12002362530306578
ACH-000040,-0.11317186975866983
ACH-000041,-0.13146002298364046
ACH-000042,-0.07802869656175711
ACH-000045,-0.5304535430866568
ACH-000047,-0.5463248865195546
ACH-000052,-0.1908974590359244
ACH-000053,-0.1148792747446218
ACH-000054,-0.6173052431019876
ACH-000055,0.050024308469074415
ACH-000060,-0.3886791647136162
ACH-000067,-0.16871360930430507
ACH-000070,-0.3121412638690894
ACH-000075,-0.1532077056911291
ACH-000078,-0.3760777542034593
ACH-000082,-0.22113063372882047
ACH-000085,-0.0190664879933433
ACH-000086,-0.2588088656396401
ACH-000087,-0.39341339268075337
ACH-000092,-0.2368984246252623
ACH-000095,-0.033685645927056786
ACH-000097,-0.13506506982106245
ACH-000098,-0.22645128454061605
ACH-000099,-0.2917001328110938
ACH-000108,-0.06353382978143661
ACH-000113,-0.33622167911465795
ACH-000116,-0.3088613416786631
ACH-000118,-0.5143775024712912
ACH-000120,-0.3175285185762678
ACH-000123,-0.2781373603441501
ACH-000127,-0.41174863734857786
ACH-000128,-0.3350709543254296
ACH-000132,-0.2275704579162559
ACH-000133,-0.16376723656458286
ACH-000137,-0.21479273322201564
ACH-000138,-0.3450786339657389
ACH-000142,-0.07179072283844859
ACH-000143,-0.32481671241482457
ACH-000146,-0.07473418388896598
ACH-000148,-0.16521302415617367
ACH-000150,-0.20899748987503197
ACH-000152,-0.16895466439993234
ACH-000153,-0.4120848570248613
ACH-000159,-0.30985873375810324
ACH-000160,-0.4971550696091082
ACH-000163,-0.0902148382911509
ACH-000167,-0.27947883316300165
ACH-000168,0.15261752830253142
ACH-000169,-0.31074606478858285
ACH-000178,-0.0770248692620824
ACH-000183,-0.18458075155400844
ACH-000188,-0.01679977065078211
ACH-000189,0.00037819253789972055
