,RPL36AL (6166)
ACH-000004,-0.4263562662480205
ACH-000005,-1.1097383588756773
ACH-000007,-0.6988822514426134
ACH-000009,-0.6664246811931199
ACH-000011,-0.7268795977964657
ACH-000012,-0.4272446914703546
ACH-000013,-0.34590941056022895
ACH-000014,-0.5139787281578391
ACH-000015,-0.4524477862721419
ACH-000017,-0.5050744510874818
ACH-000018,-0.5486856910435043
ACH-000019,-0.7032964386632242
ACH-000021,-0.4422060051138311
ACH-000022,-0.4915205706726074
ACH-000025,-0.4974983795265489
ACH-000028,-0.6585659723088623
ACH-000030,-0.6508022679320975
ACH-000035,-0.5220195790416117
ACH-000036,-0.5127304409470669
ACH-000037,-0.5148508148125716
ACH-000039,-0.6585691414789452
ACH-000040,-0.5729054823636052
ACH-000041,-0.6004670694463415
ACH-000042,-0.6735226926216358
ACH-000045,-0.6612777164090614
ACH-000047,-0.4343009334186391
ACH-000052,-0.696862558998184
ACH-000053,-0.6153173839366743
ACH-000054,-0.7253396061608612
ACH-000055,-0.4753462455998762
ACH-000060,-0.6944594569527353
ACH-000067,-0.90852347763537
ACH-000070,-0.5262755834796753
ACH-000075,-0.8194708902946812
ACH-000078,-0.7344276982839039
ACH-000082,-0.6854438376679716
ACH-000085,-0.4952147971067791
ACH-000086,-0.7092825673794475
ACH-000087,-0.5759419413793079
ACH-000092,-0.7551714110357841
ACH-000095,-0.8370969791210026
ACH-000097,-0.5634066688677398
ACH-000098,-0.5415679828841355
ACH-000099,-0.6048618064695215
ACH-000108,-0.4885913302382045
ACH-000113,-0.6200607191452737
ACH-000116,-0.593623821144933
ACH-000118,-0.4820962181116773
ACH-000120,-0.5039801004317933
ACH-000123,-0.6472024473916776
ACH-000127,-0.5602569890519937
ACH-000128,-0.7201817395583529
ACH-000132,-0.3843809872683247
ACH-000133,-0.6206083392177896
ACH-000137,-0.7031720890252792
ACH-000138,-0.5032309752355782
ACH-000142,-0.5900414294218779
ACH-000143,-0.6850242290531141
ACH-000146,-0.530910125349187
ACH-000148,-0.589252943746994
ACH-000150,-0.6702202443617795
ACH-000152,-0.5969726378158642
ACH-000153,-0.2307191492271346
ACH-000159,-0.6576461031514395
ACH-000160,-0.4633272353418095
ACH-000163,-0.5111300545175691
ACH-000167,2.101691023463742
ACH-000168,-0.8341750630990933
ACH-000169,-0.5603995106310004
ACH-000178,-0.5892289367136011
ACH-000183,-0.4291813809670253
ACH-000188,-0.5817318242065369
ACH-000189,-0.4695526904591138
ACH-000190,-0.5674649340786738
ACH-000198,-0.7205305474441825
ACH-000203,-0.8507050227852373
ACH-000204,-0.6646093952764668
ACH-000206,-0.7011747989491794
ACH-000207,-0.5732455884641866
ACH-000208,-0.6487934717049001
ACH-000210,-0.5767579379236896
ACH-000211,-0.6718438929700526
ACH-000215,-0.599504782541773
ACH-000221,-0.28718874374084297
ACH-000222,-0.4636496469791469
ACH-000223,-0.5796071785118749
ACH-000226,-0.598164614700788
ACH-000227,-0.5364730010683787
ACH-000228,-0.4055604172765905
ACH-000231,-0.6146970723860973
ACH-000232,-0.7099749201857525
ACH-000233,-0.5113243186453316
ACH-000234,-0.6761393136368535
ACH-000235,-0.5130333178798607
ACH-000237,-0.3807808373549116
ACH-000238,-0.4503686184359706
ACH-000242,-0.6021218308122646
ACH-000243,-0.5860978155970176
ACH-000244,-0.40096074164501977
ACH-000246,-0.5882982311033186
ACH-000248,-0.4488531905083125
ACH-000250,-0.6734765586669451
ACH-000251,-0.7362229996284346
ACH-000252,-0.3336940356447819
ACH-000253,-0.47883715487992706
ACH-000255,-0.5520404853623163
ACH-000256,-0.6717541893143069
ACH-000257,-0.6519591055957953
ACH-000258,-0.18494119818963967
ACH-000259,-0.38238493983232064
ACH-000260,-0.5067378363743825
ACH-000261,-0.6369297055353372
ACH-000262,-0.6146553172978809
