,HMG20A (10363)
ACH-000004,-0.2739158925855177
ACH-000005,-0.046614411076787564
ACH-000007,-0.1054503144752589
ACH-000009,0.022351092994397498
ACH-000011,0.07626172919555901
ACH-000012,0.07547859426669556
ACH-000013,0.27515189943123625
ACH-000014,0.14251474746279702
ACH-000015,0.04510541921942255
ACH-000017,0.04973331523920675
ACH-000018,0.273988077274471
ACH-000019,0.054608292345560215
ACH-000021,0.12353255312301227
ACH-000022,-0.04431245815661576
ACH-000025,0.039494019952113664
ACH-000028,0.0671214542215944
ACH-000030,-0.049258510870599286
ACH-000035,-0.10860214314133762
ACH-000036,0.4030507760390887
ACH-000037,0.09727459574168736
ACH-000039,0.10491746634382278
ACH-000040,-0.0035820688595902053
ACH-000041,0.060396479694153224
ACH-000042,0.0644207333653031
ACH-000045,0.19176786773434654
ACH-000047,0.2307939607547213
ACH-000052,0.2804163074118444
ACH-000053,0.11134185674435694
ACH-000054,-0.08615871217281604
ACH-000055,-0.05149810074059708
ACH-000060,0.0901273428184013
ACH-000067,-0.03603404147182596
ACH-000070,-0.1165544228163512
ACH-000075,0.2335365342402485
ACH-000078,0.029185655888520262
ACH-000082,0.09825438775117673
ACH-000085,-0.17425771983314334
ACH-000086,0.1618412407899301
ACH-000087,-0.01800646563952626
ACH-000092,0.15546636427823082
ACH-000095,0.10091016807703533
ACH-000097,-0.03751499664460127
ACH-000098,0.1196970731347707
ACH-000099,0.2356587543055527
ACH-000108,2.9399925422442573e-05
ACH-000113,0.051519606943940345
ACH-000116,0.1045472805243566
ACH-000118,0.1308701137104626
ACH-000120,0.050059270521767694
ACH-000123,0.21795066187315834
ACH-000127,0.17848426043345958
ACH-000128,0.15565862653510526
ACH-000132,0.08044256506727943
ACH-000133,0.011686292246761723
ACH-000137,0.19071042614117464
ACH-000138,0.11669665919885845
ACH-000142,0.2284398722717776
ACH-000143,-0.08575578089793945
ACH-000146,0.05325538392234508
ACH-000148,0.07847931468956948
ACH-000150,0.11595953867342305
ACH-000152,0.13810760011242726
ACH-000153,0.34803783735647953
ACH-000159,0.10289490424096884
ACH-000160,0.2560206742575309
ACH-000163,0.1422752128618044
ACH-000167,0.5411645693535362
ACH-000168,0.1242557016104089
ACH-000169,0.06586345147064443
ACH-000178,0.2583847409625192
ACH-000183,0.041357681824111925
ACH-000188,-0.029933357883613426
ACH-000189,0.3313003272461018
ACH-000190,0.4103369001510323
ACH-000198,-0.03082659475284287
ACH-000203,0.07111078687997416
ACH-000204,0.11963432988501425
ACH-000206,0.1643338465536915
ACH-000207,0.07336839434779759
ACH-000208,0.06976656194608925
ACH-000210,0.1919499963039013
ACH-000211,0.13923482394941536
ACH-000215,0.1391149635540227
ACH-000221,0.05607224069091115
ACH-000222,0.22684313356921995
ACH-000223,0.031108526709789527
ACH-000226,0.2279687857165346
ACH-000227,0.09423671844890076
ACH-000228,0.09481367728633244
ACH-000231,0.1950942748878992
ACH-000232,-0.02126918533672674
ACH-000233,0.05154490272013452
ACH-000234,0.024700425922189084
