,S100A2 (6273)
ACH-000004,-0.04408059893756942
ACH-000005,-0.04051342663065503
ACH-000007,-0.04734882852489687
ACH-000009,-0.2106590702883132
ACH-000011,-0.14798874220748684
ACH-000012,-0.1509426108262432
ACH-000013,-0.25305344148693304
ACH-000014,-0.1708699811428218
ACH-000015,-0.1574492930372619
ACH-000017,-0.11909980840635292
ACH-000018,-0.17529148631186933
ACH-000019,-0.15870428249472812
ACH-000021,-0.14596651721848286
ACH-000022,-0.1546025072115117
ACH-000025,-0.28245184704979376
ACH-000028,-0.20064029769719954
ACH-000030,-0.09192998904032466
ACH-000035,-0.2361682666622046
ACH-000036,-0.11480872148558455
ACH-000037,0.0037603314557332883
ACH-000039,-0.028723730726654025
ACH-000040,-0.06392025804321824
ACH-000041,-0.20768222480630355
ACH-000042,-0.035364225358960215
ACH-000045,-0.4085510153197519
ACH-000047,-0.11908029149228973
ACH-000052,-0.008171851013729388
ACH-000053,-0.1230357129678036
ACH-000054,-0.133308600104491
ACH-000055,0.03736400746000082
ACH-000060,-0.20399650210145065
ACH-000067,-0.13698243034979554
ACH-000070,-0.0597970732930701
ACH-000075,-0.1572731965850098
ACH-000078,-0.1543728943837518
ACH-000082,-0.12991205980951293
ACH-000085,0.03625275432572806
ACH-000086,-0.2757390262349007
ACH-000087,-0.09852343732460896
ACH-000092,-0.1010836640681578
ACH-000095,-0.14127640346045564
ACH-000097,-0.1833072078217084
ACH-000098,-0.21042542989559654
ACH-000099,-0.14790146389405096
ACH-000108,-0.1572681231444392
ACH-000113,-0.1572941222421407
ACH-000116,-0.2407276298825328
ACH-000118,-0.12687495660436546
ACH-000120,-0.10027950661026297
ACH-000123,-0.16971827181476662
ACH-000127,-0.25325021118464025
ACH-000128,-0.2326894589561251
ACH-000132,-0.17989910969603531
ACH-000133,-0.20058556815377596
ACH-000137,-0.07237769401075485
ACH-000138,-0.175059036113222
ACH-000142,-0.175419543733302
ACH-000143,-0.17268997148926765
ACH-000146,-0.17738735181472196
ACH-000148,-0.1869316901615837
ACH-000150,-0.18884802633706466
ACH-000152,-0.1489937549256723
ACH-000153,-0.3402959189885422
ACH-000159,-0.1948683374721372
ACH-000160,-0.045650383101534193
ACH-000163,-0.1780382452052648
ACH-000167,-0.2582106263402866
ACH-000168,-0.034730769538356784
ACH-000169,-0.2483309914000896
ACH-000178,-0.029221749341733477
ACH-000183,-0.2135901246507302
ACH-000188,-0.09198986486820028
ACH-000189,-0.08687420832664199
ACH-000190,-0.051618399727537526
ACH-000198,-0.1276765990710712
ACH-000203,-0.3280816894352865
ACH-000204,-0.3668130248279334
ACH-000206,0.06185332396368355
ACH-000207,0.001360696867532696
ACH-000208,-0.1912225551805563
ACH-000210,-0.006487625029707742
ACH-000211,-0.1826544667883442
ACH-000215,-0.1885652257227968
ACH-000221,-0.14151974776081538
ACH-000222,0.004359588344071529
ACH-000223,-0.17459298335819398
ACH-000226,-0.18403649489323576
ACH-000227,-0.2147214646197745
ACH-000228,-0.2668817332882677
ACH-000231,-0.08294073514951178
ACH-000232,-0.2798967884322626
ACH-000233,-0.15606705816598093
ACH-000234,-0.24389382168478824
ACH-000235,-0.13583848687542474
ACH-000237,-0.13294834692678714
ACH-000238,-0.08605335229626764
ACH-000242,-0.16389689708718824
ACH-000243,-0.1034580514236471
ACH-000244,-0.1034569417841832
ACH-000246,-0.18796495861969093
ACH-000248,-0.1917200361543349
ACH-000250,-0.10926921230605133
ACH-000251,-0.04295320987527145
ACH-000252,-0.28783871880264605
ACH-000253,-0.024309080545528158
ACH-000255,-0.13688328221800644
ACH-000256,-0.16564869725025422
ACH-000257,0.07513239427690356
ACH-000258,-0.23840248266966585
ACH-000259,-0.15851834280558533
ACH-000260,-0.17802341309837602
ACH-000261,-0.1503328780780853
