,FRRS1 (391059)
ACH-000004,-0.1195340014527856
ACH-000005,-0.3429077965194137
ACH-000007,-0.2729070910427684
ACH-000009,-0.20052052412109345
ACH-000011,0.0002132856609908875
ACH-000012,-0.16754241867424902
ACH-000013,-0.14961864168697125
ACH-000014,-0.1527688112917776
ACH-000015,-0.10434513772330417
ACH-000017,-0.05084117738373569
ACH-000018,-0.2891839315441209
ACH-000019,0.011999975808497309
ACH-000021,-0.11337954292871585
ACH-000022,-0.02827133929717503
ACH-000025,-0.34256578507576396
ACH-000028,-0.07659080336379838
ACH-000030,-0.17552809617891207
ACH-000035,-0.2277215821730262
ACH-000036,-0.17199276785234804
ACH-000037,-0.13237362330750232
ACH-000039,0.050375256564338264
ACH-000040,-0.1990173712239112
ACH-000041,-0.1100457769813174
ACH-000042,-0.09417301997668684
ACH-000045,-0.09405160181392272
ACH-000047,-0.19956393561258756
ACH-000052,-0.27071015626832595
ACH-000053,-0.1680368034216459
ACH-000054,-0.13479395119749932
ACH-000055,-0.2756745175946237
ACH-000060,-0.2333714032092017
ACH-000067,-0.18418869203544205
ACH-000070,-0.14539312623709785
ACH-000075,-0.17972993218355576
ACH-000078,-0.07967938660136498
ACH-000082,-0.17558393132263364
ACH-000085,-0.2645029507780816
ACH-000086,-0.2299350185411714
ACH-000087,-0.15142956668111096
ACH-000092,-0.2777379246611289
ACH-000095,-0.18618757942058944
ACH-000097,-0.0422174533728064
ACH-000098,-0.14032179017717225
ACH-000099,-0.17633524932402628
ACH-000108,0.059573838758290636
ACH-000113,0.010836180238771054
ACH-000116,-0.051412956826659965
ACH-000118,-0.04650291434548935
ACH-000120,-0.08775283652790536
ACH-000123,-0.3293217639329057
ACH-000127,-0.21338223947497964
ACH-000128,-0.08671655466533319
ACH-000132,-0.0786637205955514
ACH-000133,-0.2302963146475229
ACH-000137,-0.4738412895038753
ACH-000138,-0.07189043984498385
ACH-000142,-0.12553272393169113
ACH-000143,-0.22861757707447344
ACH-000146,-0.08226316484700863
ACH-000148,-0.2366966627487256
ACH-000150,-0.3654547563825606
ACH-000152,-0.1960204676401525
ACH-000153,-0.23605359692149475
ACH-000159,-0.0875336805627205
ACH-000160,-0.12869077953277058
ACH-000163,-0.16995250447337254
ACH-000167,-0.3394784348274628
ACH-000168,-0.1479687793355404
ACH-000169,-0.07370746460490415
ACH-000178,-0.10912568652821776
ACH-000183,-0.1506333848728084
ACH-000188,-0.2125333780226904
ACH-000189,-0.2519073640695756
