,NPEPPS (9520)
ACH-000004,-0.3002283048657338
ACH-000005,-0.5311318996980571
ACH-000007,-0.2959562261894001
ACH-000009,-0.38564297551787136
ACH-000011,-0.8251692380594753
ACH-000012,-0.4417473945332818
ACH-000013,-0.5470362784006962
ACH-000014,-0.5559214058922451
ACH-000015,-0.33073525851559804
ACH-000017,-0.6266626675178839
ACH-000018,-0.517276265570919
ACH-000019,-0.61592667290503
ACH-000021,-0.27131182289231065
ACH-000022,-0.8398598549145317
ACH-000025,-0.4379415770973284
ACH-000028,-0.526780859643996
ACH-000030,-0.4521928560161778
ACH-000035,-0.4039744614160951
ACH-000036,-0.5567575070147496
ACH-000037,-0.3847186530471117
ACH-000039,-0.4674818486983493
ACH-000040,-0.40917824953758297
ACH-000041,-0.5806043321460467
ACH-000042,-0.5024400396660222
ACH-000045,-0.3358785996162369
ACH-000047,-0.4686321250026012
ACH-000052,-0.78071598135512
ACH-000053,-0.6646323749466062
ACH-000054,-0.5054263325892444
ACH-000055,-0.3617994301231115
ACH-000060,-0.5700998837235947
ACH-000067,-0.5721066693040671
ACH-000070,-0.4156072424009965
ACH-000075,-0.3387227200519375
ACH-000078,-0.2990186588966109
ACH-000082,-0.5336290046695862
ACH-000085,-0.6622939659133705
ACH-000086,-0.6170847179283873
ACH-000087,-0.695320249052575
ACH-000092,-0.5514765026006303
ACH-000095,-0.5601059915867178
ACH-000097,-0.6331867482712702
ACH-000098,-0.39861149382501015
ACH-000099,-0.3188486721151849
ACH-000108,-0.7114438471802701
ACH-000113,-0.43703263236161655
ACH-000116,-0.4994324125344735
ACH-000118,-0.5183175783824842
ACH-000120,-0.4900339212973835
ACH-000123,-0.5090022650075519
ACH-000127,-0.2973294396864782
ACH-000128,-0.6024153618041325
ACH-000132,-0.5619819208730611
ACH-000133,-0.3290292006120721
ACH-000137,-0.4523396659804016
ACH-000138,-0.9515658763054744
ACH-000142,-0.4517702598748879
ACH-000143,-0.6861272344735112
ACH-000146,-0.6065505261183015
ACH-000148,-0.531915805351468
ACH-000150,-0.5332803052028418
ACH-000152,-0.5966516646767532
ACH-000153,-0.3019770668794217
ACH-000159,-0.3797688159188848
ACH-000160,-0.5968563126096766
ACH-000163,-0.5607983495947376
ACH-000167,-0.26598480372406763
ACH-000168,-0.5458709693574944
ACH-000169,-0.5387814974366353
ACH-000178,-0.5367796566582353
ACH-000183,-0.5084378789366555
ACH-000188,-0.3512234659071093
ACH-000189,-0.7653617902978002
ACH-000190,-0.4570308128296774
ACH-000198,-0.495989678808901
ACH-000203,-0.4778394149998279
ACH-000204,-0.33408513928130223
ACH-000206,-0.7394972535243498
ACH-000207,-0.47952298692651
ACH-000208,-0.3368213306266927
ACH-000210,-0.8825904079867058
ACH-000211,-0.7780204169938026
ACH-000215,-0.6132598119907332
ACH-000221,-0.6303366297527148
ACH-000222,-0.6667331544548964
ACH-000223,-0.5088642582938316
ACH-000226,-0.6702001605467476
ACH-000227,-0.6690490179031782
ACH-000228,-0.6343163612325784
ACH-000231,-0.5967385508802266
ACH-000232,-0.4269490144099384
ACH-000233,-0.5508576340104862
ACH-000234,-0.5146954327968819
ACH-000235,-0.5675884738998865
ACH-000237,-0.4826229517546232
ACH-000238,-0.4059557513682923
ACH-000242,-0.20919208981162324
ACH-000243,-0.5188871031250278
ACH-000244,-0.3983910963586611
ACH-000246,-0.4041286061099458
ACH-000248,-0.5837030133752191
ACH-000250,-0.5272749475405135
ACH-000251,-0.6416088796913053
ACH-000252,-0.6516965477003172
ACH-000253,-0.6524221980989436
ACH-000255,-0.5600646492436447
ACH-000256,-0.4422574316816141
ACH-000257,-0.2095138469939052
ACH-000258,-0.7388285096165631
ACH-000259,-0.4734032255530764
ACH-000260,-0.3630265803301313
ACH-000261,-0.43676768655687787
ACH-000262,-0.4084000616584044
ACH-000263,-0.5966443380120203
ACH-000264,-0.4815288240444411
ACH-000265,-0.3541251751606741
ACH-000266,-0.5821496561363042
ACH-000272,-0.7147466345569465
ACH-000274,-0.5854447523365786
