,RBM33 (155435)
ACH-000004,-0.6145009438499067
ACH-000005,-0.4544138571029062
ACH-000007,-0.15062430442918787
ACH-000009,-0.2445278598443308
ACH-000011,-0.17123087892609476
ACH-000012,-0.09515932020460788
ACH-000013,-0.4566693850885725
ACH-000014,0.22246362740988251
ACH-000015,-0.1544205437339125
ACH-000017,-0.3090784315376151
ACH-000018,-0.2565415612651345
ACH-000019,-0.2083103562568628
ACH-000021,-0.5934102428766742
ACH-000022,-0.4039586113923727
ACH-000025,0.02590703517099023
ACH-000028,-0.24133746324865304
ACH-000030,-0.141833722710363
ACH-000035,-0.5966109802740999
ACH-000036,-0.12275400069124327
ACH-000037,-0.5059982365138189
ACH-000039,-0.3738658304263096
ACH-000040,-0.3210193187680455
ACH-000041,-0.3196383721993072
ACH-000042,-0.3225470862477241
ACH-000045,-0.269342099998147
ACH-000047,-0.2602613561726854
ACH-000052,-0.3820038193660632
ACH-000053,-0.4332991950597792
ACH-000054,-0.021344227580176598
ACH-000055,-0.3385832570200529
ACH-000060,-0.4129068060204696
ACH-000067,-0.5431851589106309
ACH-000070,-0.37889776432975003
ACH-000075,-0.2524352698230681
ACH-000078,-0.1136234085478058
ACH-000082,-0.19947821268502747
ACH-000085,-0.2580569341598368
ACH-000086,-0.3873762259101832
ACH-000087,-0.24633432432587365
ACH-000092,-0.31323610163685195
ACH-000095,-0.3189611057852005
ACH-000097,-0.2178886525233129
ACH-000098,-0.2558052244335432
ACH-000099,-0.26016275369767816
ACH-000108,-0.7950837088866103
ACH-000113,-0.2887012862997989
ACH-000116,-0.29021554802654914
ACH-000118,-0.6299024395353229
ACH-000120,-0.5503913636924941
ACH-000123,-0.2235287793456245
ACH-000127,-0.15289061016325114
ACH-000128,-0.4513593532299638
ACH-000132,-0.3944339311896633
ACH-000133,-0.3593066518295131
ACH-000137,0.04363962692778257
ACH-000138,-0.10688811276788973
ACH-000142,-0.2906259079852297
ACH-000143,-0.43655080950962666
ACH-000146,-0.4285434237520347
ACH-000148,-0.4273598736428705
ACH-000150,-0.07670800785213994
ACH-000152,-0.2795743092024198
ACH-000153,-0.3883705645577599
ACH-000159,0.01502063625682818
ACH-000160,-0.12116329992129135
ACH-000163,-0.5828921803017743
ACH-000167,-1.0771934999502537
ACH-000168,-0.484020497280089
ACH-000169,-0.3630274345386406
ACH-000178,-0.5448063701685988
ACH-000183,-0.46734403010582903
ACH-000188,-0.4177917833177981
ACH-000189,-0.2015058072257416
ACH-000190,-0.4136627361587982
ACH-000198,-0.5352035931165425
ACH-000203,-0.471095201194887
ACH-000204,0.11245588719077616
ACH-000206,-0.2985248109523125
ACH-000207,-0.6653875662506155
ACH-000208,-0.5230495033655891
ACH-000210,-0.08771023845539594
ACH-000211,-0.20095117419657008
ACH-000215,-0.2011823632770417
ACH-000221,-0.4119061314705267
ACH-000222,-0.4344321964770951
ACH-000223,-0.1816075533766913
ACH-000226,-0.22858804577233924
ACH-000227,-0.028890807890886955
ACH-000228,-0.4994580129659193
ACH-000231,-0.24937008697523474
ACH-000232,-0.3556924836489168
ACH-000233,-0.25568693293867745
ACH-000234,-0.2822203649967792
ACH-000235,-0.1469920235043384
ACH-000237,-0.5558759973367416
ACH-000238,-0.6347332072137903
ACH-000242,-0.34796051183984583
ACH-000243,-0.6713428440727048
ACH-000244,-0.1152902513650541
