,UGT2A2 (574537)
ACH-000004,-0.2907771157993128
ACH-000005,-0.37801357920003614
ACH-000007,-0.205331611562642
ACH-000009,-0.2874855568062472
ACH-000011,-0.21886754134056216
ACH-000012,-0.2513037018034389
ACH-000013,-0.12916438373489095
ACH-000014,-0.3101161522001817
ACH-000015,-0.13539285282234245
ACH-000017,-0.18935802458179465
ACH-000018,-0.05696860284363502
ACH-000019,-0.2053480571625701
ACH-000021,-0.17308480749931435
ACH-000022,-0.1886512289307713
ACH-000025,-0.23108365244856796
ACH-000028,-0.3646236164219625
ACH-000030,-0.2412183705042143
ACH-000035,-0.13628723984114374
ACH-000036,-0.3111776833699553
ACH-000037,-0.1772348270417935
ACH-000039,-0.16713989222783873
ACH-000040,-0.3486891332833775
ACH-000041,-0.3593755807352904
ACH-000042,-0.13526501894906004
ACH-000045,-0.17792278049709032
ACH-000047,-0.21302131034974991
ACH-000052,-0.09318744094802943
ACH-000053,-0.12225768081613893
ACH-000054,-0.2216522582971784
ACH-000055,-0.14837510480621888
ACH-000060,-0.2216453754622151
ACH-000067,-0.3289725387438405
ACH-000070,-0.18121869525042306
ACH-000075,-0.2392886817509905
ACH-000078,-0.16167390198848533
ACH-000082,-0.24488384200074104
ACH-000085,-0.08927508574217112
ACH-000086,-0.1956198944897316
ACH-000087,-0.25727676381648673
ACH-000092,-0.1268061978524677
ACH-000095,-0.2286413994883039
ACH-000097,-0.2647878488642369
ACH-000098,-0.2323870923218338
ACH-000099,-0.18079096880669476
ACH-000108,-0.09720964379916498
ACH-000113,-0.3001497885124863
ACH-000116,-0.2097876321707483
ACH-000118,-0.16029949945118538
ACH-000120,-0.21152375119402306
ACH-000123,-0.2560455281079249
ACH-000127,-0.25711373703273843
ACH-000128,-0.23442236446993145
ACH-000132,-0.20554778954060016
ACH-000133,-0.28620882300486483
ACH-000137,-0.2565037764901599
ACH-000138,-0.2550811219122493
ACH-000142,-0.1513396893133777
ACH-000143,-0.3754361336734639
ACH-000146,-0.14896226367791346
ACH-000148,-0.24280893527154865
ACH-000150,-0.269880487582365
ACH-000152,-0.14601106140586695
ACH-000153,-0.12748696174257654
ACH-000159,-0.2695907502445989
ACH-000160,-0.16776646284767813
ACH-000163,-0.3143564005152865
ACH-000167,-0.05342990684643844
ACH-000168,-0.12077139499563515
ACH-000169,-0.20992991816460832
ACH-000178,-0.2599385535815896
ACH-000183,-0.3246240216043276
ACH-000188,-0.10369681468998466
ACH-000189,-0.5403027267412525
ACH-000190,-0.20826400935355466
ACH-000198,-0.29295276810619897
ACH-000203,-0.5903337043409266
ACH-000204,-0.3210890185413169
ACH-000206,-0.2972240414289468
ACH-000207,-0.1158645555502068
ACH-000208,-0.4788630563946096
ACH-000210,-0.10490834747260554
ACH-000211,-0.1643758718186774
ACH-000215,-0.2679440396659198
ACH-000221,-0.2876687178477608
ACH-000222,-0.2040729341783984
ACH-000223,-0.25029723870679965
ACH-000226,-0.2298471775465163
ACH-000227,-0.2035490265301707
ACH-000228,-0.264202474034774
ACH-000231,-0.2711329725177458
ACH-000232,-0.2515289631009281
ACH-000233,-0.18030544936769613
ACH-000234,-0.2758108329547672
ACH-000235,-0.18283339847822355
ACH-000237,-0.3628314700660746
ACH-000238,-0.2734951580443097
ACH-000242,-0.1715539445090179
ACH-000243,-0.12367552738666587
ACH-000244,-0.06037298394375585
ACH-000246,-0.17248952895461486
ACH-000248,-0.3051656627208086
ACH-000250,-0.16326192171502854
ACH-000251,-0.17456915940201065
ACH-000252,-0.3521632915070465
ACH-000253,-0.1567348768207544
ACH-000255,-0.17284229669667653
ACH-000256,-0.2113261970051277
ACH-000257,-0.2706147299146652
ACH-000258,-0.3427715602718803
ACH-000259,-0.2327328328313623
ACH-000260,-0.12884199701262206
ACH-000261,-0.22532126369035554
ACH-000262,-0.3854947779538398
ACH-000263,-0.22063720774201398
ACH-000264,-0.23585027768442984
ACH-000265,-0.2450223450649828
ACH-000266,-0.2325049150096485
ACH-000272,-0.2063487332879637
ACH-000274,-0.15532464033710394
ACH-000277,-0.3323931002254418
ACH-000278,-0.13727867862630544
ACH-000279,-0.2494679604269865
ACH-000280,-0.0851241544370012
ACH-000281,-0.231615481742424
ACH-000288,-0.2157326463981425
ACH-000291,-0.2636934256623813
ACH-000293,-0.2776470019680124
ACH-000294,-0.19978478779508552
ACH-000295,-0.34056658108569543
ACH-000296,-0.2409080361546924
ACH-000302,-0.2712891434199387
ACH-000304,-0.08353346220673014
ACH-000307,-0.2069806847000966
ACH-000308,-0.20568678713356026
ACH-000310,-0.1765732316213136
ACH-000311,-0.15661064471546976
ACH-000312,-0.07651749356271204
ACH-000315,-0.11913425522694612
ACH-000316,-0.1842519859323912
ACH-000317,-0.2504164728992884
ACH-000318,-0.2856287496895361
ACH-000319,-0.2875358780669044
ACH-000320,-0.3321653323188153
ACH-000322,-0.3777196081252525
ACH-000323,-0.3928918026829065
ACH-000324,-0.15966638192053362
ACH-000329,-0.22044250093402404
ACH-000330,-0.3669634733535279
ACH-000331,-0.2474498226204208
ACH-000332,-0.22960431329791064
ACH-000334,-0.13104279228465898
ACH-000335,-0.3293023127309416
ACH-000336,0.028894430919486125
ACH-000337,-0.2596527176093508
ACH-000338,-0.33902108899658023
ACH-000339,-0.29357016453630685
ACH-000341,-0.3795500851387273
ACH-000348,-0.24659464433075914
ACH-000350,-0.19813636093111747
ACH-000352,-0.2425472104364925
ACH-000356,-0.21697145729900932
ACH-000361,-0.19308220905276086
ACH-000362,-0.22011567956580105
ACH-000363,-0.3271021714494497
ACH-000364,-0.22500075476120504
ACH-000365,-0.2236715479776781
ACH-000366,-0.2383895528903944
ACH-000368,-0.22841080175595616
ACH-000374,-0.1888912821505774
ACH-000375,-0.2377933692300812
ACH-000376,-0.2522893792797797
ACH-000381,-0.05039784464777562
ACH-000383,-0.2652364869162113
ACH-000387,-0.2101343550689949
ACH-000389,-0.15871091537617207
ACH-000390,-0.19143501888023365
ACH-000393,-0.1908823757488908
ACH-000395,-0.09719460054339794
ACH-000396,-0.2302237995348683
ACH-000397,-0.2564070974356161
ACH-000401,-0.37541905668797776
ACH-000402,-0.1733310777396904
ACH-000403,-0.2341445417765605
ACH-000404,-0.4102561090977346
ACH-000406,-0.1851604982954285
ACH-000407,-0.21290560048850185
ACH-000408,-0.15432236987334266
ACH-000410,-0.26942178592358706
ACH-000411,-0.18714163309055007
ACH-000414,-0.29074109702378403
ACH-000415,-0.35239404799410184
ACH-000416,-0.24689814279738515
ACH-000420,-0.2904037081364192
ACH-000421,-0.17548316810953554
ACH-000424,-0.1974054689719716
ACH-000425,-0.2834258217154919
ACH-000426,-0.2479368819376689
ACH-000427,-0.15255555559820233
ACH-000433,-0.21718732736629207
ACH-000435,-0.09253197211817067
ACH-000436,-0.1511066711477648
ACH-000444,-0.2881758547384181
ACH-000445,-0.1669636602178866
ACH-000448,-0.2395517916022787
ACH-000450,-0.2752009542966747
ACH-000452,-0.1927362591304335
ACH-000454,-0.352415164116045
ACH-000458,-0.14532258770185047
ACH-000459,-0.257711954112516
ACH-000460,-0.216696452182128
ACH-000461,-0.11928526380262575
ACH-000463,-0.2097436402834061
ACH-000464,-0.1922004592786694
ACH-000466,-0.12801259621995753
ACH-000467,-0.24486663324546826
ACH-000468,-0.10069651818265116
ACH-000469,-0.2843918151454345
ACH-000470,-0.12999862292222453
ACH-000471,-0.15281206908321476
ACH-000472,-0.17045892942534427
ACH-000473,-0.17304750739918054
ACH-000475,-0.2608271768115694
ACH-000476,-0.2881046583148472
ACH-000477,-0.0732903630742894
ACH-000479,-0.1837222328108972
ACH-000480,-0.2811645376958005
ACH-000481,-0.17685679590547285
ACH-000483,-0.04999361361705672
ACH-000484,-0.1258588851222767
ACH-000485,-0.14914911320949667
ACH-000486,-0.20124981943659906
ACH-000487,-0.0968456521671879
ACH-000488,-0.22938782201873345
ACH-000490,-0.2755482299456789
ACH-000491,-0.268451042811769
ACH-000495,-0.0073147311185956
ACH-000496,-0.3238626825375961
ACH-000499,-0.3818003666852869
ACH-000500,-0.11789883231132152
ACH-000502,-0.2625974228187326
ACH-000503,-0.17297770364352066
ACH-000505,-0.16943340758986994
ACH-000507,-0.21198823166891495
ACH-000510,-0.2433375467082781
ACH-000511,-0.30142665874145724
ACH-000512,-0.2334398647378325
ACH-000516,-0.15934445415759688
ACH-000517,-0.17043592031065946
ACH-000518,-0.14749604207201036
ACH-000520,-0.41148173182018855
ACH-000521,-0.09929175789043324
ACH-000522,-0.1956190757687569
ACH-000524,-0.17009052284904755
ACH-000527,-0.2879823576857938
ACH-000528,-0.12640537156100745
ACH-000537,-0.34243739268143136
ACH-000541,-0.3790082994189045
ACH-000542,-0.2124642539014293
ACH-000544,-0.3058062446192704
ACH-000545,-0.2850701472047109
ACH-000547,-0.2353796382870945
ACH-000548,-0.2534454164310734
ACH-000549,-0.3380430504682431
ACH-000550,-0.25292040521393944
ACH-000552,-0.0696425212402049
ACH-000556,-0.271815039690767
ACH-000557,-0.09914725600985702
ACH-000569,-0.11755707330627485
ACH-000570,-0.3525419395378236
ACH-000571,-0.1605818503964453
ACH-000573,-0.2628782421923307
ACH-000576,-0.13472372318471526
ACH-000579,-0.3276704589522149
ACH-000580,-0.36325608777836815
ACH-000584,-0.17403852256962138
ACH-000585,-0.16628107134186867
ACH-000588,-0.12339273838174518
ACH-000589,-0.1686908000740777
ACH-000591,-0.1329687864416722
ACH-000593,-0.2552874657530961
ACH-000600,-0.20430068619928834
ACH-000601,-0.2248731793689319
ACH-000605,-0.19677516338298331
ACH-000606,-0.2385029445000839
ACH-000608,-0.2292919764627411
ACH-000614,-0.34172815308971843
ACH-000616,-0.27528739251024176
ACH-000618,-0.26482169794586163
ACH-000619,-0.1549575300706813
ACH-000620,-0.18911866048675388
ACH-000621,-0.2572009133070912
ACH-000622,-0.1573993104468323
ACH-000623,-0.19675540921412776
ACH-000624,-0.2371570031898195
ACH-000627,-0.21192919870620816
ACH-000630,-0.21109243559419585
ACH-000631,-0.2765481294713896
ACH-000632,-0.16797088883935454
ACH-000633,-0.18489769373248466
ACH-000637,-0.07206620499923344
ACH-000638,-0.27749252275482145
ACH-000646,-0.25482461829820674
ACH-000647,-0.2514389757538232
ACH-000648,-0.24446187489872306
ACH-000649,-0.2598161617603301
ACH-000651,-0.21549992137574067
ACH-000652,-0.216193852425237
ACH-000653,-0.13063347387196506
ACH-000657,-0.20091672361890264
ACH-000658,-0.1623449358296388
ACH-000661,-0.1780273918390421
ACH-000662,-0.20551833983792264
ACH-000663,-0.2709725288086721
ACH-000665,-0.2763455022806425
ACH-000671,-0.2511475822316576
ACH-000672,-0.18233434272444893
ACH-000673,-0.2382330740459367
ACH-000676,-0.2667083628504197
ACH-000677,-0.2340194146574649
ACH-000681,-0.20806468385953905
ACH-000683,-0.1679390958944836
ACH-000684,-0.2347961476968013
ACH-000688,-0.20292053636850088
ACH-000693,-0.2263022598249046
ACH-000694,-0.2501147674146685
ACH-000695,-0.11463528307086353
ACH-000696,-0.24877653623809204
ACH-000697,-0.1276109753530862
ACH-000699,-0.1519955634359886
ACH-000701,-0.240177345946999
ACH-000706,-0.2494965304406569
ACH-000711,-0.2554072919441197
ACH-000713,-0.2563870026559696
ACH-000714,-0.3226881299441429
ACH-000718,-0.20171222159635452
ACH-000720,-0.11268621168410176
ACH-000721,-0.18360646247793705
ACH-000724,-0.24338018285096535
ACH-000725,-0.15541684130902528
ACH-000732,-0.11315650712491505
ACH-000734,-0.15279251666125895
ACH-000735,-0.1177660841089241
ACH-000736,-0.23284521798594976
ACH-000738,-0.26539387874801096
ACH-000746,-0.25178115039473103
ACH-000747,-0.18354737572238147
ACH-000748,-0.22197852236606444
ACH-000753,-0.19265609682583712
ACH-000756,-0.18393500782684047
ACH-000757,-0.11390791954015435
ACH-000758,-0.2215397439516254
ACH-000760,-0.2479173833753803
ACH-000762,-0.03855754340926145
ACH-000763,-0.20621811263022646
ACH-000764,-0.38223956088966937
ACH-000765,-0.11596025969053456
ACH-000766,-0.3618984050226272
ACH-000767,-0.2496577098348016
ACH-000768,-0.24609541791628314
ACH-000769,-0.13133385838458653
ACH-000770,-0.2200668634364332
ACH-000771,-0.24329726873735336
ACH-000773,-0.22999445399200436
ACH-000776,-0.26043755015059145
ACH-000777,-0.195228907509152
ACH-000778,-0.11661827278354735
ACH-000781,-0.2033808829653544
ACH-000782,-0.24189497519876485
ACH-000783,-0.1904585759588036
ACH-000784,-0.2233767229475792
ACH-000785,-0.21419872952995644
ACH-000787,-0.27063821220479983
ACH-000788,-0.239158126726549
ACH-000791,-0.22289881258771815
ACH-000792,-0.2559984516311866
ACH-000794,-0.24588731380031176
ACH-000796,-0.2332992504255184
ACH-000798,-0.2971778703049397
ACH-000799,-0.4495750914192633
ACH-000800,-0.2651529485026416
ACH-000802,-0.1856287962520536
ACH-000804,-0.21626532547726654
ACH-000805,-0.2108716295967046
ACH-000809,-0.2185003501364733
ACH-000810,-0.3163344990634496
ACH-000811,-0.17878316041109454
ACH-000817,-0.21841698592512074
ACH-000819,-0.0775682992690193
ACH-000820,-0.11034648525446213
ACH-000821,-0.3211630537376446
ACH-000822,-0.2246372295735204
ACH-000823,-0.0648896093531648
ACH-000824,-0.2001124425079712
ACH-000827,-0.17796137696323264
ACH-000829,-0.23345504069625825
ACH-000831,-0.2968819667418304
ACH-000832,-0.2613055548932211
ACH-000833,-0.16493173778615358
ACH-000834,-0.2457729380912545
ACH-000835,-0.2531078668106434
ACH-000836,-0.2795037423481459
ACH-000837,-0.21012186626208407
ACH-000838,0.0552692327916596
ACH-000839,-0.14836625624269514
ACH-000840,-0.13877764874897922
ACH-000841,-0.2702977847583467
ACH-000843,-0.13108868331695006
ACH-000846,-0.16505979046046035
ACH-000847,-0.07712396094653554
ACH-000848,-0.2206959355390285
ACH-000849,-0.11075991374935842
ACH-000851,-0.2716512185596851
ACH-000855,-0.2269078013498711
ACH-000856,-0.2434465796062104
ACH-000858,-0.2406751342954893
ACH-000859,-0.24037447363403944
ACH-000861,-0.14392528541393884
ACH-000862,-0.224583451818256
ACH-000865,-0.18812129867493796
ACH-000866,-0.184516633537158
ACH-000867,-0.1895342130535841
ACH-000869,-0.1963903292954134
ACH-000872,-0.1857864880664023
ACH-000873,-0.10385977305507904
ACH-000876,-0.18700667883077768
ACH-000878,-0.164339957404868
ACH-000880,-0.2331629161546869
ACH-000881,-0.26074319082431896
ACH-000882,-0.07511169822148826
ACH-000884,-0.2131904682381004
ACH-000885,-0.11829126633349644
ACH-000887,-0.2345039123886005
ACH-000889,-0.18332506289875114
ACH-000896,-0.22811153863173395
ACH-000898,-0.22063403238228416
ACH-000900,-0.2984570630777708
ACH-000901,-0.16425144323981464
ACH-000905,-0.2589127333998022
ACH-000906,-0.1607017593339131
ACH-000907,-0.3468416628152753
ACH-000910,-0.27386813902561513
ACH-000911,-0.18001894286087933
ACH-000912,-0.22239983055502807
ACH-000913,-0.18542701413237053
ACH-000915,-0.32392797718592403
ACH-000916,0.026044238122581897
ACH-000917,-0.3020434212704642
ACH-000920,-0.2283798627776093
ACH-000921,-0.23463283276555605
ACH-000924,-0.25306242254054623
ACH-000926,-0.2295190893575959
ACH-000928,-0.17601284718365565
ACH-000929,-0.1824765847969072
ACH-000932,-0.1268758942000787
ACH-000935,-0.15996122520014905
ACH-000936,-0.1773941335328984
ACH-000937,-0.199346753257912
ACH-000938,-0.0745919691055112
ACH-000939,-0.1921772156469073
ACH-000941,-0.282833653824802
ACH-000943,-0.2341851627681215
ACH-000946,-0.3672272454439649
ACH-000947,-0.19175703513844616
