,DIMT1 (27292)
ACH-000004,-0.4730829554938146
ACH-000005,-0.29980708502506503
ACH-000007,-0.43973339430293
ACH-000009,-0.3263927924479681
ACH-000011,-0.6432234397991525
ACH-000012,-0.5727301492345958
ACH-000013,-0.4385585090291033
ACH-000014,-0.5093293595481267
ACH-000015,-0.5753918432477323
ACH-000017,-0.5433350579651479
ACH-000018,-0.5020612630653706
ACH-000019,-0.24233372674598086
ACH-000021,-0.3602925491548883
ACH-000022,-0.5394442651463068
ACH-000025,-0.5250255063092694
ACH-000028,-0.5007929654056921
ACH-000030,-0.466378974107089
ACH-000035,-0.3199701882851597
ACH-000036,-0.44716975156264654
ACH-000037,-0.467019499890492
ACH-000039,-0.4467670022571322
ACH-000040,-0.5555906140398512
ACH-000041,-0.319304623483798
ACH-000042,-0.36473949295613456
ACH-000045,-0.4127685194206767
ACH-000047,-0.4020675093419587
ACH-000052,-0.5025957116179608
ACH-000053,-0.6100847055180799
ACH-000054,-0.611128142330178
ACH-000055,-0.6466360587695509
ACH-000060,-0.3104786884890641
ACH-000067,-0.4833277509803087
ACH-000070,-0.3961920291366831
ACH-000075,-0.5672240947873904
ACH-000078,-0.4257361574944049
ACH-000082,-0.4814823047599373
ACH-000085,-0.4356190619190083
ACH-000086,-0.4092500749703011
ACH-000087,-0.5624873971584322
ACH-000092,-0.3866559431437941
ACH-000095,-0.5307415982042162
ACH-000097,-0.4733652503053986
ACH-000098,-0.5549058279396403
ACH-000099,-0.30652354530473874
ACH-000108,-0.5251160043461857
ACH-000113,-0.4433760202821932
ACH-000116,-0.6755576322203445
ACH-000118,-0.3293306789549607
ACH-000120,-0.5494749948823251
ACH-000123,-0.3201245250730565
ACH-000127,-0.4439331434489292
ACH-000128,-0.4995973130707031
ACH-000132,-0.6014807794715052
ACH-000133,-0.3715016215606786
ACH-000137,-0.6241419631489926
ACH-000138,-0.4371176775335182
ACH-000142,-0.5314529344467497
ACH-000143,-0.422705781406222
ACH-000146,-0.5598756247468601
ACH-000148,-0.4910672845625735
ACH-000150,-0.38936114866670013
ACH-000152,-0.4738883709060417
ACH-000153,-0.5256756575897792
ACH-000159,-0.4966939863936621
ACH-000160,-0.7563984723871127
ACH-000163,-0.6385409328086412
ACH-000167,-0.8767876511431689
ACH-000168,-0.660458356042795
ACH-000169,-0.5189285803892859
ACH-000178,-0.4868167807971536
ACH-000183,-0.4662078152437468
ACH-000188,-0.3101096469682141
ACH-000189,-0.3754033702602206
ACH-000190,-0.5977195019067713
ACH-000198,-0.5299180462436365
ACH-000203,-0.5194514147756579
ACH-000204,-0.4887570586035174
ACH-000206,-0.5114310702260374
ACH-000207,-0.5638532340997325
ACH-000208,-0.6288858016191677
ACH-000210,-0.38420455357711203
ACH-000211,-0.4534277833843
ACH-000215,-0.5877150754351143
ACH-000221,-0.3166771026158253
ACH-000222,-0.4905558149686726
ACH-000223,-0.4720880598246347
ACH-000226,-0.6604087122904715
ACH-000227,-0.3143093375488033
ACH-000228,-0.5548404081078361
ACH-000231,-0.449078539688849
ACH-000232,-0.4607712700329657
ACH-000233,-0.3327152018132729
ACH-000234,-0.5306162324531196
ACH-000235,-0.4693597152419392
ACH-000237,-0.4295565022284015
ACH-000238,-0.4543456517134835
ACH-000242,-0.6026090862811573
ACH-000243,-0.6182175791090034
ACH-000244,-0.3748977097459856
ACH-000246,-0.4079521390294557
ACH-000248,-0.4196339793971341
ACH-000250,-0.3875023511941661
ACH-000251,-0.5833704023915789
ACH-000252,-0.5516035777808362
ACH-000253,-0.6137622734092922
ACH-000255,-0.6280746260529589
ACH-000256,-0.40021123434337336
ACH-000257,-0.6217505343234647
ACH-000258,-0.4695472339241228
ACH-000259,-0.3327459747027481
ACH-000260,-0.5478452141699957
ACH-000261,-0.4812959696057898
ACH-000262,-0.4336558322985843
ACH-000263,-0.14079818972979372
ACH-000264,-0.5027209627389428
ACH-000265,-0.4034463916832127
ACH-000266,-0.4976215847829506
ACH-000272,-0.6067933818028003
ACH-000274,-0.44929116611437625
ACH-000277,-0.2839032021899757
ACH-000278,-0.6017397406235848
ACH-000279,-0.4417040820279118
ACH-000280,-0.4083193631061573
ACH-000281,-0.28775106600980577
ACH-000288,-0.2445582208639092
ACH-000291,-0.4850363370941723
ACH-000293,-0.41884372990799307
ACH-000294,-0.5227452960861043
ACH-000295,-0.4163038070964593
ACH-000296,-0.6406471938021189
ACH-000302,-0.6796187482923286
ACH-000304,-0.7073478331331775
ACH-000307,-0.4698270459001361
ACH-000308,-0.3802621149066544
ACH-000310,-0.43812745878826187
ACH-000311,-0.32704208536190954
ACH-000312,-0.458646913754922
ACH-000315,-0.5944677506894701
ACH-000316,-0.5865675492494765
ACH-000317,-0.4812335517167824
ACH-000318,-0.5508797721722871
ACH-000319,-0.5950763149795185
ACH-000320,-0.3695885961390415
ACH-000322,-0.4416975567070868
ACH-000323,-0.6458159977508107
ACH-000324,-0.451380178821409
ACH-000329,-0.34510104571964056
ACH-000330,-0.40833323279634426
ACH-000331,-0.5391676672901153
ACH-000332,-0.3887747951081557
ACH-000334,-0.491231080432161
ACH-000335,-0.7389957618776278
ACH-000336,-0.6960774191774032
ACH-000337,-0.4187093459520076
ACH-000338,-0.8775988547214721
ACH-000339,-0.5414086858597094
ACH-000341,-0.3578493588760686
ACH-000348,-0.5085271363374378
ACH-000350,-0.32583271567169897
ACH-000352,-0.4535838093823326
ACH-000356,-0.5029116732943651
ACH-000361,-0.39350975588348747
ACH-000362,-0.405174361558082
ACH-000363,-0.4886418423508925
ACH-000364,-0.7296198923757576
ACH-000365,-0.4570202358596146
ACH-000366,-0.3540738183381647
ACH-000368,-0.488350247000604
ACH-000374,-0.4404792492481808
ACH-000375,-0.5181088889572604
ACH-000376,-0.4562612355883496
ACH-000381,-0.4941072990541045
ACH-000383,-0.3674501363759313
ACH-000387,-0.4696101134892568
ACH-000389,-0.6459980554451217
ACH-000390,-0.4744813413723719
ACH-000393,-0.671573022936687
ACH-000395,-0.4474064230903044
ACH-000396,-0.4345693513760041
ACH-000397,-0.4358535446450722
ACH-000401,-0.5663068882058956
ACH-000402,-0.6161536888946337
ACH-000403,-0.23770297733933185
ACH-000404,-0.23357741339899266
ACH-000406,-0.5385280632520166
ACH-000407,-0.500609848767463
ACH-000408,-0.7376293244548748
ACH-000410,-0.4188510215954178
ACH-000411,-0.4238082247931269
ACH-000414,-0.45803034610840404
ACH-000415,-0.5943324132536038
ACH-000416,-0.8135647430518275
ACH-000420,-0.4398899083728775
ACH-000421,-0.4704045646468375
ACH-000424,-0.3549709004362939
ACH-000425,-0.579000049641855
ACH-000426,-0.5470600044319679
ACH-000427,-0.4106566366878299
ACH-000433,-0.667646734328895
ACH-000435,-0.01482235544935619
ACH-000436,-0.6554513238545003
ACH-000444,-0.6470693618973479
ACH-000445,-0.2446722196582198
ACH-000448,-0.6045657547360054
ACH-000450,-0.24201566360730345
ACH-000452,-0.38615492139247204
ACH-000454,-0.4533820820586162
ACH-000458,-0.4761295167667156
ACH-000459,-0.4483610404248604
ACH-000460,-0.3190278854296592
ACH-000461,-0.3978455094497185
ACH-000463,-0.4824466392862577
ACH-000464,-0.3824874807157375
ACH-000466,-0.5413374027749335
ACH-000467,-0.4435997244986842
ACH-000468,-0.2789934546297143
ACH-000469,-0.374628463203829
ACH-000470,-0.32045060665966424
ACH-000471,-0.4772103543858917
ACH-000472,-0.5884171423247074
ACH-000473,-0.48978977683166
ACH-000475,-0.43721421148441947
ACH-000476,-0.3818065253784934
ACH-000477,-0.5086783716645643
ACH-000479,-0.4660722286750715
ACH-000480,-0.510485526815317
ACH-000481,-0.51762024775994
ACH-000483,-0.3471834857889889
ACH-000484,-0.3321707467878628
ACH-000485,-0.5392949471213604
ACH-000486,-0.6511498668358706
ACH-000487,-0.342070068701578
ACH-000488,-0.35871510043216914
ACH-000490,-0.5143046697018776
ACH-000491,-0.34529839934500994
ACH-000495,-0.5136023747649853
ACH-000496,-0.3493975730259034
ACH-000499,-0.235139772867072
ACH-000500,-0.07291718781269158
ACH-000502,-0.3826038846796189
ACH-000503,-0.1519966344381492
ACH-000505,-0.4891054372263006
ACH-000507,-0.4148925988453425
ACH-000510,-0.4290884134319556
ACH-000511,-0.5412199106470845
ACH-000512,-0.4324886872103652
ACH-000516,-0.3306002739431762
ACH-000517,-0.4357639790293247
ACH-000518,-0.6780023050448061
