,MLST8 (64223)
ACH-000004,-0.4346018602691618
ACH-000005,-0.3219496213384205
ACH-000007,-0.8988638703799717
ACH-000009,-0.28013733252237066
ACH-000011,-0.8370660393810173
ACH-000012,-0.3147928331205555
ACH-000013,-1.020149945493741
ACH-000014,-0.977206434410863
ACH-000015,-0.7299654661776113
ACH-000017,-1.0094505587710187
ACH-000018,-0.9644723148069526
ACH-000019,-0.6354572871136751
ACH-000021,-0.6557617558069799
ACH-000022,-0.5228414341925031
ACH-000025,-0.8503048801676787
ACH-000028,-0.5894675942265636
ACH-000030,-0.6561833799802811
ACH-000035,-0.7147848853438328
ACH-000036,-0.7229449355347392
ACH-000037,-0.5429166324573866
ACH-000039,-0.8663459181424459
ACH-000040,-0.7767199753889394
ACH-000041,-1.0221945496021196
ACH-000042,-0.42488673228981816
ACH-000045,-0.35598388112673235
ACH-000047,-0.5487431238205144
ACH-000052,-0.7855328369769213
ACH-000053,-0.8740895168035631
ACH-000054,-0.3832875765324574
ACH-000055,-0.3152315385457769
ACH-000060,-0.781436110241638
ACH-000067,-0.7783943942080215
ACH-000070,-0.8165287042618988
ACH-000075,-0.4512205048122656
ACH-000078,-0.7254548713521696
ACH-000082,-0.3871149019624529
ACH-000085,-0.5889792077453988
ACH-000086,-0.6990421977872315
ACH-000087,-0.8081641297510452
ACH-000092,-0.6534478308243156
ACH-000095,-0.6779444716258104
ACH-000097,-0.6924463946331739
ACH-000098,-1.1709872409852065
ACH-000099,-0.5725838403525464
ACH-000108,-0.6809092988213733
ACH-000113,-0.5337615086801158
ACH-000116,-0.4296584828162995
ACH-000118,-0.6091969901765595
ACH-000120,-0.7410500939239428
ACH-000123,-0.4896358521456402
ACH-000127,-0.5638378526656657
ACH-000128,-1.098061470922262
ACH-000132,-0.6351513373307125
ACH-000133,-0.5996563709697061
ACH-000137,-0.6739693344388092
ACH-000138,-0.7057379226641091
ACH-000142,-0.8279289446620863
ACH-000143,-0.8738635638365668
ACH-000146,-0.7269917329177804
ACH-000148,-1.0141886508768667
ACH-000150,-0.7569464601555485
ACH-000152,-0.7500789895937683
ACH-000153,-0.6316863914376564
ACH-000159,-0.7717612838615757
ACH-000160,-0.4498168087090868
ACH-000163,-0.9227955295411048
ACH-000167,-0.7811829025161866
ACH-000168,-0.5601785232981494
ACH-000169,-0.3207430902575415
ACH-000178,-0.9451852066913136
ACH-000183,-0.9662471785790738
ACH-000188,-0.3292618371330163
ACH-000189,-0.6708982137711467
ACH-000190,-0.4139311039547357
ACH-000198,-0.4639025089262744
ACH-000203,-0.6818043850118372
ACH-000204,-0.7393793472601721
ACH-000206,-0.4319638903002834
ACH-000207,-0.6337707003770102
ACH-000208,-0.4214601300135837
ACH-000210,-0.5759120643980163
ACH-000211,-0.7660809733773739
ACH-000215,-0.8823422917560719
ACH-000221,-0.2769130264705782
ACH-000222,-0.7623412950496142
ACH-000223,-0.41451432832882623
ACH-000226,-0.4238254586042112
ACH-000227,-0.3836981818853724
ACH-000228,-0.4111666813999124
ACH-000231,-0.8783271354272691
ACH-000232,-0.8821991588507208
ACH-000233,-0.5160810841144878
ACH-000234,-0.5312007126993935
ACH-000235,-0.6102777870035638
ACH-000237,-0.8055135281124107
ACH-000238,-0.6160611368139279
ACH-000242,0.10332597567025732
ACH-000243,-0.7421173101173868
ACH-000244,-0.7710588656515259
ACH-000246,-0.8094621162854857
ACH-000248,-0.7560606340263915
ACH-000250,-0.5246151417084328
ACH-000251,-0.4694272742279995
ACH-000252,-0.7071284676922368
ACH-000253,-0.3633174103955234
ACH-000255,-0.6245682349072535
ACH-000256,-0.3734540698817833
ACH-000257,-0.7704289210780114
ACH-000258,-0.6851081659186994
ACH-000259,-0.4600969350613421
ACH-000260,-0.3587398678846135
ACH-000261,-0.6328593126439157
ACH-000262,-0.9133517461044164
ACH-000263,-0.6615759574999489
ACH-000264,-0.5478619367294677
ACH-000265,-0.6310042735377316
ACH-000266,-0.5335138529059356
ACH-000272,-0.7502738022846641
ACH-000274,-0.341865531898822
ACH-000277,-0.6368793015373612
