,HIST1H1C (3006)
ACH-000004,-0.11996181769762775
ACH-000005,-0.1086642795101903
ACH-000007,-0.16272219513631025
ACH-000009,-0.16732883459736045
ACH-000011,-0.3917590780600136
ACH-000012,-0.057179723706826925
ACH-000013,-0.14510348206728532
ACH-000014,-0.5268273619569185
ACH-000015,-0.01287296992765496
ACH-000017,-0.4245997200521118
ACH-000018,-0.3125885010921293
ACH-000019,-0.13908755856801858
ACH-000021,-0.1030676766379025
ACH-000022,-0.14736270279148847
ACH-000025,-0.05233300089434372
ACH-000028,-0.23672286432463566
ACH-000030,-0.15723554238965695
ACH-000035,-0.2086068825299756
ACH-000036,-0.3546595315804881
ACH-000037,-0.09276445420612876
ACH-000039,-0.1682111855943499
ACH-000040,-0.049327087326551236
ACH-000041,-0.2434989079384175
ACH-000042,-0.16036539350293078
ACH-000045,-0.17353915261162822
ACH-000047,-0.07619457209615246
ACH-000052,-0.11262412352084075
ACH-000053,-0.032733610083499794
ACH-000054,-0.15230214468949452
ACH-000055,-0.17456579099019987
ACH-000060,-0.15548482097459945
ACH-000067,-0.2937834459433762
ACH-000070,0.0008723529595959929
ACH-000075,-0.0581639054257144
ACH-000078,-0.14980622810584074
ACH-000082,-0.25647211588708124
ACH-000085,-0.09107880146989576
ACH-000086,-0.15680684421695087
ACH-000087,-0.4063150017237152
ACH-000092,-0.2856928873258277
ACH-000095,-0.15849893042544064
ACH-000097,-0.17944932956472526
ACH-000098,-0.2530221046519118
ACH-000099,-0.16063137470254465
ACH-000108,-0.13977435769464824
ACH-000113,-0.11944548931773692
ACH-000116,-0.149677484164786
ACH-000118,-0.2285402502284493
ACH-000120,-0.2301754213722439
ACH-000123,-0.32287020780202635
ACH-000127,-0.2872289985170359
ACH-000128,-0.0484047013365608
ACH-000132,-0.05129187852313403
ACH-000133,-0.2198629863658469
ACH-000137,-0.1857694410334397
ACH-000138,-0.1882111283734139
ACH-000142,-0.1471604489315706
ACH-000143,-0.3173798569151353
ACH-000146,-0.1272885896662732
ACH-000148,-0.17734907238986938
ACH-000150,-0.19100136327365413
ACH-000152,-0.19488510316830568
ACH-000153,-0.3644071324417945
ACH-000159,-0.1538664123974069
ACH-000160,0.20763348018006766
ACH-000163,-0.08893259082156832
ACH-000167,0.5449913243903144
ACH-000168,-0.05431799456525338
ACH-000169,-0.22786197589011895
ACH-000178,-0.2388419354420686
ACH-000183,-0.2381480409420941
ACH-000188,-0.2279332099399765
ACH-000189,-0.3280038073825067
ACH-000190,0.04348544315855008
ACH-000198,-0.2703456509092467
ACH-000203,0.2155403525073469
ACH-000204,-0.40543073122717105
ACH-000206,-0.6820432258304309
ACH-000207,-0.15207024980659342
ACH-000208,-0.2043608261730928
ACH-000210,-0.16697963738693697
ACH-000211,-0.23484346240622955
ACH-000215,-0.13167497048417615
ACH-000221,-0.03470317224893733
ACH-000222,-0.10415859838984937
ACH-000223,-0.2370357274767672
ACH-000226,-0.04482992100142718
ACH-000227,-0.15918734926462896
ACH-000228,-0.21949726525166105
