,HBS1L (10767)
ACH-000004,-0.3585356476831062
ACH-000005,-0.1573076559830924
ACH-000007,-0.18237275858784227
ACH-000009,0.0005383050503969696
ACH-000011,-0.11000619304428592
ACH-000012,-0.1478937597997271
ACH-000013,-0.11878056201050442
ACH-000014,-0.20280725163046248
ACH-000015,-0.21064135890613464
ACH-000017,-0.14456078777719192
ACH-000018,-0.22127856873846305
ACH-000019,-0.3806947501141
ACH-000021,-0.10212092752925728
ACH-000022,-0.1237935812878816
ACH-000025,-0.1864288932095558
ACH-000028,-0.1449253774991424
ACH-000030,0.0021839849202238363
ACH-000035,-0.3782059205148592
ACH-000036,-0.02755383438666165
ACH-000037,-0.03948753104183663
ACH-000039,0.1554526238763257
ACH-000040,-0.4672431804861328
ACH-000041,0.023539076862107603
ACH-000042,-0.09455354400516984
ACH-000045,-0.14518069005383272
ACH-000047,-0.12832757286865654
ACH-000052,-0.2279068146737896
ACH-000053,-0.10961296017135012
ACH-000054,0.013151666544482743
ACH-000055,-0.09010679077545923
ACH-000060,-0.11299530974624013
ACH-000067,-0.09104633112231683
ACH-000070,-0.16831127749556773
ACH-000075,-0.26865824984258285
ACH-000078,0.11891448883654154
ACH-000082,-0.00904372319332699
ACH-000085,-0.10154889570621324
ACH-000086,-0.004270290906883541
ACH-000087,-0.2283080573639429
ACH-000092,-0.15458674750716467
ACH-000095,-0.21225354575716102
ACH-000097,-0.037800263588806636
ACH-000098,0.08218469084189907
ACH-000099,0.16033133515029022
ACH-000108,-0.29279101035440025
ACH-000113,0.016149686619936533
ACH-000116,-0.16115354201320906
ACH-000118,-0.2645722869290458
ACH-000120,0.009088755335308623
ACH-000123,-0.019749237481509675
ACH-000127,0.002571490356962155
ACH-000128,-0.01468891423546513
ACH-000132,-0.3385129413553053
ACH-000133,-0.014152875037284681
ACH-000137,-0.09768295389145748
ACH-000138,-0.2875103394552151
ACH-000142,-0.06280459021952169
ACH-000143,-0.2061568681838064
ACH-000146,-0.03894137751335041
ACH-000148,-0.1260490483499667
ACH-000150,-0.04479320366054236
ACH-000152,0.04687865464182506
ACH-000153,-0.1187904248662963
ACH-000159,-0.24209700586525265
ACH-000160,-0.22653634153410504
ACH-000163,-0.32257516311963597
ACH-000167,-0.44571848881836695
ACH-000168,-0.4540654935604405
ACH-000169,-0.17375099900246255
ACH-000178,-0.19239683822654355
ACH-000183,0.14046817228592498
ACH-000188,-0.10662413620355564
ACH-000189,-0.10317147050635507
ACH-000190,0.02590071447649594
ACH-000198,0.07840503626923412
ACH-000203,0.2015976757308024
ACH-000204,0.12984909723969
ACH-000206,0.16402487043845254
ACH-000207,0.13404708333401305
ACH-000208,-0.08104055811401277
ACH-000210,-0.3234652043540364
ACH-000211,-0.5476139086842707
ACH-000215,-0.1390090591949978
ACH-000221,-0.14422273439740713
ACH-000222,-0.09722457749008401
ACH-000223,-0.059361621826651875
ACH-000226,-0.05568015900669841
ACH-000227,0.19323728503362306
ACH-000228,-0.1774714860655157
