,IP6K2 (51447)
ACH-000004,-0.2554543182799449
ACH-000005,-0.18142176278437816
ACH-000007,0.0038226662896393812
ACH-000009,-0.11144513528101417
ACH-000011,-0.060218172649665565
ACH-000012,-0.26936610634970964
ACH-000013,-0.07868378782307031
ACH-000014,0.014707660743757647
ACH-000015,-0.1230249096619621
ACH-000017,-0.08891448593622407
ACH-000018,-0.32461769522957845
ACH-000019,-0.21932866876738705
ACH-000021,-0.2349681277508627
ACH-000022,-0.024137589339016382
ACH-000025,-0.3012237565258342
ACH-000028,-0.12594964515916945
ACH-000030,-0.10447510223128
ACH-000035,-0.10197328231896573
ACH-000036,-0.14749064678613386
ACH-000037,-0.2764792007377078
ACH-000039,-0.26227739560427343
ACH-000040,-0.2264172929572187
ACH-000041,-0.1000176819260048
ACH-000042,-0.1046300665536235
ACH-000045,-0.1022802528968862
ACH-000047,-0.10279043632594066
ACH-000052,-0.2583439956182027
ACH-000053,-0.0987205616353585
ACH-000054,-0.0608147246954977
ACH-000055,0.022392461771669026
ACH-000060,-0.14716477729996733
ACH-000067,-0.2159775610212221
ACH-000070,-0.12182156592721233
ACH-000075,-0.20910309159682805
ACH-000078,0.05552052756598313
ACH-000082,-0.1724635760262122
ACH-000085,-0.03643202662867201
ACH-000086,-0.20598480045021472
ACH-000087,0.15880989303238555
ACH-000092,-0.2488641560440187
ACH-000095,-0.1218916705660251
ACH-000097,-0.21275556557050496
ACH-000098,-0.15406347385325694
ACH-000099,-0.13600566801517971
ACH-000108,-0.01561262373235975
ACH-000113,-0.14411508286495528
ACH-000116,-0.1897779879846686
ACH-000118,-0.2267894192298529
ACH-000120,-0.22274810571899628
ACH-000123,-0.23075446506596495
ACH-000127,-0.1601790798085851
ACH-000128,-0.26342150205060777
ACH-000132,-0.03561956535843633
ACH-000133,-0.1457212314802392
ACH-000137,-0.2995054714407123
ACH-000138,-0.15788943888942214
ACH-000142,-0.12287874330683285
ACH-000143,-0.06363103018783546
ACH-000146,-0.08892712747893124
ACH-000148,-0.16749933599782904
ACH-000150,-0.2364131660006785
ACH-000152,-0.2781298817189875
ACH-000153,-0.057999937575349415
ACH-000159,-0.4127770077723456
ACH-000160,-0.049059409132013884
ACH-000163,-0.15353173790154898
ACH-000167,-0.21704633992819725
ACH-000168,-0.256396829780017
ACH-000169,-0.19906622146917505
ACH-000178,0.013458031395738895
ACH-000183,-0.10353948001809504
ACH-000188,-0.27687071940255725
ACH-000189,-0.028001254409021282
ACH-000190,0.028566693398505236
ACH-000198,-0.27895642061033216
ACH-000203,-0.3347267574085961
ACH-000204,-0.4240258710288756
ACH-000206,0.18638125453852025
ACH-000207,-0.05010291521706176
ACH-000208,-0.13071499304790926
ACH-000210,-0.1781220136943586
ACH-000211,-0.2914289163337349
ACH-000215,-0.13781155970049944
ACH-000221,-0.032006372535761635
ACH-000222,0.20692609716001156
ACH-000223,-0.16467907328757178
ACH-000226,-0.0324400184483457
ACH-000227,-0.3528120991009201
ACH-000228,-0.238960203756781
ACH-000231,-0.1204129428311141
ACH-000232,-0.09961024257494597
