,FRG1 (2483)
ACH-000004,-0.2360488536921141
ACH-000005,-0.554469986059254
ACH-000007,-0.314293791053211
ACH-000009,-0.2844670226483699
ACH-000011,-0.35008724617935155
ACH-000012,-0.2666787985623763
ACH-000013,-0.14517660496808302
ACH-000014,-0.4746788006221125
ACH-000015,-0.18528923902778194
ACH-000017,-0.40216481001966736
ACH-000018,-0.358073343922586
ACH-000019,-0.12657606449372855
ACH-000021,-0.4874625426556552
ACH-000022,-0.23729873183176806
ACH-000025,-0.18212831844001506
ACH-000028,-0.15477416665983307
ACH-000030,-0.4430702725859305
ACH-000035,-0.0661401282913776
ACH-000036,-0.460746823004887
ACH-000037,-0.3891688984068021
ACH-000039,-0.25911795926485065
ACH-000040,-0.2611865099948025
ACH-000041,-0.3627154021791889
ACH-000042,-0.33861979292174993
ACH-000045,-0.1557201090850764
ACH-000047,-0.3144919010390334
ACH-000052,-0.23297119889732104
ACH-000053,-0.3074791800784909
ACH-000054,-0.3093976080012065
ACH-000055,-0.3201433931528991
ACH-000060,-0.2727255236898136
ACH-000067,-0.4305899319990384
ACH-000070,-0.5225923241519385
ACH-000075,-0.39405104588642137
ACH-000078,-0.2799757174147256
ACH-000082,-0.4220546840158851
ACH-000085,-0.347835532710102
ACH-000086,-0.2198911890311603
ACH-000087,-0.4987217002224914
ACH-000092,-0.2908211004628927
ACH-000095,-0.3082398669054081
ACH-000097,-0.3324577658334289
ACH-000098,-0.3716373202828831
ACH-000099,-0.4044736110251629
ACH-000108,-0.3995349418452606
ACH-000113,-0.06894514127254074
ACH-000116,-0.21298652325436107
ACH-000118,-0.3333355414180263
ACH-000120,-0.37282120826154497
ACH-000123,-0.38088550078789496
ACH-000127,-0.3235628015118546
ACH-000128,-0.21659800639951346
ACH-000132,-0.3737262013651236
ACH-000133,-0.1552926664997709
ACH-000137,0.05604674122540152
ACH-000138,-0.2073792633967739
ACH-000142,-0.3881038124022195
ACH-000143,-0.39103028217694336
ACH-000146,-0.2022746659187264
ACH-000148,-0.405037829503494
ACH-000150,-0.2244000420761327
ACH-000152,-0.4841385330195527
ACH-000153,-0.5812363937049378
ACH-000159,-0.28336080265397784
ACH-000160,-0.37451903092202615
ACH-000163,-0.3744566381888726
ACH-000167,-0.5659836431150627
ACH-000168,-0.3266067760150488
ACH-000169,-0.13022437993878558
ACH-000178,-0.3833543135259333
