,ATP5F1 (515)
ACH-000004,-0.21388972956060145
ACH-000005,-0.27910084412293323
ACH-000007,-0.6140019441589245
ACH-000009,-0.4796725558931602
ACH-000011,-0.01819743796299188
ACH-000012,-0.3463797361796873
ACH-000013,-0.6297802658672732
ACH-000014,-0.3899211889401609
ACH-000015,-0.47270218278401793
ACH-000017,-0.4159263495282333
ACH-000018,-0.5157816644959086
ACH-000019,-0.736407388735415
ACH-000021,-0.4872531553933674
ACH-000022,-0.6667213103449396
ACH-000025,-0.29500846116603857
ACH-000028,-0.4820065335718257
ACH-000030,-0.429118763187733
ACH-000035,-0.6050057978262645
ACH-000036,-0.08015484757872897
ACH-000037,-0.3060572554861169
ACH-000039,-0.3871933679809896
ACH-000040,-0.2549937542344725
ACH-000041,-0.3237244868477035
ACH-000042,-0.22103632458303185
ACH-000045,-0.39055883232476896
ACH-000047,-0.7237926529594446
ACH-000052,-0.4472422840311449
ACH-000053,-0.295420688932414
ACH-000054,-0.5991520765090306
ACH-000055,-0.26587652968999165
ACH-000060,-0.3858509343995939
ACH-000067,-0.4659196277852109
ACH-000070,-0.6852699395729273
ACH-000075,-0.3175188094662875
ACH-000078,-0.095424254975982
ACH-000082,-0.3360981477844953
ACH-000085,-0.4738146532646289
ACH-000086,-0.6106541498737919
ACH-000087,-0.17443690505618847
ACH-000092,-0.4017254151214101
ACH-000095,-0.2643769568731022
ACH-000097,-0.556687182330964
ACH-000098,-0.450870573303213
ACH-000099,-0.30899441246975107
ACH-000108,-0.2715886938738996
ACH-000113,-0.37600302508645533
ACH-000116,-0.5969961713232043
ACH-000118,-0.7023933511502313
ACH-000120,-0.5279744226552727
ACH-000123,-0.6224230401743668
ACH-000127,-0.635534585992322
ACH-000128,-0.5695086959982097
ACH-000132,-0.4735237739497121
ACH-000133,-0.3090950063861513
ACH-000137,-0.39989077328904016
ACH-000138,-0.2786605485238436
ACH-000142,-0.39776855202441946
ACH-000143,-0.38273648242141145
ACH-000146,-0.15193382038339973
ACH-000148,-0.4458356283540084
ACH-000150,-0.4414721126883685
ACH-000152,-0.5146347317003859
ACH-000153,-0.28697087789644604
ACH-000159,-0.3284582160054705
ACH-000160,-0.6387630070378919
ACH-000163,-0.18035257526564588
ACH-000167,-0.05658103565168405
ACH-000168,-0.23308037559752698
ACH-000169,-0.5644958781383584
ACH-000178,-0.19976991804228827
ACH-000183,-0.29721426426417363
ACH-000188,-0.4366850760040397
ACH-000189,-0.2682454024752228
ACH-000190,-0.6527051056747097
ACH-000198,-0.4168408242252827
ACH-000203,-0.14610081899757654
ACH-000204,-0.4748605468936167
ACH-000206,-0.3365409939912618
ACH-000207,-0.4781777774077154
ACH-000208,-0.3045921186688546
ACH-000210,-0.4705089438922074
ACH-000211,-0.41015957879738296
ACH-000215,-0.34300918453729945
ACH-000221,-0.3117997038179643
ACH-000222,-0.4145246204749443
ACH-000223,-0.5602016434151966
ACH-000226,-0.3734151883715156
ACH-000227,-0.545376490046499
ACH-000228,-0.3576791505143136
ACH-000231,-0.2077333959028091
ACH-000232,-0.4302248305014049
ACH-000233,-0.393869549973552
ACH-000234,-0.28367864717259544
ACH-000235,-0.25326164879575885
ACH-000237,-0.1946862757341596
ACH-000238,-0.3329559603008143
ACH-000242,-0.5743138178089672
ACH-000243,-0.2775213656486504
ACH-000244,-0.4317252013081238
ACH-000246,-0.3893929284852638
ACH-000248,-0.6920789398025664
ACH-000250,-0.2262027915614457
ACH-000251,-0.378679255104618
ACH-000252,-0.6501817503888261
ACH-000253,-0.3240231142392671
ACH-000255,-0.5119684503637659
ACH-000256,-0.33298860492482063
ACH-000257,-0.49652719019361397
ACH-000258,-0.395046753340408
ACH-000259,-0.4423717611293769
ACH-000260,-0.2752325788268869
ACH-000261,-0.3942483656726407
ACH-000262,-0.47932702069694805
ACH-000263,-0.3130777828118246
ACH-000264,-0.4350358206556536
ACH-000265,-0.419836961231341
ACH-000266,-0.13985258946826307
ACH-000272,-0.3206893165947959
ACH-000274,-0.4899399274255344
ACH-000277,-0.4355835050534723
ACH-000278,-0.35811292029952796
ACH-000279,-0.3702710174502996
ACH-000280,-0.3428103678723344
ACH-000281,-0.20354189009802165
ACH-000288,-0.4223063530038064
ACH-000291,-0.5132481643352786
ACH-000293,-0.5238459022715788
ACH-000294,-0.13816033033018532
ACH-000295,-0.24855442208180165
ACH-000296,-0.4132837658310854
ACH-000302,-0.4859232764782651
ACH-000304,-0.5285533029534871
ACH-000307,-0.25942072654089704
ACH-000308,-0.6167601396355581
ACH-000310,-0.20601604508825824
ACH-000311,-0.4512237854454954
ACH-000312,-0.45058887651237706
ACH-000315,-0.08938468464485468
ACH-000316,-0.2788878590317827
ACH-000317,-0.6040139144282913
ACH-000318,-0.5978910960827529
ACH-000319,-0.6050994936885322
ACH-000320,-0.3431283743165259
ACH-000322,-0.6654606563909861
ACH-000323,-0.42754892727474375
ACH-000324,-0.2359920119832099
ACH-000329,-0.3982624433610447
ACH-000330,-0.6398812031847501
ACH-000331,-0.5952670221405361
ACH-000332,-0.3212874080549472
ACH-000334,0.0209824526036299
ACH-000335,-0.4621304042389876
ACH-000336,-0.3217192678943627
ACH-000337,-0.7105692470639878
ACH-000338,-0.7285513502236223
ACH-000339,-0.2617287687489585
ACH-000341,-0.4383419157022223
ACH-000348,-0.41861909972084976
ACH-000350,-0.4548508120538604
ACH-000352,-0.4953912801398355
ACH-000356,-0.5736147218364764
ACH-000361,-0.4875165022982993
ACH-000362,-0.15345348753442933
ACH-000363,-0.4551557816719029
ACH-000364,-0.5332811551660123
ACH-000365,-0.10457042797338538
ACH-000366,-0.20645719753779768
ACH-000368,-0.3974388772521332
ACH-000374,-0.7028719766675565
ACH-000375,-0.48538642751806105
ACH-000376,-0.6420209073834281
ACH-000381,-0.41948102015920813
ACH-000383,-0.382531105566214
ACH-000387,-0.2870382709907686
ACH-000389,-0.17407644223025262
ACH-000390,-0.4700453176190218
ACH-000393,-0.2623880934531469
ACH-000395,-0.3185777544008853
ACH-000396,-0.2584365358027261
ACH-000397,-0.3929918869272673
ACH-000401,-0.3029490804814245
ACH-000402,0.00013716376852501822
ACH-000403,-0.42788459156578496
ACH-000404,-0.7399820322607028
ACH-000406,-0.198021109640396
ACH-000407,-0.4008159079240382
ACH-000408,-0.5775399342354995
ACH-000410,-0.4446565051793949
ACH-000411,-0.3092125708272682
ACH-000414,-0.4731560362339836
ACH-000415,-0.4596268496908562
ACH-000416,-0.3309106141679627
ACH-000420,-0.32778756236281803
ACH-000421,-0.3271889756468278
ACH-000424,-0.4619784585053577
ACH-000425,-0.2684013458941747
ACH-000426,-0.4714926535125842
ACH-000427,-0.6003817919848005
ACH-000433,-0.2529287298775549
ACH-000435,-0.5734997184264808
ACH-000436,-0.2574050687645426
ACH-000444,-0.3968314374817121
ACH-000445,-0.4894335531444791
ACH-000448,-0.2842207255711072
ACH-000450,-0.22170460354003985
ACH-000452,-0.38335359873389774
ACH-000454,-0.5665451073444565
ACH-000458,-0.3133259943575534
ACH-000459,-0.528650919688755
ACH-000460,-0.3693205021128144
ACH-000461,-0.6204393585284516
ACH-000463,-0.4589082654915311
ACH-000464,-0.26639582113037563
ACH-000466,-0.4589129620199626
ACH-000467,-0.7774703133197984
ACH-000468,-0.4890286227048566
ACH-000469,-0.5110350603926059
ACH-000470,-0.16207369601222935
ACH-000471,-0.3332941567656268
ACH-000472,-0.277188038731924
ACH-000473,-0.4992608346994736
ACH-000475,-0.5091666002075034
ACH-000476,-0.7616922595970521
ACH-000477,-0.3539650850560823
ACH-000479,-0.6315492454290462
ACH-000480,-0.5993775804029204
ACH-000481,-0.3610807262616646
ACH-000483,-0.6930735307550422
ACH-000484,-0.18343891941006127
ACH-000485,-0.4212742180314218
ACH-000486,-0.14845506118941806
ACH-000487,-0.2296140013756833
ACH-000488,-0.5737496863194971
ACH-000490,-0.5534243917133038
ACH-000491,-0.5190648564180272
ACH-000495,-0.307670718670982
ACH-000496,-0.2610665010782635
ACH-000499,-0.33895313044058906
ACH-000500,-0.447429629335247
ACH-000502,-0.4457538202194915
