,OTP (23440)
ACH-000004,-0.1350127640678525
ACH-000005,-0.29889274801168936
ACH-000007,-0.1397604268751261
ACH-000009,-0.09737003919834444
ACH-000011,-0.19416284987899865
ACH-000012,-0.05953780260719429
ACH-000013,-0.19502350350093567
ACH-000014,-0.19030415994361266
ACH-000015,-0.2795822860293214
ACH-000017,-0.1264667967505095
ACH-000018,-0.13808527133394102
ACH-000019,0.058412550078315875
ACH-000021,-0.18288322935831652
ACH-000022,-0.18446445826961155
ACH-000025,-0.27300628836292684
ACH-000028,0.013184032672945966
ACH-000030,-0.20681977516569566
ACH-000035,0.03554541814232212
ACH-000036,-0.09555644180806036
ACH-000037,-0.1479446597710949
ACH-000039,-0.19673514939558104
ACH-000040,-0.11997497653841405
ACH-000041,-0.20011795604720167
ACH-000042,-0.17020761679529747
ACH-000045,0.02231999054395265
ACH-000047,-0.0738716992786714
ACH-000052,-0.00581757655535543
ACH-000053,-0.09454779776920116
ACH-000054,-0.09524316019278392
ACH-000055,-0.09358312400521918
ACH-000060,-0.17580335172136785
ACH-000067,-0.22981203280139975
ACH-000070,-0.1509127647913297
ACH-000075,-0.5530588335306019
ACH-000078,0.05462940527830483
ACH-000082,-0.10199302067587827
ACH-000085,-0.3187492209226926
ACH-000086,-0.0936500177179854
ACH-000087,-0.08707441580978398
ACH-000092,-0.2576783745454055
ACH-000095,-0.13101994760506766
ACH-000097,-0.061998970378153925
ACH-000098,-0.2607845707443661
ACH-000099,-0.01981924142165078
ACH-000108,-0.1881056506280107
ACH-000113,-0.21595128751155146
ACH-000116,-0.06889075214657127
ACH-000118,-0.12030353556403207
ACH-000120,-0.18121387763763397
ACH-000123,-0.1874052587125352
ACH-000127,-0.1240031540564258
ACH-000128,-0.2237595568616036
ACH-000132,-0.2060641633787192
ACH-000133,-0.13168046723635402
ACH-000137,-0.07865161988745137
ACH-000138,-0.023781430971780225
ACH-000142,-0.20214009199820546
ACH-000143,-0.2183008263815834
ACH-000146,-0.1750598566788786
ACH-000148,-0.06716122845599466
ACH-000150,0.07156621100245927
ACH-000152,-0.21789915354853734
ACH-000153,-0.1889918743963554
ACH-000159,-0.1393572106282644
ACH-000160,0.0030683581420717014
ACH-000163,-0.07887433571292657
ACH-000167,0.11197291559029876
ACH-000168,-0.12563349481142214
ACH-000169,-0.08388368544075668
ACH-000178,-0.0525335286682259
ACH-000183,-0.3103335810373038
