,SNRNP25 (79622)
ACH-000004,-1.337910176727977
ACH-000005,-1.6369631907514537
ACH-000007,-1.1920591705324737
ACH-000009,-0.9931700805847842
ACH-000011,-0.8589018728311725
ACH-000012,-1.2855922687909231
ACH-000013,-1.523014973658321
ACH-000014,-1.4842252714956496
ACH-000015,-1.3843341991513893
ACH-000017,-1.083180235893683
ACH-000018,-0.9955851765033428
ACH-000019,-0.8095059020795116
ACH-000021,-1.132834858788874
ACH-000022,-1.1195041687735563
ACH-000025,-1.2208787528043168
ACH-000028,-1.1241608948291
ACH-000030,-1.062467363360042
ACH-000035,-1.0441522270791614
ACH-000036,-1.1307013245946451
ACH-000037,-1.3164421736958398
ACH-000039,-1.2187343311323606
ACH-000040,-1.1509655854493868
ACH-000041,-1.223787616335367
ACH-000042,-1.2132124347823494
ACH-000045,-1.2080026017296677
ACH-000047,-1.1484706228919224
ACH-000052,-1.1339234021446778
ACH-000053,-1.0311525875869834
ACH-000054,-1.1089300961327488
ACH-000055,-1.2816103191983188
ACH-000060,-1.2866174113912945
ACH-000067,-1.302167036053199
ACH-000070,-1.056600622998304
ACH-000075,-1.021350540499204
ACH-000078,-1.1187759640596169
ACH-000082,-1.2262851719769077
ACH-000085,-1.2041217267952438
ACH-000086,-1.0759540404579175
ACH-000087,-1.2841292430503242
ACH-000092,-0.8319300991463521
ACH-000095,-1.040825883805616
ACH-000097,-1.0506962768298649
ACH-000098,-1.2319732288196064
ACH-000099,-1.000598264382028
ACH-000108,-1.1986389231783092
ACH-000113,-1.0948452738253691
ACH-000116,-1.0769780064375551
ACH-000118,-1.1217159100416925
ACH-000120,-1.1011827167616972
ACH-000123,-1.172583272159654
ACH-000127,-1.0060564637880631
ACH-000128,-1.1347976820416776
ACH-000132,-1.1240083480041552
ACH-000133,-1.1270293458039309
ACH-000137,-1.3138642556770248
ACH-000138,-1.0967530663489604
ACH-000142,-1.113518898500537
ACH-000143,-1.066089817105928
ACH-000146,-1.2373980918406329
ACH-000148,-1.444274038847771
ACH-000150,-1.1107809709113428
ACH-000152,-1.014174941309987
ACH-000153,-1.4695052972729843
ACH-000159,-0.9222323851205636
ACH-000160,-1.1583767518628685
ACH-000163,-1.2566344041314308
ACH-000167,-1.5184703418554817
ACH-000168,-1.2170169710350085
ACH-000169,-1.2014802685859922
ACH-000178,-1.1235093533511058
ACH-000183,-1.2655821953176682
ACH-000188,-1.2914436511990874
ACH-000189,-1.088095898510043
ACH-000190,-0.9757685667399404
ACH-000198,-1.0666381738938202
ACH-000203,-1.834849129869167
ACH-000204,-1.0850168492829393
ACH-000206,-1.0350793901855309
ACH-000207,-1.089060888433807
ACH-000208,-0.9735491419506596
ACH-000210,-1.2655381486649544
ACH-000211,-1.26386487293923
