,CSMD1 (64478)
ACH-000004,0.16518617656485782
ACH-000005,0.15608176216877725
ACH-000007,-0.2471769414870368
ACH-000009,-0.027627820332002027
ACH-000011,0.051118633492617305
ACH-000012,0.02236659397690589
ACH-000013,-0.01145781478556848
ACH-000014,-0.016949759198182403
ACH-000015,-0.035168203914115154
ACH-000017,-0.018937687018040876
ACH-000018,0.2143949526742481
ACH-000019,-0.24438184272438385
ACH-000021,0.052795825512346815
ACH-000022,-0.05123781183366135
ACH-000025,-0.09354886476849668
ACH-000028,-0.1112400422814857
ACH-000030,-0.021741731314947933
ACH-000035,0.0987817594605629
ACH-000036,0.02619883957839389
ACH-000037,0.003045912744644301
ACH-000039,-0.16046498599706224
ACH-000040,0.2335056030515743
ACH-000041,-0.01310499915514437
ACH-000042,-0.07566898917879816
ACH-000045,0.12138844235918765
ACH-000047,-0.15774018562922254
ACH-000052,-0.0768849593547168
ACH-000053,-0.02290014191299721
ACH-000054,0.040467406456919916
ACH-000055,0.007009379276188778
ACH-000060,-0.20037446992996336
ACH-000067,0.06495702877620832
ACH-000070,-0.1188897326529773
ACH-000075,0.10917325595694416
ACH-000078,-0.09188341659982464
ACH-000082,0.04071184336338985
ACH-000085,-0.011118020890746963
ACH-000086,0.049958371640189465
ACH-000087,-0.1925388797629612
ACH-000092,-0.00010727279690800002
ACH-000095,0.09857169652102153
ACH-000097,-0.08392782877877883
ACH-000098,-0.02750529782524289
ACH-000099,-0.0191737710251664
ACH-000108,0.02504725837703079
ACH-000113,-0.10578471712143456
ACH-000116,0.07576167943562412
ACH-000118,-0.07842626222562912
ACH-000120,0.0482763111729612
ACH-000123,0.07019831804949515
ACH-000127,-0.004325978734406389
ACH-000128,-0.08768395626741286
ACH-000132,-0.08064518702223993
ACH-000133,0.03371210294382146
ACH-000137,-0.0361035414934448
ACH-000138,-0.01667143011583747
ACH-000142,0.09882443207590942
ACH-000143,-0.07959430522433072
ACH-000146,-0.05972431837314776
ACH-000148,-0.0767384593768733
ACH-000150,-0.05453361579413778
ACH-000152,-0.05936030853455548
ACH-000153,0.02581225904138857
ACH-000159,0.06074563202402286
ACH-000160,0.006140172863544898
ACH-000163,0.06803703668743408
ACH-000167,-0.3844429536103052
ACH-000168,0.06411318252001247
ACH-000169,0.10055550951687753
ACH-000178,-0.13176701846417987
ACH-000183,-0.07244326453470837
ACH-000188,0.00873302747125595
ACH-000189,-0.13302445999991186
ACH-000190,0.2099470886586384
ACH-000198,0.10372978811467973
ACH-000203,-0.3926965963234709
ACH-000204,-0.2396292488457902
ACH-000206,-0.07509691354202422
ACH-000207,-0.0304800486632332
ACH-000208,-0.3273930165551739
ACH-000210,-0.03936992992946025
ACH-000211,-0.1126664766159622
ACH-000215,0.017054317744456458
ACH-000221,-0.06260598280694578
ACH-000222,-0.13880594223290738
ACH-000223,-0.05078692588492861
ACH-000226,0.008515759907607837
ACH-000227,0.01716022656273931
ACH-000228,-0.13477417836277705
