,NAGLU (4669)
ACH-000004,-0.495492894287469
ACH-000005,-0.2922013579370621
ACH-000007,-0.5899258290869297
ACH-000009,-0.5100873895491049
ACH-000011,-0.4553742247880119
ACH-000012,-0.5817988275902767
ACH-000013,-0.3479831228762888
ACH-000014,-0.3193560386552869
ACH-000015,-0.3902461257718704
ACH-000017,-0.23828022690732825
ACH-000018,-0.4280888753522839
ACH-000019,-0.32079153222430284
ACH-000021,-0.3181409269248733
ACH-000022,-0.29787491277007044
ACH-000025,-0.17608980710305966
ACH-000028,-0.3693088306502411
ACH-000030,-0.45771518030065095
ACH-000035,-0.6343026170367096
ACH-000036,-0.344717005183643
ACH-000037,-0.4298146427391989
ACH-000039,-0.4133860181148824
ACH-000040,-0.2040203387486956
ACH-000041,-0.5577542491054306
ACH-000042,-0.33383333067239873
ACH-000045,-0.44264998582094944
ACH-000047,-0.4156526415727541
ACH-000052,-0.6201364349909029
ACH-000053,-0.4115439270027685
ACH-000054,-0.33907419270388817
ACH-000055,-0.2051633971614909
ACH-000060,-0.5369050579901067
ACH-000067,-0.4460840982288802
ACH-000070,-0.4739135873837476
ACH-000075,-0.2322207358936253
ACH-000078,-0.3447114804035505
ACH-000082,-0.4375604064704886
ACH-000085,-0.3347487420014704
ACH-000086,-0.377006391164412
ACH-000087,-0.43604713561832703
ACH-000092,-0.3995891027945781
ACH-000095,-0.46140616304721793
ACH-000097,-0.3587799889266966
ACH-000098,-0.34952150231404644
ACH-000099,-0.4063392784005432
ACH-000108,-0.3651153700669323
ACH-000113,-0.5206523787118352
ACH-000116,-0.5477289707215791
ACH-000118,-0.41823647055074537
ACH-000120,-0.39857047123971867
ACH-000123,-0.36300147626602003
ACH-000127,-0.4697490501929277
ACH-000128,-0.4327254362448098
ACH-000132,-0.4016518143778213
ACH-000133,-0.409824547052666
ACH-000137,-0.3842574894975585
ACH-000138,-0.4296211361138483
ACH-000142,-0.5110508420264089
ACH-000143,-0.4996694903814738
ACH-000146,-0.2968113832620976
ACH-000148,-0.428322137396864
ACH-000150,-0.3248937227168561
ACH-000152,-0.4471048519641215
ACH-000153,-0.4491775283351476
ACH-000159,-0.38366278902214657
ACH-000160,-0.2503994425562896
ACH-000163,-0.3574578500610817
ACH-000167,-0.16127812253533094
ACH-000168,-0.3668367504615477
ACH-000169,-0.4546165979850125
ACH-000178,-0.4015039049642676
ACH-000183,-0.5353503446860272
ACH-000188,-0.4288970545312082
ACH-000189,-0.2594198261073869
ACH-000190,-0.21787662398908086
ACH-000198,-0.3860408100525369
ACH-000203,-0.4674449425665277
ACH-000204,-0.25046338062238543
ACH-000206,-0.13464412983593968
ACH-000207,-0.4853283690639162
ACH-000208,-0.2285071969674625
ACH-000210,-0.4487992327762726
ACH-000211,-0.4591618525044734
ACH-000215,-0.505568216940067
ACH-000221,-0.4674870771363511
ACH-000222,-0.28714217560826866
ACH-000223,-0.4335665537781122
ACH-000226,-0.3927640512659754
ACH-000227,-0.5107197261213763
ACH-000228,-0.5673395325257601
ACH-000231,-0.36848344069489936
ACH-000232,-0.29749968401923504
ACH-000233,-0.2875352713322749
ACH-000234,-0.4600578079794829
ACH-000235,-0.5082580032607811
ACH-000237,-0.2900736146060654
ACH-000238,-0.5071615429717802
ACH-000242,-0.3036982108216798
ACH-000243,-0.5145890311415301
ACH-000244,-0.3945262442691827
ACH-000246,-0.4529139747043481
ACH-000248,-0.4236415722014733
ACH-000250,-0.4853878736153992
ACH-000251,-0.5889830730303944
ACH-000252,-0.4431417469795648
ACH-000253,-0.2966049856326629
ACH-000255,-0.4161898738906996
ACH-000256,-0.3764297031390049
ACH-000257,-0.14911973317410054
ACH-000258,-0.3998470200969353
ACH-000259,-0.4036506112727172
ACH-000260,-0.4558672279802439
ACH-000261,-0.4602529991588216
ACH-000262,-0.5354577310806511
ACH-000263,-0.4078394810760884
ACH-000264,-0.5517152598971876
ACH-000265,-0.3842613829653637
ACH-000266,-0.4670255349477256
ACH-000272,-0.3339133079154875
ACH-000274,-0.5072965272215927
ACH-000277,-0.3995367225507335
ACH-000278,-0.304165805295437
ACH-000279,-0.3644216737188048
ACH-000280,-0.4580317461778381
ACH-000281,-0.40845266514123424
ACH-000288,-0.561659445016207
ACH-000291,-0.5612947718914907
ACH-000293,-0.253514939880024
ACH-000294,-0.43237894635223606
ACH-000295,-0.4981778048547642
ACH-000296,-0.26449114597878737
ACH-000302,-0.4939453663946747
ACH-000304,-0.796226288062889
ACH-000307,-0.4289137275880477
ACH-000308,-0.3980107508065588
ACH-000310,-0.44940840717072217
ACH-000311,-0.36872738360171853
ACH-000312,-0.370175048682665
ACH-000315,-0.3991189853870107
ACH-000316,-0.6913683359491029
ACH-000317,-0.3447764530787035
ACH-000318,-0.3676865432754841
ACH-000319,-0.4367633566755581
ACH-000320,-0.2678642880545013
ACH-000322,-0.18497895935090988
ACH-000323,-0.4435138736142981
ACH-000324,-0.4747343015651013
ACH-000329,-0.4249773765233647
ACH-000330,-0.7930317728477515
ACH-000331,-0.4528433508644968
ACH-000332,-0.4350610479652863
ACH-000334,-0.41340770013847533
ACH-000335,-0.2797156006121246
ACH-000336,-0.4732801633874731
ACH-000337,-0.4644509808482048
ACH-000338,0.04193104304269178
ACH-000339,-0.4116467904156237
ACH-000341,-0.4348129496020954
ACH-000348,-0.30895177289023096
ACH-000350,-0.4866114588059785
ACH-000352,-0.3834309127237975
ACH-000356,-0.42778624828552797
ACH-000361,-0.4346558879640136
ACH-000362,-0.34600863480950506
ACH-000363,-0.35292494580364425
ACH-000364,-0.3201416088341965
ACH-000365,-0.3409394639206558
ACH-000366,-0.4642283296954166
ACH-000368,-0.3961227204380953
ACH-000374,-0.3725717708713619
ACH-000375,-0.3063351854286939
ACH-000376,-0.3596826085164476
ACH-000381,-0.5254110601987395
ACH-000383,-0.4074468899042407
ACH-000387,-0.4077734385811237
ACH-000389,-0.6184521271731599
ACH-000390,-0.3723349283206521
ACH-000393,-0.2799682820249405
ACH-000395,-0.32553205765729765
ACH-000396,-0.5924445516390981
ACH-000397,-0.6525906872174329
ACH-000401,-0.2973802137298761
ACH-000402,-0.5751421994468976
ACH-000403,-0.4261274613216425
ACH-000404,-0.27282219925239465
ACH-000406,-0.3582282938081389
ACH-000407,-0.5841095856913405
ACH-000408,-0.5545213727846193
ACH-000410,-0.3529142737799865
ACH-000411,-0.3567350745201993
ACH-000414,-0.3473320233782609
ACH-000415,-0.5436910069003432
ACH-000416,-0.4949263413227018
ACH-000420,-0.5491975065277439
ACH-000421,-0.4113855783685518
ACH-000424,-0.1992394687225109
ACH-000425,-0.4907210990005714
ACH-000426,-0.3857711746751015
ACH-000427,-0.7473079570617359
ACH-000433,-0.5453631373626022
ACH-000435,-0.4814865786523926
ACH-000436,-0.3080306762705604
ACH-000444,-0.3133282835355848
ACH-000445,-0.0635144411445943
ACH-000448,-0.4282479351270434
ACH-000450,-0.4582365548244025
ACH-000452,-0.40521289564512797
ACH-000454,-0.2592082618363335
ACH-000458,-0.4789047808527438
ACH-000459,-0.3087825949926664
ACH-000460,-0.4936685028737937
ACH-000461,-0.30367632256280097
ACH-000463,-0.4498935961669796
ACH-000464,-0.5885583967975604
ACH-000466,-0.475199086436204
ACH-000467,-0.3956597211169398
ACH-000468,-0.3655901157023637
ACH-000469,-0.3593720156318474
ACH-000470,-0.2715897268025502
ACH-000471,-0.324526465850008
ACH-000472,-0.37177545168481657
ACH-000473,-0.3318821521184133
ACH-000475,-0.465200405321811
ACH-000476,-0.4604122990953428
ACH-000477,-0.4951622520686297
ACH-000479,-0.34254084459318423
ACH-000480,-0.39995305654982893
ACH-000481,-0.38872949570991855
ACH-000483,-0.6439567946125418
ACH-000484,-0.15833615246134514
ACH-000485,-0.4743387819342606
ACH-000486,-0.5418240106347669
ACH-000487,-0.3891464225197997
ACH-000488,-0.3027656930589077
ACH-000490,-0.18895212356030644
ACH-000491,-0.4020605156915036
ACH-000495,-0.37140841589995305
ACH-000496,-0.3228284290206933
ACH-000499,-0.4910254608807009
ACH-000500,-0.6476244012431697
ACH-000502,-0.33508522212926245
ACH-000503,-0.3323325428519144
ACH-000505,-0.35421104960500005
ACH-000507,-0.3516105779030749
ACH-000510,-0.4031784415403136
ACH-000511,-0.4728889744685786
ACH-000512,-0.032398922302317126
ACH-000516,-0.5002312469074938
ACH-000517,-0.3545194362100233
ACH-000518,-0.3867778898290423
ACH-000520,-0.23376611930361185
ACH-000521,-0.7996591112447513
ACH-000522,-0.4239520439606842
ACH-000524,-0.4600509365453546
ACH-000527,-0.5730898777537191
ACH-000528,-0.3861171102902245
ACH-000537,-0.4524808356246374
ACH-000541,-0.38829882831509016
ACH-000542,-0.3089884702341201
ACH-000544,-0.34559735151675514
ACH-000545,-0.4825228527375461
ACH-000547,-0.4653006531410653
ACH-000548,-0.38309357463327603
ACH-000549,-0.3770357577825795
ACH-000550,-0.5371738094220875
ACH-000552,-0.3449774304049378
ACH-000556,-0.43289438849857004
ACH-000557,-0.2513780335306951
ACH-000569,-0.4165938122152753
ACH-000570,-0.3145204626920553
