,LIPE (3991)
ACH-000004,0.021292367967503317
ACH-000005,-0.09076230857683246
ACH-000007,-0.11245334099414574
ACH-000009,-0.24079705496837536
ACH-000011,0.10132485233418208
ACH-000012,-0.0590208259668604
ACH-000013,-0.2638673940728215
ACH-000014,-0.08804459390238292
ACH-000015,-0.24709674647942584
ACH-000017,-0.06577873192222053
ACH-000018,-0.2965576098331584
ACH-000019,-0.031590145647642384
ACH-000021,-0.19247310762372374
ACH-000022,-0.14066891008282176
ACH-000025,-0.0803319409355847
ACH-000028,-0.2906285264830631
ACH-000030,-0.29190515349180474
ACH-000035,-0.09356879743021147
ACH-000036,-0.1267632095558845
ACH-000037,-0.002670489863042429
ACH-000039,-0.0774311237821242
ACH-000040,-0.032079845084746525
ACH-000041,-0.06402057403134398
ACH-000042,-0.11177106223810243
ACH-000045,-0.17215122110457726
ACH-000047,-0.0808854309095818
ACH-000052,-0.042814468056597776
ACH-000053,-0.2287128936187482
ACH-000054,-0.22525569448190566
ACH-000055,-0.1332186078668344
ACH-000060,0.09861177921493927
ACH-000067,0.08828415399760654
ACH-000070,0.06017209786338286
ACH-000075,-0.3687764989487776
ACH-000078,-0.12573503359662294
ACH-000082,-0.17139846369920886
ACH-000085,-0.10802470194587924
ACH-000086,-0.08914794080271693
ACH-000087,-0.10133694963529093
ACH-000092,-0.15779301761903286
ACH-000095,-0.1268263751586898
ACH-000097,-0.14298483431381606
ACH-000098,-0.3839545419483412
ACH-000099,-0.11285195147130453
ACH-000108,-0.1602653876396787
ACH-000113,-0.1620496167719285
ACH-000116,-0.04904994342307744
ACH-000118,-0.032073239565434015
ACH-000120,-0.21489523903007834
ACH-000123,-0.10271071264743872
ACH-000127,-0.03551734881464606
ACH-000128,-0.006360935091025601
ACH-000132,-0.15443854019939615
ACH-000133,-0.1988343530471668
ACH-000137,-0.3185574447550428
ACH-000138,-0.3265975595514901
ACH-000142,-0.465603094690731
ACH-000143,-0.29105937272997884
ACH-000146,-0.1726252862119608
ACH-000148,-0.10391911821011532
ACH-000150,-0.10768881793690904
ACH-000152,-0.014488825718662671
ACH-000153,-0.2529659639085477
ACH-000159,-0.1354070063778351
ACH-000160,-0.21417776381778136
ACH-000163,-0.09294873361636508
ACH-000167,-0.5632346668501322
ACH-000168,-0.17003460147915114
ACH-000169,-0.12227878339660225
ACH-000178,-0.2453351521411332
ACH-000183,-0.06606210031907273
ACH-000188,-0.1408243638053933
ACH-000189,0.08269245864326688
ACH-000190,0.007996252942412966
ACH-000198,-0.06679982534587149
ACH-000203,0.03807845137400059
ACH-000204,-0.27183975348171496
ACH-000206,0.2495709700331312
ACH-000207,-0.12810853188068255
ACH-000208,-0.30713964061279403
ACH-000210,-0.11513147772802225
ACH-000211,-0.15457683940098876
ACH-000215,-0.1995797222319256
ACH-000221,-0.19012067305401267
ACH-000222,-0.12386214515699433
ACH-000223,-0.0297859745032621
ACH-000226,-0.2457392354854388
ACH-000227,-0.13861490211536706
ACH-000228,-0.11272765247285332
ACH-000231,0.01207923949988093
ACH-000232,-0.003272596447376041
ACH-000233,-0.1365729987060274
ACH-000234,-0.05241971254226199
ACH-000235,-0.21232949691879446
ACH-000237,-0.10695113396162917
ACH-000238,0.032242211823620325
ACH-000242,-0.329618808615045
ACH-000243,-0.06726824245110123
ACH-000244,-0.1970036876479924
ACH-000246,-0.11650443990974226
ACH-000248,-0.009462101222404049
ACH-000250,-0.10825441725909243
ACH-000251,-0.08440492655243967
ACH-000252,-0.09536502915360502
ACH-000253,-0.09959373241070854
ACH-000255,-0.2623781672486452
ACH-000256,-0.05663714843087093
ACH-000257,-0.05965185690982056
ACH-000258,-0.0855128044014753
ACH-000259,-0.05991897112651756
ACH-000260,-0.16765334197640333
ACH-000261,-0.17859950378906864
ACH-000262,-0.2447706624859528
ACH-000263,-0.012455013259771759
ACH-000264,0.01887505047027068
ACH-000265,-0.1204889634484217
ACH-000266,-0.14952884576374226
ACH-000272,-0.0137907737986425
ACH-000274,-0.12749501405581867
ACH-000277,-0.09160266457700557
ACH-000278,0.008820685360960503
ACH-000279,0.0178993800726976
ACH-000280,-0.2519971754661053
ACH-000281,-0.1870444325616672
ACH-000288,-0.03046131659363508
ACH-000291,-0.29115322963185225
ACH-000293,-0.2347924114924053
ACH-000294,-0.2309136919838488
ACH-000295,-0.004927233591361539
ACH-000296,-0.12207355536639365
ACH-000302,-0.3433038317066147
ACH-000304,-0.16117008629670754
ACH-000307,-0.039608758066731566
ACH-000308,-0.2873946924268886
ACH-000310,-0.16873519416148847
ACH-000311,0.06889182773339084
ACH-000312,0.01837183609229703
ACH-000315,-0.0003813952149342005
ACH-000316,-0.056378745877598786
ACH-000317,0.06123619712404098
ACH-000318,-0.09052157779915088
ACH-000319,-0.3638888203441777
ACH-000320,0.14129535657911052
ACH-000322,-0.07952980624051385
ACH-000323,-0.22793235700152514
ACH-000324,-0.15781226380016902
ACH-000329,-0.10148806328681877
ACH-000330,-0.22328916789434586
ACH-000331,0.12319168988971906
ACH-000332,-0.08352036849418837
ACH-000334,-0.4012130276857042
ACH-000335,-0.2179199855315564
ACH-000336,-0.18141923364106652
ACH-000337,-0.14140250690132264
ACH-000338,0.052463584161689975
ACH-000339,-0.20765504962148065
ACH-000341,-0.14550022699919518
ACH-000348,-0.07556676117174671
ACH-000350,-0.11839950105667195
ACH-000352,-0.12125557543765285
ACH-000356,-0.13481196158373093
ACH-000361,-0.048039524080311806
ACH-000362,-0.15512637164622636
ACH-000363,-0.18826430645804024
ACH-000364,-0.12892031776592933
ACH-000365,-0.17354804720907194
ACH-000366,-0.30385120932822346
ACH-000368,-0.0912502997530608
ACH-000374,-0.04366714568658455
ACH-000375,-0.0960676494013871
ACH-000376,-0.07343665135099074
ACH-000381,-0.03676159712657227
ACH-000383,-0.20844390356738526
ACH-000387,-0.014431387174164955
ACH-000389,0.04970641180571207
ACH-000390,-0.14765225925289058
ACH-000393,-0.13383442660862052
ACH-000395,-0.252598604318499
ACH-000396,-0.1432175585039513
ACH-000397,-0.21920549596511124
ACH-000401,-0.1712939332836346
ACH-000402,0.07022493299522184
ACH-000403,-0.12302177153769522
ACH-000404,0.233597361253531
ACH-000406,-0.21436263193946595
ACH-000407,-0.029103683539208926
ACH-000408,-0.25956105412040564
ACH-000410,-0.1884752701844792
ACH-000411,-0.018508040777320076
ACH-000414,-0.06361419660795062
ACH-000415,-0.16053494334450694
ACH-000416,-0.10811671256016844
ACH-000420,-0.24839940851073264
ACH-000421,-0.15336097936640122
ACH-000424,-0.09623717796047193
ACH-000425,-0.08342783703372432
ACH-000426,0.0419382671400363
ACH-000427,-0.3144263153972847
ACH-000433,-0.16324895826736502
ACH-000435,-0.19829803191804726
ACH-000436,-0.13524413095230706
ACH-000444,-0.07691154638007551
ACH-000445,-0.08208837564586212
ACH-000448,-0.22766425399150755
ACH-000450,-0.12594976812243333
ACH-000452,-0.14853420284160393
ACH-000454,-0.06455339774849195
ACH-000458,-0.12582611284970308
ACH-000459,-0.12868045934929398
ACH-000460,-0.18052095815541605
ACH-000461,-0.1952125396202362
ACH-000463,-0.3304599427239693
ACH-000464,-0.2922143424166369
ACH-000466,-0.1961569540607895
ACH-000467,-0.04000917935267834
ACH-000468,-0.16802902904632294
ACH-000469,-0.21350151916393428
ACH-000470,-0.09044458441640216
ACH-000471,-0.15473865116738136
ACH-000472,-0.2212524920161872
ACH-000473,-0.08323255544833201
ACH-000475,-0.10877714398097654
ACH-000476,-0.07902241190660726
ACH-000477,-0.107656708625949
ACH-000479,-0.12345350538312035
ACH-000480,-0.10631872219612423
ACH-000481,-0.04977764114401674
ACH-000483,-0.1109115815979356
ACH-000484,-0.26289782963300184
ACH-000485,-0.1374457772370495
ACH-000486,-0.28352519595423203
ACH-000487,-0.0664192496377911
ACH-000488,-0.08070280898584409
ACH-000490,-0.1943442725628105
ACH-000491,0.09988120534165956
ACH-000495,-0.01429953540983535
ACH-000496,0.0056147801569375105
ACH-000499,-0.19532344436660148
ACH-000500,-0.2313077614733572
ACH-000502,-0.0721255758324814
ACH-000503,-0.17075008010046566
ACH-000505,-0.010336779252753595
ACH-000507,-0.0742515293292263
ACH-000510,-0.3097422412696705
ACH-000511,-0.05385496854021865
ACH-000512,-0.10772498967469901
ACH-000516,-0.04277642728879441
ACH-000517,-0.15768466826273045
ACH-000518,-0.07475744124596496
ACH-000520,-0.07852850653005118
ACH-000521,-0.04826026611908875
ACH-000522,-0.09525914533459444
ACH-000524,-0.2061714947378431
ACH-000527,-0.16080828982543302
ACH-000528,-0.0319773494531562
ACH-000537,-0.20636907658230047
ACH-000541,-0.12576380650794294
ACH-000542,-0.10649248626462746
ACH-000544,-0.17731222014338185
ACH-000545,-0.10434622957181644
ACH-000547,0.04386134190188738
ACH-000548,-0.030571726441122174
ACH-000549,-0.06776310550844919
ACH-000550,-0.058200924518005084
ACH-000552,-0.17806419199027193
ACH-000556,-0.2459440622154831
ACH-000557,-0.07907206117820413
ACH-000569,-0.29244177803022303
ACH-000570,-0.0620767568561251
ACH-000571,-0.19803054454317087
ACH-000573,-0.07143172801012035
ACH-000576,-0.0022163960752874675
ACH-000579,0.010106482774899679
ACH-000580,-0.09583730116164006
ACH-000584,-0.19158144666922394
ACH-000585,-0.18068873468563154
ACH-000588,-0.2024432280547769
ACH-000589,-0.16426604364055572
ACH-000591,-0.006777845737766864
ACH-000593,-0.1913149683447324
ACH-000600,-0.04821872765700325
ACH-000601,-0.15906274652527375
ACH-000605,-0.07425368260343254
ACH-000606,-0.2037045693798566
ACH-000608,-0.265599946130679
ACH-000614,0.02692118043109909
ACH-000616,-0.3959887306871647
ACH-000618,-0.1633943104118989
ACH-000619,0.09541788702535033
ACH-000620,-0.19104809139092016
ACH-000621,-0.1827836561875192
ACH-000622,-0.09762024975853444
ACH-000623,-0.1870298131647647
ACH-000624,-0.07093282363242848
ACH-000627,-0.13371639438147284
ACH-000630,-0.12185196175594705
ACH-000631,-0.07176095939334748
ACH-000632,-0.0955768279321708
ACH-000633,-0.054292592798923726
ACH-000637,-0.059468191365806014
ACH-000638,-0.11656796975549001
ACH-000646,0.08660660500990494
ACH-000647,0.03928203714612456
ACH-000648,-0.08337626495250762
ACH-000649,-0.20183192764581714
ACH-000651,-0.2096284742838309
ACH-000652,-0.08659879467136583
ACH-000653,-0.1785653342926375
ACH-000657,-0.22872713061117894
ACH-000658,-0.10433973565888167
ACH-000661,-0.17369519313190848
ACH-000662,-0.3064687521613113
ACH-000663,-0.1931236922706355
ACH-000665,-0.0772258749577242
ACH-000671,-0.12631750517654688
ACH-000672,0.009501326600337772
ACH-000673,-0.05843432381326893
ACH-000676,-0.16231809913505552
ACH-000677,-0.24391713827252395
ACH-000681,-0.24875590599949104
ACH-000683,-0.06065087108364803
ACH-000684,-0.029286164986489838
ACH-000688,-0.2331281640263473
ACH-000693,-0.1528474881101166
ACH-000694,-0.1956557697550053
ACH-000695,0.0527597961839465
ACH-000696,-0.010274886011780634
ACH-000697,-0.2190182844634334
ACH-000699,-0.1934577332192946
ACH-000701,-0.222632445009855
ACH-000706,-0.08976627781459176
ACH-000711,-0.12729455621511435
ACH-000713,-0.17663858802324456
ACH-000714,-0.13575520355972898
ACH-000718,-0.1059873971265734
ACH-000720,-0.09774966544976216
ACH-000721,-0.14622820390398822
ACH-000724,-0.3024455949526377
ACH-000725,-0.2414519738971508
ACH-000732,0.029216552412835217
ACH-000734,-0.25072682274536506
ACH-000735,-0.15015191737182318
ACH-000736,-0.0900909858783761
ACH-000738,-0.07007405978734449
ACH-000746,-0.17875544513650887
ACH-000747,-0.17497607586152947
ACH-000748,-0.20206873066007988
ACH-000753,-0.13831011237174914
ACH-000756,-0.20234208622113792
ACH-000757,-0.14497999046371246
ACH-000758,-0.4022902165835736
ACH-000760,-0.1429434384869775
ACH-000762,-0.09059970336529667
ACH-000763,-0.11422280383967437
ACH-000764,-0.1518838711842004
ACH-000765,-0.30534067385884994
ACH-000766,-0.061321322432634835
ACH-000767,-0.2437773754257247
ACH-000768,-0.0848820905833614
ACH-000769,-0.17942534072888186
ACH-000770,-0.1329633434325394
ACH-000771,-0.15712100012770522
ACH-000773,-0.2161474709954601
ACH-000776,-0.15361666301138038
ACH-000777,-0.3767832007642854
ACH-000778,-0.0942597842715365
ACH-000781,0.07212444673402386
ACH-000782,-0.011233219342136504
