,VCAM1 (7412)
ACH-000004,-0.020305970559098576
ACH-000005,0.07487120155628761
ACH-000007,0.073209388971399
ACH-000009,-0.09164097732006
ACH-000011,0.03666920463075698
ACH-000012,-0.10936153929594487
ACH-000013,-0.021251734203236845
ACH-000014,0.21711909578749303
ACH-000015,-0.0558972115898537
ACH-000017,-0.018083615374357483
ACH-000018,-0.053636240701977186
ACH-000019,-0.2354475026474123
ACH-000021,0.03363236254851867
ACH-000022,0.0018050788584910702
ACH-000025,-0.21513452033593006
ACH-000028,-0.11321105344966302
ACH-000030,0.0013595913752932221
ACH-000035,0.06524309379255384
ACH-000036,0.03319057481386616
ACH-000037,-0.1135802036621453
ACH-000039,0.09339303277547588
ACH-000040,-0.1257718858591837
ACH-000041,0.05046293380503045
ACH-000042,-0.06765841692376955
ACH-000045,-0.22153045985626035
ACH-000047,-0.0387853675409072
ACH-000052,-0.17689267951263868
ACH-000053,-0.008669569117751203
ACH-000054,0.08038175999532814
ACH-000055,0.17707899903261262
ACH-000060,-0.03197819643388738
ACH-000067,0.15017254181783735
ACH-000070,-0.01572968667910301
ACH-000075,0.0049476753494069855
ACH-000078,-0.0057902385542939385
ACH-000082,-0.0526066430450332
ACH-000085,0.003009819823049177
ACH-000086,-0.07835514964506868
ACH-000087,-0.16931078054266058
ACH-000092,-0.11577562151581795
ACH-000095,-0.009411290219886344
ACH-000097,-0.0369277389672655
ACH-000098,-0.08245864433337127
ACH-000099,0.008891870974733552
ACH-000108,-0.0013739863745149251
ACH-000113,-0.096022009729001
ACH-000116,-0.13136318426638596
ACH-000118,-0.0862482345888715
ACH-000120,0.03717181705663646
ACH-000123,0.09806780829154302
ACH-000127,-0.05582483513212432
ACH-000128,-0.11147838392717883
ACH-000132,0.006676171681717092
ACH-000133,-0.13501303921313246
ACH-000137,-0.2283390960296553
ACH-000138,0.0367509902498234
ACH-000142,-0.06910950249155225
ACH-000143,-0.20368708574123104
ACH-000146,-0.04114839842744788
ACH-000148,0.05289319952652953
ACH-000150,0.01761822030487306
ACH-000152,-0.01674549659125286
