,GPATCH2L (55668)
ACH-000004,0.2162261272673874
ACH-000005,0.026133015657606798
ACH-000007,0.21486236458671232
ACH-000009,0.12818249853570007
ACH-000011,0.11736602087762997
ACH-000012,-0.011752765903399956
ACH-000013,0.028137683481856992
ACH-000014,-0.0016694846907566831
ACH-000015,0.1710893694744808
ACH-000017,0.11812414340509635
ACH-000018,0.05361166932809839
ACH-000019,-0.02085316532916381
ACH-000021,0.16085294363368832
ACH-000022,0.04495342868259252
ACH-000025,0.052488149583581424
ACH-000028,0.036400533670736264
ACH-000030,0.20973054313419665
ACH-000035,0.166066103163775
ACH-000036,0.010977726471892343
ACH-000037,-0.04547030128293435
ACH-000039,0.061036835090109584
ACH-000040,0.04178119482637144
ACH-000041,-0.033870878343890506
ACH-000042,-0.01932297435962249
ACH-000045,0.0838791448073047
ACH-000047,-0.042823049560365464
ACH-000052,0.16900871771854226
ACH-000053,0.02985513221194836
ACH-000054,-0.09329756058091856
ACH-000055,-0.06847578290408726
ACH-000060,-0.16366184567714576
ACH-000067,-0.015128468822843018
ACH-000070,0.04431863626899735
ACH-000075,0.006968303556974251
ACH-000078,0.16004523540647775
ACH-000082,0.033735362135234565
ACH-000085,0.1894193736922117
ACH-000086,0.001214418903061383
ACH-000087,0.04765635921950374
ACH-000092,-0.038874405713084224
ACH-000095,0.007280027933640094
ACH-000097,0.008626713459108813
ACH-000098,0.13453224444152673
ACH-000099,0.09408905926172004
ACH-000108,-0.005524334843518911
ACH-000113,-0.007151098898053784
ACH-000116,0.11781500306242736
ACH-000118,0.03793720943053636
ACH-000120,0.08779629117781285
ACH-000123,0.11470266336989556
ACH-000127,0.06952546612653887
ACH-000128,0.073331120916901
ACH-000132,0.21152027813191254
ACH-000133,0.056868718198430826
ACH-000137,0.05508073164582429
ACH-000138,0.08085985429621427
ACH-000142,0.08366465469011379
ACH-000143,-0.09967336702519093
ACH-000146,0.09346680436774188
ACH-000148,-0.015199702957718303
ACH-000150,0.19669113749209235
ACH-000152,0.0605846114677713
ACH-000153,-0.050738484129694686
ACH-000159,-0.0607259621751946
ACH-000160,-0.030902446855961312
ACH-000163,0.15713601092271268
ACH-000167,-0.35587028754404976
ACH-000168,-0.037077982576979335
ACH-000169,0.16190739296933687
ACH-000178,-0.006824092737465414
ACH-000183,0.0819352417609402
ACH-000188,0.01846943872611336
ACH-000189,0.1422893163515953
ACH-000190,0.1263053015701737
ACH-000198,0.02098074700837264
ACH-000203,0.3381563333782595
ACH-000204,-0.05056500842874216
ACH-000206,0.0948237600122796
ACH-000207,0.13660309176448374
ACH-000208,-0.013120147176299385
ACH-000210,-0.1942364106179043
ACH-000211,0.01521580531144386
ACH-000215,0.0578880488986685
ACH-000221,0.025120264008851558
ACH-000222,-0.07478115068314463
ACH-000223,-0.026804082560858433
