,PHLDA2 (7262)
ACH-000004,0.011539632168576562
ACH-000005,-0.15319514181240332
ACH-000007,-0.016144542857383683
ACH-000009,-0.1156119219822502
ACH-000011,-0.038172157896960816
ACH-000012,-0.2016601746567254
ACH-000013,-0.04483863181905751
ACH-000014,0.05772793600023831
ACH-000015,0.0016306656821593105
ACH-000017,0.5146708209602869
ACH-000018,-0.06020532140560525
ACH-000019,-0.3089135717130161
ACH-000021,-0.10334987306785644
ACH-000022,-0.12942246417866285
ACH-000025,-0.08399036751802448
ACH-000028,-0.15042687359106285
ACH-000030,-0.17523370426124318
ACH-000035,-0.018605984715731598
ACH-000036,-0.2173635216322916
ACH-000037,-0.10432609673903057
ACH-000039,0.045616917089688964
ACH-000040,-0.04567869571324647
ACH-000041,0.0414199177066534
ACH-000042,-0.12891886007853018
ACH-000045,-0.13963521599162787
ACH-000047,-0.13475294740354216
ACH-000052,-0.04034912495504133
ACH-000053,-0.067971550199664
ACH-000054,-0.06524482238782169
ACH-000055,-0.21962395361742465
ACH-000060,-0.07901062641742604
ACH-000067,-0.1238206315055851
ACH-000070,-0.17673597825444412
ACH-000075,-0.02696035123383241
ACH-000078,-0.22919652889654615
ACH-000082,-0.16726328093860882
ACH-000085,0.001374957417039353
ACH-000086,-0.12338439014473968
ACH-000087,0.2549524151242755
ACH-000092,-0.013330484381818195
ACH-000095,-0.059296404445743814
ACH-000097,-0.09947229401467628
ACH-000098,-0.15545161488450854
ACH-000099,-0.1750578686296288
ACH-000108,-0.0605854493206971
ACH-000113,-0.14448741201543427
ACH-000116,-0.08563225800767149
ACH-000118,-0.09453975584823192
ACH-000120,-0.10965430396966802
ACH-000123,-0.14707713091552985
ACH-000127,-0.14400687775245385
ACH-000128,0.0299021361747641
ACH-000132,0.0038293513857527617
ACH-000133,-0.1576375151410524
ACH-000137,-0.1119275576684156
ACH-000138,-0.04961857658279205
ACH-000142,0.2566226598047449
ACH-000143,0.06325863526539
ACH-000146,-0.12277729686320145
ACH-000148,-0.09274976556774923
ACH-000150,-0.11821505443154375
ACH-000152,-0.08677548913709933
ACH-000153,-0.03027487259237105
ACH-000159,-0.16859326229912294
ACH-000160,-0.24608628601802554
ACH-000163,-0.06115599609466196
ACH-000167,-0.41665015798595706
ACH-000168,-0.07765519443323922
ACH-000169,-0.09101835726655096
