,EHMT2 (10919)
ACH-000004,-0.24402749854195685
ACH-000005,-0.5233971367607556
ACH-000007,-0.0813869854437511
ACH-000009,-0.032709986498573776
ACH-000011,-0.3173355272812176
ACH-000012,-0.2314548789056577
ACH-000013,-0.1621523518773404
ACH-000014,-0.2955352303764109
ACH-000015,-0.17234928820858755
ACH-000017,0.020768570347128385
ACH-000018,-0.23559547715866855
ACH-000019,-0.061269887305506
ACH-000021,-0.08104981759739913
ACH-000022,-0.05700052693113804
ACH-000025,-0.12197692122817252
ACH-000028,0.20116037721731506
ACH-000030,-0.23908303205858986
ACH-000035,-0.09226219199922801
ACH-000036,-0.08345557925696499
ACH-000037,0.0342376755094083
ACH-000039,-0.05324708198142073
ACH-000040,-0.001494809547518889
ACH-000041,-0.3656693450782322
ACH-000042,-0.4331376799691596
ACH-000045,-0.22040394118252607
ACH-000047,-0.30203719684566066
ACH-000052,-0.4420019270710493
ACH-000053,-0.169718048120912
ACH-000054,-0.07860171696321913
ACH-000055,0.011348982953206823
ACH-000060,-0.30517312489151
ACH-000067,-0.22990463275873715
ACH-000070,-0.30260678755083825
ACH-000075,-0.05706389635765585
ACH-000078,-0.2026973905671824
ACH-000082,0.0301051485279098
ACH-000085,-0.3760443435244167
ACH-000086,-0.13690429079939906
ACH-000087,-0.13887583865481912
ACH-000092,-0.1535421918140639
ACH-000095,-0.06269186133510747
ACH-000097,0.18219971239887334
ACH-000098,-0.0821833342221221
ACH-000099,0.05568880834419332
ACH-000108,-0.02645644052573508
ACH-000113,-0.20401793313133004
ACH-000116,-0.01245495282927386
ACH-000118,-0.13105594230520493
ACH-000120,-0.4061678539917193
ACH-000123,-0.3399263289412152
ACH-000127,-0.2295597603174486
ACH-000128,-0.3084730303130288
ACH-000132,0.012952532602095706
ACH-000133,-0.17132450230822555
ACH-000137,-0.10325920199874923
ACH-000138,-0.19749870275379136
ACH-000142,-0.04565029129312923
ACH-000143,-0.15841187741849408
ACH-000146,-0.0360364892296143
ACH-000148,-0.08382983234053297
ACH-000150,0.0888517685282859
ACH-000152,-0.16568718272334262
ACH-000153,-0.19321312488949968
ACH-000159,-0.06620888690682614
ACH-000160,0.06182898407902297
ACH-000163,-0.014947836543556768
ACH-000167,0.31469831248704605
ACH-000168,-0.05535810818616962
ACH-000169,-0.17429099087565822
ACH-000178,-0.26404617034665884
ACH-000183,-0.14399467895400267
ACH-000188,-0.08660056970916577
ACH-000189,0.016193205580416117
ACH-000190,-0.06067416725105278
ACH-000198,-0.2699379083758076
ACH-000203,-0.2033959652414634
ACH-000204,0.09032446494132083
ACH-000206,-0.16551358496599392
ACH-000207,-0.22151360691405475
ACH-000208,-0.06253078332217472
ACH-000210,0.10015065311891456
ACH-000211,-0.21801657438867292
ACH-000215,-0.037243884068861664
ACH-000221,-0.20942086307999785
ACH-000222,0.04955015190884832
ACH-000223,-0.13271167054736396
ACH-000226,-0.118777539491381
ACH-000227,0.06563407340500323
ACH-000228,-0.21270005263828726
ACH-000231,0.03344860763191161
ACH-000232,-0.12580545293266834
ACH-000233,-0.2481801060356505
