,HIST1H3A (8350)
ACH-000004,-0.3720185898062402
ACH-000005,-0.34651113391541183
ACH-000007,-0.2593141649667652
ACH-000009,-0.3240455117405049
ACH-000011,-0.4844717790823001
ACH-000012,-0.35896777598575624
ACH-000013,-0.2931524197760049
ACH-000014,-0.4907823284362905
ACH-000015,-0.1545896116068474
ACH-000017,-0.2573005319286168
ACH-000018,-0.24468315994485715
ACH-000019,-0.3672368167892088
ACH-000021,-0.2457166159084569
ACH-000022,-0.3053234976342932
ACH-000025,-0.5511922308079646
ACH-000028,-0.4130782736097934
ACH-000030,-0.28214734320575524
ACH-000035,-0.6521711624387425
ACH-000036,-0.3845688680133866
ACH-000037,-0.25794827050576336
ACH-000039,-0.04002088501920949
ACH-000040,-0.3216371265276225
ACH-000041,-0.2251817676974269
ACH-000042,-0.2907650470580049
ACH-000045,-0.15047416458674084
ACH-000047,-0.5002238768104541
ACH-000052,-0.30982903096512865
ACH-000053,-0.2882086899752591
ACH-000054,-0.3901845117494614
ACH-000055,-0.44247306773516615
ACH-000060,-0.3320658190133006
ACH-000067,-0.39047672957389823
ACH-000070,-0.4004665650482943
ACH-000075,-0.4736748074838698
ACH-000078,-0.2761190599673488
ACH-000082,-0.4268503262839473
ACH-000085,-0.3569917408089138
ACH-000086,-0.4647926061369636
ACH-000087,-0.15273123828439206
ACH-000092,-0.4145134459005547
ACH-000095,-0.35103257087095796
ACH-000097,-0.4126657156278978
ACH-000098,-0.3629658089611462
ACH-000099,-0.3128245748889024
ACH-000108,-0.28621666976663035
ACH-000113,-0.15918340329916011
ACH-000116,-0.23287666513556024
ACH-000118,-0.34832705255740504
ACH-000120,-0.19344424806134747
ACH-000123,-0.3010221062643431
ACH-000127,-0.25039303189864337
ACH-000128,-0.04157502621940293
ACH-000132,-0.3225387050764061
ACH-000133,-0.15418140523848553
ACH-000137,-0.17781281668741494
ACH-000138,-0.302452499981145
ACH-000142,-0.2339276850747785
ACH-000143,0.004258821076160003
ACH-000146,-0.2390250811633941
ACH-000148,-0.13149369978837142
ACH-000150,-0.396939324504318
ACH-000152,-0.3162132154912069
ACH-000153,-0.5062619962748283
ACH-000159,-0.18189945271781388
ACH-000160,-0.07100709078488229
ACH-000163,-0.21666917619269493
ACH-000167,0.08688282452199206
ACH-000168,-0.3203330996189301
ACH-000169,-0.3604187595683738
ACH-000178,-0.2373766363745917
ACH-000183,-0.2744337801006878
ACH-000188,-0.4271543009267226
ACH-000189,-0.301672735817388
ACH-000190,0.0222884293989722
ACH-000198,-0.20215756989943215
ACH-000203,-0.279749524334774
ACH-000204,-0.13556841088461935
ACH-000206,-0.6255112597523812
ACH-000207,-0.30572546466711314
ACH-000208,-0.02695638533574369
ACH-000210,-0.2221395106495112
ACH-000211,-0.267353443063852
ACH-000215,-0.3247945557892111
ACH-000221,-0.12320585019651982
ACH-000222,-0.1040805914209202
ACH-000223,-0.4212814930542589
ACH-000226,-0.4383529302423817
ACH-000227,-0.37626381413048215
ACH-000228,-0.1983178586942388
ACH-000231,-0.4188158188668789
ACH-000232,-0.18979942877770087
ACH-000233,-0.3527301760067151
ACH-000234,-0.5879572813560016
