,GFPT1 (2673)
ACH-000004,-0.7899198868700006
ACH-000005,-0.371481521592324
ACH-000007,-0.05612051168939073
ACH-000009,-0.13815523793995405
ACH-000011,-0.4571637937012339
ACH-000012,-0.07283786135782007
ACH-000013,-0.040930651349874884
ACH-000014,-0.2584216544080379
ACH-000015,0.011430028422407331
ACH-000017,-0.8098996336919259
ACH-000018,-0.3654617403216892
ACH-000019,-0.475509574992377
ACH-000021,-0.2345306506272766
ACH-000022,-0.11630114788561526
ACH-000025,-0.11293111187787673
ACH-000028,-0.3888171930183889
ACH-000030,-0.5258730754699842
ACH-000035,-0.3362800780828229
ACH-000036,-0.019469300747026172
ACH-000037,-0.29154859508323266
ACH-000039,-0.27613072724339416
ACH-000040,-0.18242312021209114
ACH-000041,-0.1416866664470572
ACH-000042,-0.7934924248229952
ACH-000045,-0.5686274958415782
ACH-000047,-0.7055343585051576
ACH-000052,-0.07064394951695054
ACH-000053,-0.5783004426009032
ACH-000054,-0.0980918484823426
ACH-000055,-0.1618505298776136
ACH-000060,-0.13655766119358126
ACH-000067,-0.2443656867790343
ACH-000070,-0.6490166277473671
ACH-000075,-0.2289325227439793
ACH-000078,-0.1151318521037939
ACH-000082,-0.17977314543270978
ACH-000085,-0.16822758945138558
ACH-000086,-0.1365907623712169
ACH-000087,-0.2056442795150948
ACH-000092,-0.2695078620751365
ACH-000095,0.01583428939683756
ACH-000097,-0.7040335593886808
ACH-000098,-0.08562860872798808
ACH-000099,-0.2609218068148308
ACH-000108,-0.4550727132002769
ACH-000113,-0.5963247156290413
ACH-000116,-0.2649303081583194
ACH-000118,-0.582739117735078
ACH-000120,-0.2738552537940494
ACH-000123,-0.0739066275657201
ACH-000127,-0.044870192226942926
ACH-000128,-0.05262076642690553
ACH-000132,-0.14853647357909838
ACH-000133,-0.26623803944824964
ACH-000137,-0.12674174136353772
ACH-000138,-0.593331063060326
ACH-000142,-0.7663768622823179
ACH-000143,-0.2323273696732148
ACH-000146,-0.5016300936140214
ACH-000148,-0.04498826069850002
ACH-000150,-0.04484341561306309
ACH-000152,-0.19697410056179646
ACH-000153,-0.16820859199857455
ACH-000159,-0.5349105252610361
ACH-000160,0.10059574412793236
ACH-000163,-0.1938459853296842
ACH-000167,0.4210020200469956
ACH-000168,-0.6320087700569982
ACH-000169,-0.09615515823062154
ACH-000178,-0.28848613724140176
ACH-000183,-0.6991074635739803
ACH-000188,-0.26082892441377376
ACH-000189,-0.7780137298139499
ACH-000190,-0.030557123770639467
ACH-000198,-0.6156362581043948
ACH-000203,-0.6019108430404618
ACH-000204,-0.4705786933143784
ACH-000206,-0.35201310136603114
ACH-000207,-0.5450935824956281
ACH-000208,-0.14621869927404846
ACH-000210,-0.3364749498876357
ACH-000211,-0.11764008753433662
ACH-000215,-0.10860413971619087
ACH-000221,0.0292324588716944
ACH-000222,-0.6170338620679789
ACH-000223,-0.4502438785060861
ACH-000226,-0.7290614262304151
ACH-000227,-0.19629148936706572
ACH-000228,-0.26254427974285144
ACH-000231,-0.16521227353650694
ACH-000232,0.04541803672303698
ACH-000233,-0.6501651409660762
ACH-000234,-0.6066909268220282
ACH-000235,-0.9046563950139253
ACH-000237,-0.1473651969667176
ACH-000238,-0.23197961685754956
ACH-000242,0.03329332611834481
ACH-000243,-0.4479261034829103
ACH-000244,-0.13635954989282487
ACH-000246,-0.3814183933816333
ACH-000248,-0.1603077276150944
ACH-000250,-0.7698737311833532
ACH-000251,-0.3029995071970249
ACH-000252,-0.25680463989335184
ACH-000253,-0.4684542985795733
ACH-000255,-0.05391127682279738
ACH-000256,-0.15310164952195854
ACH-000257,-0.4459355447370543
ACH-000258,-0.517430973622137
ACH-000259,-0.6652521763245882
ACH-000260,-0.08782155842392758
ACH-000261,-0.1849924728513762
ACH-000262,-0.6714578628605672
ACH-000263,-0.7650533306977385
ACH-000264,-0.16457751417544475
ACH-000265,-0.1112742503962299
ACH-000266,-0.9695132217423212
ACH-000272,-0.7736504453021896
ACH-000274,-0.6609673148360354
ACH-000277,-0.553107887732322
ACH-000278,-0.4601861135763705
ACH-000279,-0.3618092830400457
ACH-000280,-0.27223245021729664
ACH-000281,-0.7572591256571913
ACH-000288,-0.02227991986463548
ACH-000291,-0.16378351010575035
ACH-000293,-0.3927969305867801
ACH-000294,-0.15877946632767398
ACH-000295,-0.6760413800731724
ACH-000296,-0.1005707650600016
ACH-000302,-0.10314933521829246
ACH-000304,-0.3382493665094053
ACH-000307,-0.5709900941501824
ACH-000308,-0.9884234031954352
ACH-000310,-0.09512490015492238
ACH-000311,-0.3772995401743589
ACH-000312,-0.3259934979453369
ACH-000315,-0.2786200075661169
ACH-000316,-0.16390334304534926
ACH-000317,-0.9487182975595896
ACH-000318,-0.1904934885879097
ACH-000319,-0.049867059469906466
ACH-000320,-0.1389230030194714
ACH-000322,-0.2189408966074129
ACH-000323,-0.1670812885071964
ACH-000324,-0.5357684691932376
ACH-000329,-0.17068623001422129
ACH-000330,-0.43489656767084506
ACH-000331,-0.2047618296565246
ACH-000332,-0.35937650267139515
ACH-000334,-0.6032376546246574
ACH-000335,-0.25815128388028874
ACH-000336,-0.4521476071851032
ACH-000337,-0.7457661108326122
ACH-000338,-0.7927277280596832
ACH-000339,-0.4827717720300625
ACH-000341,-0.19842198984370868
ACH-000348,-0.22444016599287653
ACH-000350,-0.5011448181119011
ACH-000352,-0.1885752332170337
ACH-000356,-0.1920744509671773
ACH-000361,-0.28461789402295695
ACH-000362,-0.5046757344617202
ACH-000363,-0.6017225766877772
ACH-000364,-0.1970996793613478
ACH-000365,-0.5652685404014297
ACH-000366,-0.4097377107112514
ACH-000368,-0.35189304959442924
ACH-000374,-0.5447570097837883
ACH-000375,-0.09200343100182644
ACH-000376,-0.22217984056346665
ACH-000381,-0.3810770966153387
ACH-000383,-0.7044877492026901
ACH-000387,-0.8081960149752936
ACH-000389,-0.22140942847560552
ACH-000390,-0.4714988806146144
ACH-000393,-0.3568591097191583
ACH-000395,-0.5452224040877971
ACH-000396,-0.8084196952890697
ACH-000397,-0.6468153655990362
ACH-000401,-0.7133228247372748
ACH-000402,-0.6147156834513255
ACH-000403,-0.6225475392696542
ACH-000404,-0.43984353751533295
ACH-000406,-0.636048931434224
ACH-000407,-0.2738170702821654
ACH-000408,-0.5546921467294833
ACH-000410,-0.28043654120169864
ACH-000411,-0.6016512851776114
ACH-000414,-0.14765628272011427
ACH-000415,-0.4363718178559461
ACH-000416,-0.6720222781170941
ACH-000420,-0.12731679809992874
ACH-000421,-0.41828570793750064
ACH-000424,-0.2701672622159022
ACH-000425,-0.3551348566216428
ACH-000426,-0.4745878541038214
ACH-000427,-0.223357307439875
ACH-000433,-0.2807883749571158
ACH-000435,-0.27506994408331875
ACH-000436,-0.5722778442435665
ACH-000444,-0.1551528263433093
ACH-000445,-0.03903476643552012
ACH-000448,-0.26267480505533103
ACH-000450,-0.3946035170247427
ACH-000452,-0.3224199535944503
ACH-000454,-0.773890022930131
ACH-000458,-0.06769688749944128
ACH-000459,-0.2944910942000793
ACH-000460,-0.494849935187837
ACH-000461,-0.3710926009467999
ACH-000463,-0.021213854852889038
ACH-000464,-0.3061901394766461
ACH-000466,-0.7165362026307718
ACH-000467,-0.15375658521931526
ACH-000468,-0.2568603513218428
ACH-000469,0.003157591997704197
ACH-000470,-0.4741315316344513
ACH-000471,-0.2196191627422873
