,SNRPC (6631)
ACH-000004,-1.333384534404373
ACH-000005,-1.2729283517949328
ACH-000007,-0.959770891330251
ACH-000009,-1.13508558496302
ACH-000011,-0.8604998719822431
ACH-000012,-1.1835911705164996
ACH-000013,-1.2158795360501828
ACH-000014,-1.0248691939720165
ACH-000015,-1.0119971741634275
ACH-000017,-1.026275832873211
ACH-000018,-1.0790601938369646
ACH-000019,-0.8802502094899436
ACH-000021,-0.905945032377796
ACH-000022,-0.9831846291517572
ACH-000025,-1.1869881790214136
ACH-000028,-1.0535960185974549
ACH-000030,-1.0277882555811728
ACH-000035,-1.0669627898686669
ACH-000036,-0.7004822991739157
ACH-000037,-0.7982275466339877
ACH-000039,-1.1578045738818743
ACH-000040,-0.9591678462735834
ACH-000041,-1.096400875467801
ACH-000042,-1.1424961657057795
ACH-000045,-0.7251480328821067
ACH-000047,-0.8933257873212249
ACH-000052,-1.052132956381548
ACH-000053,-1.0000881101316899
ACH-000054,-0.6902481921167858
ACH-000055,-1.106174607418072
ACH-000060,-1.185953839856256
ACH-000067,-0.9855061452787792
ACH-000070,-0.6613819738347522
ACH-000075,-1.1677700906149209
ACH-000078,-1.0039883347535852
ACH-000082,-0.9284425107686216
ACH-000085,-0.8263730445199751
ACH-000086,-0.9432790326033548
ACH-000087,-0.8888606106881152
ACH-000092,-1.029972704692533
ACH-000095,-1.127554300402341
ACH-000097,-1.1390222251174338
ACH-000098,-1.0105922248612564
ACH-000099,-0.9149131289166254
ACH-000108,-1.1320053419569052
ACH-000113,-0.818545458780187
ACH-000116,-1.0348270125258692
ACH-000118,-0.9764662941631994
ACH-000120,-1.0068622690543283
ACH-000123,-0.8837322200034453
ACH-000127,-0.955515303418294
ACH-000128,-1.2184405796644302
ACH-000132,-1.0374001801827144
ACH-000133,-1.0608516172509057
ACH-000137,-1.1642917958096846
ACH-000138,-0.9130612227034556
ACH-000142,-0.9211987607122428
ACH-000143,-0.9979544177668276
ACH-000146,-0.85634097438534
ACH-000148,-1.1026604583319466
ACH-000150,-0.9384450720641446
ACH-000152,-0.6130229761886395
ACH-000153,-1.2511539347054546
ACH-000159,-1.0805050719245528
ACH-000160,-1.3168192062627535
ACH-000163,-0.8523693015830969
ACH-000167,-1.6283923311095283
ACH-000168,-0.9747215467361808
ACH-000169,-1.0877312215109314
ACH-000178,-0.960146960600463
ACH-000183,-1.0798261509954563
ACH-000188,-1.057059861370502
ACH-000189,-1.0370698170988752
ACH-000190,-0.7854910541813276
ACH-000198,-0.8418780348756061
ACH-000203,-1.1309675936652726
ACH-000204,-0.8703570184966292
ACH-000206,-0.7707568397238564
ACH-000207,-1.02339740551067
ACH-000208,-1.0657666128536374
ACH-000210,-1.1317312216163526
ACH-000211,-0.9209599621054072
ACH-000215,-1.0190521176264409
ACH-000221,-1.0193966512071473
ACH-000222,-0.9404297502816296
ACH-000223,-1.0923044655102452
ACH-000226,-0.9791345801999188
ACH-000227,-1.1576903335956412
ACH-000228,-1.1888031483118355
ACH-000231,-0.9590514130413221
ACH-000232,-1.0210442893867462
ACH-000233,-0.8563339218402596
ACH-000234,-1.0001139638673642
ACH-000235,-1.1334280759005742
ACH-000237,-1.0476686060930789
ACH-000238,-1.1668259643710892
ACH-000242,-0.9500619756028064
ACH-000243,-1.0222799089423449
ACH-000244,-0.7504617187769631
ACH-000246,-0.7971696243249617
ACH-000248,-1.0681966350856398
ACH-000250,-0.8665159613896554
ACH-000251,-0.9311296341564101
ACH-000252,-0.9847546591081164
ACH-000253,-1.0589131932799238
ACH-000255,-0.9593287637113512
ACH-000256,-1.0402657807287985
ACH-000257,-1.1949424725940274
ACH-000258,-0.7273403337329308
ACH-000259,-1.1224717958648684
ACH-000260,-0.9765221564317887
ACH-000261,-0.9566167052587234
ACH-000262,-1.2048310647839249
ACH-000263,-1.3891760746973216
ACH-000264,-1.2186281281609626
ACH-000265,-1.0932391625821798
ACH-000266,-0.9818098810447192
ACH-000272,-0.9868304028216688
ACH-000274,-1.0032336253754583
ACH-000277,-0.8690792123131595
ACH-000278,-0.9757314968653926
ACH-000279,-1.1287373742482776
ACH-000280,-0.9401059147602104
ACH-000281,-0.7903965411571632
ACH-000288,-1.020153908326112
ACH-000291,-0.9689935196354794
ACH-000293,-0.9290569441570812
ACH-000294,-0.7776129881972993
ACH-000295,-0.8609689221619342
ACH-000296,-0.934011886544943
ACH-000302,-1.0494601017392848
ACH-000304,-0.8132539387113372
ACH-000307,-1.2024218732363263
ACH-000308,-1.0091189861199663
ACH-000310,-0.907104780730336
ACH-000311,-0.8051628579864606
ACH-000312,-0.9707682668463564
ACH-000315,-1.1688985939497778
ACH-000316,-0.9670836274513531
ACH-000317,-1.4146584323204696
ACH-000318,-0.9344452026587302
ACH-000319,-0.8803368303514884
ACH-000320,-1.2030631114775658
ACH-000322,-1.0222757550678627
ACH-000323,-1.043872003228144
ACH-000324,-0.9389685193337816
ACH-000329,-1.0190301738256695
ACH-000330,-0.9899070461542824
ACH-000331,-0.917587363417252
ACH-000332,-0.9240206872590008
ACH-000334,-1.2197765997395558
ACH-000335,-1.1316828899642912
ACH-000336,-1.0167148164667656
ACH-000337,-0.941669270045162
ACH-000338,-1.2435015039423172
ACH-000339,-0.9754783648604691
ACH-000341,-0.9333750185274208
ACH-000348,-0.7650999177986926
ACH-000350,-0.9036116854533992
ACH-000352,-1.2141852100986092
ACH-000356,-0.8252759304814506
ACH-000361,-1.0079453451605551
ACH-000362,-0.7175245133282001
ACH-000363,-1.1034649054970624
ACH-000364,-0.9421915366651392
ACH-000365,-1.1063775093135737
ACH-000366,-0.9965961796428208
ACH-000368,-1.0665218965437742
ACH-000374,-1.052931701924601
ACH-000375,-1.2533056229681352
ACH-000376,-1.0058876544612994
ACH-000381,-0.9882368140552594
ACH-000383,-0.9198034366914426
ACH-000387,-0.8499049461084746
ACH-000389,-1.125817715037262
ACH-000390,-1.0499717224390468
ACH-000393,-0.908719206437065
ACH-000395,-1.1798859054033608
ACH-000396,-0.9649176876122104
ACH-000397,-1.0875937555069155
ACH-000401,-1.0514521617252972
ACH-000402,-1.165707593275752
ACH-000403,-1.0345550419374063
ACH-000404,-1.2564062245188603
ACH-000406,-1.0031838440474041
ACH-000407,-1.030832997184204
ACH-000408,-1.1853180950636644
ACH-000410,-1.1026468755486976
ACH-000411,-0.8664807648170408
ACH-000414,-0.9674519977764204
ACH-000415,-1.082667833111975
ACH-000416,-0.9726556801592195
ACH-000420,-1.2236762950007074
ACH-000421,-1.1009185629174725
ACH-000424,-0.646366720622207
ACH-000425,-0.9887816108138491
ACH-000426,-1.0667977983496426
ACH-000427,-0.9769073054441856
ACH-000433,-0.9732443319357286
ACH-000435,-0.8966948029682222
ACH-000436,-0.893062480126777
ACH-000444,-0.94197050312024
ACH-000445,-0.581417242065176
ACH-000448,-0.9202898233076698
ACH-000450,-1.0176370140257804
ACH-000452,-1.0681604505224132
ACH-000454,-0.902844850688455
ACH-000458,-0.9813325793834896
ACH-000459,-0.7708431890236528
ACH-000460,-1.1001499179641605
ACH-000461,-0.9457252216948948
ACH-000463,-0.9240603056989704
ACH-000464,-0.8505031946027246
ACH-000466,-0.7437216385463497
ACH-000467,-1.2816068380186127
ACH-000468,-1.0538736299131402
ACH-000469,-1.054904684963314
ACH-000470,-1.1656787298982672
ACH-000471,-0.990037647376148
ACH-000472,-0.989518322344639
ACH-000473,-0.6281786452943929
ACH-000475,-0.9568684364151218
ACH-000476,-0.909149800501537
ACH-000477,-1.1123799124692384
ACH-000479,-0.8123200934318496
ACH-000480,-1.0243356691965462
ACH-000481,-1.1145359930754508
ACH-000483,-1.148678928455286
ACH-000484,-0.9062813353531192
ACH-000485,-0.8266774714067755
ACH-000486,-0.9057682834840376
ACH-000487,-0.9509768338106316
ACH-000488,-0.9989002656684666
ACH-000490,-0.8465804009358141
ACH-000491,-1.0196233042412373
ACH-000495,-0.8101277026415504
ACH-000496,-1.0225499920840984
ACH-000499,-1.1398450592443876
ACH-000500,-1.4806486554236946
