,PIGH (5283)
ACH-000004,-0.42020737365759775
ACH-000005,-0.2147494572870474
ACH-000007,-0.3173668261334889
ACH-000009,-0.4455811233972406
ACH-000011,-0.4853436743625165
ACH-000012,-0.44679662638572254
ACH-000013,-0.4187866895058958
ACH-000014,-0.4562689579835397
ACH-000015,-0.2838147519166561
ACH-000017,-0.3324784614001575
ACH-000018,-0.37038933993641293
ACH-000019,-0.3416627110080793
ACH-000021,-0.1940969257247199
ACH-000022,-0.3672584098267356
ACH-000025,-0.3626130638409663
ACH-000028,-0.21687988127383528
ACH-000030,-0.4083707364468168
ACH-000035,-0.4209061425179308
ACH-000036,-0.2882602612754338
ACH-000037,-0.2972914650088956
ACH-000039,-0.29462094594244365
ACH-000040,-0.3228071608887597
ACH-000041,-0.34477528290766485
ACH-000042,-0.3242755885942566
ACH-000045,-0.4938721902651236
ACH-000047,-0.5556680878903215
ACH-000052,-0.2793952690627526
ACH-000053,-0.328050695166384
ACH-000054,-0.24148239111307046
ACH-000055,-0.29720176892208844
ACH-000060,-0.42100526071747296
ACH-000067,-0.2628854671983147
ACH-000070,-0.43257169871833095
ACH-000075,-0.2727576279799529
ACH-000078,-0.2696763197204342
ACH-000082,-0.4736084423789419
ACH-000085,-0.4085513720253404
ACH-000086,-0.3269135548944824
ACH-000087,-0.3521633884778315
ACH-000092,-0.4548589449756707
ACH-000095,-0.373269303042898
ACH-000097,-0.3470952525574091
ACH-000098,-0.2875642387905533
ACH-000099,-0.20817081716895308
ACH-000108,-0.3937978949279012
ACH-000113,-0.3330158609473628
ACH-000116,-0.2387776474669033
ACH-000118,-0.3831061264793859
ACH-000120,-0.3377534993582309
ACH-000123,-0.3661107980221375
ACH-000127,-0.29837937515603896
ACH-000128,-0.2787729221862627
ACH-000132,-0.4422698138576045
ACH-000133,-0.3159762524407229
ACH-000137,-0.4565485312584121
ACH-000138,-0.3292210427417139
ACH-000142,-0.2651438469012407
ACH-000143,-0.34511638075585793
ACH-000146,-0.25574075192273776
ACH-000148,-0.3525965172420687
ACH-000150,-0.2927530300158647
ACH-000152,-0.2365890957346297
ACH-000153,-0.3930528359739219
