,TP53I13 (90313)
ACH-000004,-0.10718166218848464
ACH-000005,0.13898096358941295
ACH-000007,-0.22301711880829
ACH-000009,-0.3090804542685207
ACH-000011,-0.1631180757943667
ACH-000012,-0.1972730111208968
ACH-000013,-0.1881545774549704
ACH-000014,-0.1770778231157557
ACH-000015,-0.0256082720102362
ACH-000017,-0.4162556939540232
ACH-000018,-0.14517051840430886
ACH-000019,-0.3010838250429999
ACH-000021,-0.11677604350715197
ACH-000022,-0.07013714073372439
ACH-000025,-0.09120091685333452
ACH-000028,-0.3327180411500713
ACH-000030,-0.2439822736305428
ACH-000035,-0.2597414052833881
ACH-000036,-0.062171709622157824
ACH-000037,-0.18864470357957686
ACH-000039,-0.04604249121435526
ACH-000040,-0.1007263803506904
ACH-000041,-0.21215709194184434
ACH-000042,-0.1006741799369914
ACH-000045,0.05827767879938794
ACH-000047,-0.1102948039654914
ACH-000052,-0.2032902449973881
ACH-000053,-0.2989142114961106
ACH-000054,-0.2303541916948729
ACH-000055,-0.0818496242943536
ACH-000060,-0.2645220389168695
ACH-000067,-0.32360002765043944
ACH-000070,-0.038296516770479384
ACH-000075,-0.04168811720327981
ACH-000078,-0.1988293246478235
ACH-000082,-0.15562414852407375
ACH-000085,-0.12503352091166853
ACH-000086,-0.20560698521309928
ACH-000087,-0.1744153492583041
ACH-000092,-0.19949904065952925
ACH-000095,-0.1266371977447499
ACH-000097,-0.1935845569742111
ACH-000098,-0.1923373403361456
ACH-000099,-0.06844566936846093
ACH-000108,-0.014277691800415163
ACH-000113,-0.14196804216802414
ACH-000116,-0.19498649853997996
ACH-000118,-0.0253589049926413
ACH-000120,-0.05952816919225672
ACH-000123,-0.06823355739305924
ACH-000127,-0.06682800936978
ACH-000128,-0.13852555618520218
ACH-000132,-0.1731040888267115
ACH-000133,-0.13248510992064316
ACH-000137,-0.19079570106267374
ACH-000138,-0.14260153542735546
ACH-000142,-0.08487985042449661
ACH-000143,-0.3907445350282522
ACH-000146,-0.1370287303631805
ACH-000148,-0.2545605168519273
ACH-000150,0.04035811029007196
ACH-000152,-0.040353466238466966
ACH-000153,-0.19180673398490986
ACH-000159,-0.10843073887780827
ACH-000160,-0.13768284816245716
ACH-000163,-0.11005657192596313
ACH-000167,-0.4649082087511542
ACH-000168,-0.2132587095236621
ACH-000169,-0.12789077923321135
ACH-000178,-0.06464283335510837
ACH-000183,-0.11064697251856237
ACH-000188,-0.1599314269403202
ACH-000189,-0.18813414729357933
ACH-000190,-0.2296625522089673
ACH-000198,-0.059889796411652735
ACH-000203,-0.2446251131807377
ACH-000204,-0.2558090629012458
ACH-000206,-0.13801105845747388
ACH-000207,-0.08685054213509226
ACH-000208,-0.09151744187446316
ACH-000210,0.01539916171389672
ACH-000211,-0.1716456624756233
ACH-000215,-0.21976238015396926
ACH-000221,-0.252319978395733
ACH-000222,-0.1472774810224507
ACH-000223,-0.07004571047756555
ACH-000226,-0.26940080119373017
ACH-000227,-0.15370931861917406
ACH-000228,-0.11764876349233262
ACH-000231,-0.1016013009258286
ACH-000232,-0.07693234163424623
ACH-000233,-0.22522241698588685
ACH-000234,-0.08676175843121306
ACH-000235,-0.2060685037113517
ACH-000237,-0.14294183047859818
ACH-000238,-0.23730763729937496
ACH-000242,0.11096571472407153
ACH-000243,-0.17871872432601102
ACH-000244,-0.21439238860407603
ACH-000246,-0.07254316377393479
ACH-000248,-0.6513230063565238
ACH-000250,-0.11260625991532293
ACH-000251,-0.4266227211978294
ACH-000252,-0.0905802177596081
ACH-000253,-0.04828885659749845
ACH-000255,-0.11025775846509944
ACH-000256,-0.2201384206548356
ACH-000257,0.02177181999224699
ACH-000258,-0.16010596054891724
ACH-000259,-0.2076218316472375
ACH-000260,-0.1065804326139409
