,UBE2Q1 (55585)
ACH-000004,-0.08907947253218304
ACH-000005,-0.3662969953320989
ACH-000007,-0.2690274742445699
ACH-000009,-0.14228114660915864
ACH-000011,-0.04455163383391743
ACH-000012,-0.2710431717192608
ACH-000013,0.07100476108431439
ACH-000014,-0.3062085568807823
ACH-000015,-0.2362623454136972
ACH-000017,-0.3549521184633646
ACH-000018,-0.017153762681371792
ACH-000019,-0.2627599562200781
ACH-000021,-0.2410664343135372
ACH-000022,-0.08757366937294014
ACH-000025,-0.1763118777275075
ACH-000028,-0.28078802457469554
ACH-000030,-0.1115065667920324
ACH-000035,-0.05966106704010754
ACH-000036,-0.35832985431536923
ACH-000037,-0.07388257734682688
ACH-000039,-0.3427424576279077
ACH-000040,-0.0935998827212903
ACH-000041,-0.3115618121106437
ACH-000042,0.14256659868416693
ACH-000045,-0.42737554723215293
ACH-000047,-0.2281643551732429
ACH-000052,-0.052405040082514814
ACH-000053,0.05964477570739424
ACH-000054,-0.10985296994713882
ACH-000055,-0.5331103128923886
ACH-000060,-0.006096996406469631
ACH-000067,-0.20790686018647206
ACH-000070,-0.2759747093223761
ACH-000075,-0.4857801520919477
ACH-000078,-0.2072740329705769
ACH-000082,0.013281270983370156
ACH-000085,-0.07331594133730329
ACH-000086,-0.28042559755800234
ACH-000087,-0.15252505689905194
ACH-000092,-0.2663461854054904
ACH-000095,-0.1448101113987484
ACH-000097,-0.6976034026669384
ACH-000098,-0.10633728347812862
ACH-000099,-0.21370836853284692
ACH-000108,-0.06572954222021976
ACH-000113,-0.4117405147192543
ACH-000116,-0.3128103760596052
ACH-000118,-0.08643778552920743
ACH-000120,-0.4394928427888144
ACH-000123,-0.4024948569295985
ACH-000127,-0.20779427768027514
ACH-000128,-0.2715064496439555
ACH-000132,-0.17281089970384653
ACH-000133,-0.6568862876659229
ACH-000137,-0.3339079882345523
ACH-000138,-0.2241679403986241
ACH-000142,-0.12844628038069594
ACH-000143,0.24002884276575615
ACH-000146,-0.10885245199679547
ACH-000148,-0.1394958583160167
ACH-000150,-0.19960593739997526
ACH-000152,-0.5031121574805426
ACH-000153,-0.30353999585146385
ACH-000159,-0.4230552658204903
ACH-000160,-0.1188820633696623
ACH-000163,0.07925817695023704
ACH-000167,-0.031780715351669694
ACH-000168,-0.6173786450870231
ACH-000169,-0.1951820388504385
ACH-000178,-0.2554232893822668
ACH-000183,-0.3129884269652472
ACH-000188,-0.2021349010685725
ACH-000189,-0.4219229385884142
ACH-000190,-0.10469812956268236
ACH-000198,-0.38494743533335296
ACH-000203,-0.4698581429747546
ACH-000204,-0.6023584248165478
ACH-000206,-0.2551855133559572
ACH-000207,0.2473440697326417
ACH-000208,-0.3515213781968499
ACH-000210,0.07004755355539412
ACH-000211,-0.2140535907886456
ACH-000215,-0.3959934855319416
ACH-000221,-0.11885208883081383
ACH-000222,-0.027637260291484743
ACH-000223,-0.2489427886229038
ACH-000226,-0.37486916431077183
ACH-000227,0.017155953278244155
ACH-000228,0.03044547279931375
ACH-000231,-0.210285219438842
ACH-000232,-0.27154709060127924
ACH-000233,-0.09591000664204297
ACH-000234,-0.5274102010813286
ACH-000235,-0.4455122690325107
ACH-000237,-0.20623716728535108
ACH-000238,-0.0025724873722048147
ACH-000242,0.19362691309729324
ACH-000243,-0.14717291153435716
ACH-000244,-0.16185695816044746
ACH-000246,-0.38009631561416707
ACH-000248,-0.03053687722384685
ACH-000250,-0.0504745178742837
ACH-000251,0.10309386341682394
ACH-000252,0.04927233608963946
ACH-000253,-0.11262034208968084
ACH-000255,-0.2532347958458657
ACH-000256,-0.2315772148208849
ACH-000257,-0.6781262843285171
ACH-000258,-0.6130620832797031
ACH-000259,-0.8033280785454241
ACH-000260,-0.3997125744356417
ACH-000261,-0.1670173805327927
ACH-000262,-0.1992960149804257
ACH-000263,-0.3646500141537177
ACH-000264,-0.2454613163218309
ACH-000265,0.04503182056507575
ACH-000266,-0.12603578651571645
ACH-000272,-0.2967644927031214
ACH-000274,-0.4750866840486876
ACH-000277,-0.2257034083955816
ACH-000278,-0.4275901967981053
ACH-000279,-0.0678346107061832
ACH-000280,0.09930072596026092
ACH-000281,0.11010452994458947
ACH-000288,-0.29846768592517586
ACH-000291,0.026193235750607103
ACH-000293,-0.3874886983852228
ACH-000294,-0.037079108444612964
ACH-000295,-0.2428266830854674
ACH-000296,-0.03618925575131871
ACH-000302,-0.0811646599511201
ACH-000304,-0.2564733399987457
ACH-000307,-0.10000649810009588
ACH-000308,-0.4125513198740844
ACH-000310,-0.09993057500521847
ACH-000311,-0.4356944683635888
ACH-000312,-0.2507749479312548
ACH-000315,-0.3080209085993536
ACH-000316,0.15189276914462127
ACH-000317,-0.1149172556822413
