,PPP1R14A (94274)
ACH-000004,-0.045791144324073316
ACH-000005,-0.4443224826688375
ACH-000007,-0.1159486322436873
ACH-000009,-0.0941771483280444
ACH-000011,-0.1632065478378487
ACH-000012,-0.054363698633121495
ACH-000013,-0.3194965567754554
ACH-000014,0.050540157723702926
ACH-000015,-0.28072806246069537
ACH-000017,-0.013765936114474572
ACH-000018,0.0043970884331688415
ACH-000019,-0.007498453356236654
ACH-000021,0.055205208780794365
ACH-000022,-0.11006360325771487
ACH-000025,-0.015589655865479328
ACH-000028,-0.1782184594621804
ACH-000030,-0.13725266513249826
ACH-000035,-0.21361083918490956
ACH-000036,-0.04109009379680191
ACH-000037,-0.15991694726358774
ACH-000039,-0.17669120586382542
ACH-000040,-0.1564418826973046
ACH-000041,-0.06359932699624336
ACH-000042,-0.10803899383685038
ACH-000045,-0.1629105108739131
ACH-000047,-0.057798836697832125
ACH-000052,0.023079547516423143
ACH-000053,-0.12630987493702578
ACH-000054,-0.11328890449618045
ACH-000055,-0.2666250847178073
ACH-000060,0.030631028571604376
ACH-000067,-0.06390138927405653
ACH-000070,0.02310173219083814
ACH-000075,0.09308544259935224
ACH-000078,-0.09938259449610452
ACH-000082,-0.002055244842187334
ACH-000085,0.06731460908431625
ACH-000086,-0.22543855471040336
ACH-000087,-0.17428510567949795
ACH-000092,-0.09472881243958588
ACH-000095,-0.051669635708689904
ACH-000097,-0.10132220665332144
ACH-000098,-0.15161627518993254
ACH-000099,-0.04332366242003792
ACH-000108,-0.013884253265725326
ACH-000113,-0.043987517583262366
ACH-000116,-0.1183928013225289
ACH-000118,-0.10255697191766006
ACH-000120,-0.029568349240948075
ACH-000123,-0.1089630633695816
ACH-000127,-0.16231385149350125
ACH-000128,-0.10734660748538333
ACH-000132,-0.10284518230996156
ACH-000133,0.033844041611817234
ACH-000137,-0.3236087320254996
ACH-000138,-0.09121967285392217
ACH-000142,-0.13582051830496542
ACH-000143,-0.04923026894978404
ACH-000146,-0.19146162503618916
ACH-000148,-0.11023155030855436
ACH-000150,-0.09147886521455603
ACH-000152,-0.13256409217423315
ACH-000153,-0.1431183737950424
ACH-000159,-0.1016169121320802
ACH-000160,0.015802011589679563
ACH-000163,-0.1435888396028191
ACH-000167,-0.22169957921154407
ACH-000168,0.05912820774243526
ACH-000169,-0.0861667662499357
ACH-000178,-0.032999130987956315
ACH-000183,-0.17024310476576604
ACH-000188,-0.004561291409536237
ACH-000189,-0.2640183146325226
ACH-000190,-0.11783704779371855
ACH-000198,-0.20422726343814526
ACH-000203,-0.586917288206379
ACH-000204,-0.07234768952725157
ACH-000206,-0.2710707443339096
ACH-000207,-0.1415273191925397
ACH-000208,-0.10664345672311608
ACH-000210,-0.1424352644828042
ACH-000211,-0.04997023809851165
ACH-000215,-0.11005566154951807
ACH-000221,-0.27608407015704384
ACH-000222,-0.18080118615429164
ACH-000223,-0.1116561545632154
ACH-000226,-0.15205306218663475
ACH-000227,-0.1515949418336061
ACH-000228,-0.23692138018565825
ACH-000231,-0.03127296417993595
ACH-000232,-0.1537860661113583
ACH-000233,-0.04923498428826092
ACH-000234,-0.01943128062719019
ACH-000235,-0.262509133541123
ACH-000237,-0.21325284644043452
ACH-000238,0.01794152453098297
ACH-000242,-0.13218296865355791
ACH-000243,-0.020347214415737974
ACH-000244,0.08516072954664669
ACH-000246,-0.095808428439477
ACH-000248,-0.2348273058138132
ACH-000250,-0.0284612791192636
ACH-000251,-0.6797006508647964
ACH-000252,-0.0019334129116687121
ACH-000253,-0.08509824475877822
ACH-000255,-0.1523313146299965
ACH-000256,0.07773712300995812
ACH-000257,0.01895282330429528
ACH-000258,-0.1735379745931159
ACH-000259,0.007981273270936172
ACH-000260,-0.11802623755684427
ACH-000261,-0.058156677425272675
ACH-000262,-0.31359807281841645
ACH-000263,-0.13428484931653398
ACH-000264,-0.15078457067182952
ACH-000265,-0.1316902374368109
ACH-000266,-0.11143257655787804
