,POLR3B (55703)
ACH-000004,-0.8441237282546887
ACH-000005,-1.2960017638946506
ACH-000007,-1.118735851016294
ACH-000009,-1.3076917830403547
ACH-000011,-1.0040199499971372
ACH-000012,-1.3308795179283708
ACH-000013,-1.2762468103761675
ACH-000014,-0.8672271128398981
ACH-000015,-1.1051696335600842
ACH-000017,-1.1277116098593265
ACH-000018,-1.1743832416192286
ACH-000019,-1.0643535879689914
ACH-000021,-1.2263062434983565
ACH-000022,-1.0840671504172943
ACH-000025,-1.2161121625280673
ACH-000028,-1.1068854748335926
ACH-000030,-1.3509805264018329
ACH-000035,-1.3891115623395451
ACH-000036,-1.2722129540248606
ACH-000037,-1.2543852932040065
ACH-000039,-1.0648317981941602
ACH-000040,-0.9833972379253292
ACH-000041,-0.8884373510305422
ACH-000042,-1.3276211886632234
ACH-000045,-1.1529436515965437
ACH-000047,-1.1373034343736044
ACH-000052,-1.0060070995108952
ACH-000053,-0.9669461897258508
ACH-000054,-1.2833553663296573
ACH-000055,-1.0808726011498864
ACH-000060,-1.1951121953687458
ACH-000067,-1.344004099604418
ACH-000070,-1.251513720216312
ACH-000075,-1.691955962543869
ACH-000078,-1.135657905750475
ACH-000082,-1.3299052932019528
ACH-000085,-1.311109126233174
ACH-000086,-1.1088065743220583
ACH-000087,-1.0299409391416023
ACH-000092,-1.2997329840348055
ACH-000095,-1.2860082486526718
ACH-000097,-1.1424751878235235
ACH-000098,-1.2057270833730496
ACH-000099,-1.0804623708102332
ACH-000108,-1.0819575892868534
ACH-000113,-1.1896767985660643
ACH-000116,-1.3514506907323125
ACH-000118,-1.024983880817708
ACH-000120,-0.9538790530069692
ACH-000123,-1.2430145430159671
ACH-000127,-1.2922260784024309
ACH-000128,-1.0894454106463984
ACH-000132,-1.319950656123159
ACH-000133,-1.3637923626214141
ACH-000137,-1.0857839758380772
ACH-000138,-1.186348755000856
ACH-000142,-1.1739616195267188
ACH-000143,-1.1646465956637024
ACH-000146,-0.8321339870832413
ACH-000148,-1.0497240428351162
ACH-000150,-1.2919429035592143
ACH-000152,-1.211911131705688
ACH-000153,-1.2381357735481464
ACH-000159,-1.1440429888853425
ACH-000160,-1.0550825518374076
ACH-000163,-1.1182315077839502
ACH-000167,-1.344646574881864
ACH-000168,-0.9957686492044228
ACH-000169,-1.0814809674386596
ACH-000178,-1.111018970395713
ACH-000183,-1.0307105361832845
ACH-000188,-1.1877631931187582
ACH-000189,-1.068854666101491
ACH-000190,-1.0220556449467346
ACH-000198,-1.1796497827559411
ACH-000203,-1.2373708002066823
ACH-000204,-1.2567438523157974
ACH-000206,-1.1805924269380814
ACH-000207,-1.3768838634821885
ACH-000208,-1.3673423251506942
ACH-000210,-0.8857768264622412
ACH-000211,-1.2073884891647375
ACH-000215,-1.2447345566918908
ACH-000221,-1.1187099620124503
ACH-000222,-1.235302584015818
ACH-000223,-1.4435099264321718
ACH-000226,-1.1091955304436192
ACH-000227,-0.7517976136566801
ACH-000228,-1.2641981720835405
ACH-000231,-1.2722644865013686
ACH-000232,-1.4660820735908893
ACH-000233,-1.0069691741679159
ACH-000234,-1.1326525324070438
ACH-000235,-1.3337437422820375
ACH-000237,-1.1963208417922333
ACH-000238,-1.4632265230068464
ACH-000242,-1.2842864426032732
ACH-000243,-1.2854078092886143
ACH-000244,-1.0413406354626302
ACH-000246,-1.2401895387105144
ACH-000248,-1.3981381498949472
ACH-000250,-1.1155576954511806
ACH-000251,-1.2491691139644276
ACH-000252,-1.257680745414417
ACH-000253,-1.4658559736706485
ACH-000255,-1.2213812712756924
ACH-000256,-1.1732738722811984
ACH-000257,-1.2108494299203785
ACH-000258,-1.1694488148235491
ACH-000259,-1.1795655357033057
ACH-000260,-1.1343410847952136
ACH-000261,-1.2371627955676958
ACH-000262,-0.9490603862289406
ACH-000263,-1.1726829781620978
ACH-000264,-1.3947663920070597
ACH-000265,-1.168717040707118
ACH-000266,-1.3592775580520835
ACH-000272,-1.205976908735101
ACH-000274,-0.9194527638232652
ACH-000277,-1.2109301923663576
ACH-000278,-1.093108868237246
ACH-000279,-1.1068885450904855
ACH-000280,-1.573453055453167
ACH-000281,-1.3986122393227691
ACH-000288,-1.1822795497659022
ACH-000291,-0.9972209058841668
ACH-000293,-0.9608750402023231
ACH-000294,-0.9299111243100456
ACH-000295,-1.0735540726946995
ACH-000296,-1.029732340843347
ACH-000302,-1.2297537669113072
ACH-000304,-1.0413402859965368
ACH-000307,-1.2121890424201274
ACH-000308,-1.4732881210736537
ACH-000310,-0.8478925991106819
ACH-000311,-1.370072007063382
ACH-000312,-1.1012049637313366
ACH-000315,-1.1134097951966755
ACH-000316,-0.9778995076886364
ACH-000317,-1.6000674337026357
ACH-000318,-1.2035531017703065
ACH-000319,-1.1939905351130558
ACH-000320,-1.1110274920503866
ACH-000322,-1.0991984627604188
ACH-000323,-1.0993568536706977
ACH-000324,-1.2851393288642958
ACH-000329,-0.9518339055216012
ACH-000330,-1.011101820780575
ACH-000331,-1.2083133328919018
ACH-000332,-1.2589864786537968
ACH-000334,-1.01173265211665
ACH-000335,-1.03567916179938
ACH-000336,-1.2084281611468946
ACH-000337,-1.291995933306456
ACH-000338,-0.918991514803984
ACH-000339,-1.2948810882849657
ACH-000341,-0.6721356025808449
ACH-000348,-1.0492698579392827
ACH-000350,-1.3444056368110808
ACH-000352,-1.0034278321557455
ACH-000356,-1.3716721864760717
ACH-000361,-1.0741823102410926
ACH-000362,-0.9456378531823676
ACH-000363,-0.8611109292357557
ACH-000364,-1.400468374556623
ACH-000365,-1.21073219576823
ACH-000366,-1.018893932733741
ACH-000368,-1.2411649326793712
ACH-000374,-1.4145971168837266
ACH-000375,-0.8854875838960149
ACH-000376,-1.057702759901274
ACH-000381,-0.9429686119517376
ACH-000383,-1.3066960048266372
ACH-000387,-0.9689921818403384
ACH-000389,-1.168824010736936
ACH-000390,-1.254465212533074
