,QTRT1 (81890)
ACH-000004,-0.4041638002713032
ACH-000005,-0.2768128189439507
ACH-000007,0.0664230168101059
ACH-000009,0.008665346565039141
ACH-000011,-0.11365235581591185
ACH-000012,-0.10323514433054687
ACH-000013,-0.12182295872754832
ACH-000014,-0.3345292196871447
ACH-000015,-0.11582448185051812
ACH-000017,-0.019042699766800158
ACH-000018,-0.2387163852550115
ACH-000019,-0.26586789822876433
ACH-000021,-0.27326452694091063
ACH-000022,-0.11867862539741382
ACH-000025,-0.20665717891490132
ACH-000028,-0.3324715943019431
ACH-000030,-0.1758275160883584
ACH-000035,-0.18141760822554795
ACH-000036,-0.17961156775214907
ACH-000037,-0.10645212949145444
ACH-000039,-0.19554998114709587
ACH-000040,-0.201535372298972
ACH-000041,0.03879988913670965
ACH-000042,-0.012165231292033576
ACH-000045,-0.2296941458003661
ACH-000047,-0.17648555774793248
ACH-000052,-0.010023079072593696
ACH-000053,-0.07318388107318682
ACH-000054,-0.0318929554598672
ACH-000055,-0.1184736443954426
ACH-000060,-0.07101956997580618
ACH-000067,-0.2018420986352285
ACH-000070,0.04665017860407453
ACH-000075,-0.039565752780934285
ACH-000078,0.13681135287008295
ACH-000082,-0.10162504295383436
ACH-000085,-0.20808585979736255
ACH-000086,-0.11850520373137235
ACH-000087,-0.19763347444653748
ACH-000092,-0.18950562313729
ACH-000095,-0.11756327805614185
ACH-000097,-0.027765126065199423
ACH-000098,-0.12866140057911402
ACH-000099,-0.0768359436865387
ACH-000108,-0.08102605936676982
ACH-000113,-0.16939249065644454
ACH-000116,-0.37414036970020265
ACH-000118,-0.2592993287614458
ACH-000120,-0.03729819788416712
ACH-000123,-0.07438410551557548
ACH-000127,-0.19894815973049615
ACH-000128,-0.2029184806804336
ACH-000132,-0.17308222726691122
ACH-000133,-0.08128964390526533
ACH-000137,-0.1454305266918875
ACH-000138,-0.19014278404969
ACH-000142,-0.05417386557330171
ACH-000143,0.01983366789164713
ACH-000146,-0.18168066681623965
ACH-000148,-0.07814721017181868
ACH-000150,-0.2427102931721797
ACH-000152,-0.09053810012905897
