,PTN (5764)
ACH-000004,-0.03619960504973285
ACH-000005,0.2857076204795305
ACH-000007,0.1018856121891378
ACH-000009,-0.16248365151448232
ACH-000011,-0.03699732306204319
ACH-000012,-0.03818049915479087
ACH-000013,-0.02786808578937264
ACH-000014,-0.3218936719045403
ACH-000015,-0.17118632174392054
ACH-000017,-0.09235508741510516
ACH-000018,-0.07007400166535263
ACH-000019,-0.13214038368733869
ACH-000021,-0.1843692762011869
ACH-000022,-0.14772266435656467
ACH-000025,0.03157491507824267
ACH-000028,-0.015452365350127797
ACH-000030,-0.024523500610472974
ACH-000035,-0.1492363482318366
ACH-000036,-0.2255078803963566
ACH-000037,-0.12277057637130853
ACH-000039,-0.19420265417555785
ACH-000040,-0.2318573053767627
ACH-000041,-0.197085365182016
ACH-000042,-0.11400584253236926
ACH-000045,0.06723575615542618
ACH-000047,0.04790633305141948
ACH-000052,-0.10466681874414414
ACH-000053,0.026047473344449856
ACH-000054,-0.095617558669138
ACH-000055,-0.11198485070153516
ACH-000060,-0.2597949006285445
ACH-000067,-0.27443807165640555
ACH-000070,-0.1055206600074058
ACH-000075,-0.06396160375384634
ACH-000078,-0.22274253216388126
ACH-000082,-0.19859775398150364
ACH-000085,-0.3306829041020746
ACH-000086,-0.10333663454856568
ACH-000087,0.028961234887448
ACH-000092,-0.17236210080457112
ACH-000095,-0.1606456047652997
ACH-000097,-0.22914694138428035
ACH-000098,-0.060778554840307336
ACH-000099,-0.035265433710573266
ACH-000108,-0.07062843927198025
ACH-000113,-0.048031262147091726
ACH-000116,-0.2444962364469941
ACH-000118,-0.08232292014007668
ACH-000120,-0.19190685748368255
ACH-000123,0.0018243804575397789
ACH-000127,-0.023343549152158114
ACH-000128,-0.025368273977643168
ACH-000132,-0.0918678442588855
ACH-000133,-0.17845383529508824
ACH-000137,-0.04706608598768503
ACH-000138,-0.07022038140187148
ACH-000142,-0.19421808915793864
ACH-000143,-0.05526175412704611
ACH-000146,-0.15063593647610538
ACH-000148,-0.08549148389185147
ACH-000150,0.005768992700548018
ACH-000152,-0.06216189348141176
ACH-000153,0.09039883256241693
ACH-000159,-0.2825500029281388
ACH-000160,0.06713915003625008
ACH-000163,-0.14803025401892422
ACH-000167,-0.3172626059991163
ACH-000168,-0.09583297494857704
ACH-000169,-0.08283457578369609
ACH-000178,-0.11719812070003023
ACH-000183,-0.0017970998998462293
ACH-000188,-0.08349918908377445
ACH-000189,0.044205254145169896
ACH-000190,-0.13020586273645654
ACH-000198,-0.14938587747103305
ACH-000203,-0.15932051103217948
ACH-000204,0.03466489537702445
ACH-000206,0.11872539906301655
ACH-000207,-0.019546836427621686
ACH-000208,-0.238702741648416
ACH-000210,-0.12939396463935954
ACH-000211,-0.08721264558563221
ACH-000215,-0.11781097598674595
ACH-000221,-0.0916740920965512
ACH-000222,-0.1587516464922141
ACH-000223,-0.1164852979422083
ACH-000226,-0.027723640857817027
ACH-000227,-0.20428651588665367
ACH-000228,-0.0979091797187728
ACH-000231,-0.10452091733342153
ACH-000232,-0.21410454058696568
ACH-000233,0.04073584156992687
ACH-000234,-0.2099170816169581
ACH-000235,-0.1396438491874422
ACH-000237,-0.12092058519619657
ACH-000238,-0.15293437678511254
ACH-000242,0.1524713777455918
ACH-000243,-0.07170400282128482
ACH-000244,-0.0743377015532364
ACH-000246,-0.05389968391585522
ACH-000248,-0.13905174029490397
ACH-000250,-0.1417674542563673
ACH-000251,-0.1293113329144388
ACH-000252,-0.1475641155955387
ACH-000253,-0.2521247144861081
ACH-000255,0.003343399771962421
ACH-000256,-0.12435724970534395
ACH-000257,-0.19073155881599607
ACH-000258,-0.09243753044566992
ACH-000259,-0.0997168301440852
ACH-000260,-0.04552788134986025
ACH-000261,-0.14926793052804269
ACH-000262,-0.19132086839450188
ACH-000263,-0.034128917119727126
ACH-000264,-0.21354116134717827
ACH-000265,0.041479937395084085
ACH-000266,-0.14457866108264653
ACH-000272,-0.15894622640622974
ACH-000274,-0.14329066260695975
ACH-000277,0.007012041178097709
ACH-000278,-0.1466332457897055
ACH-000279,-0.0638650732838722
ACH-000280,-0.027411673221608028
ACH-000281,-0.16876658122806848
ACH-000288,-0.018204954292376632
ACH-000291,-0.11016490178111307
ACH-000293,-0.16524106901319635
ACH-000294,0.025945114967368583
ACH-000295,-0.10296035571648264
ACH-000296,-0.14076758498999087
ACH-000302,-0.2537377768464239
ACH-000304,-0.1979283618054944
ACH-000307,-0.10335704504926777
ACH-000308,-0.11058945823359397
ACH-000310,-0.2481576298182773
ACH-000311,-0.20860606226225345
ACH-000312,-0.1090665019769147
ACH-000315,0.1388816899105724
ACH-000316,-0.04899199263686643
ACH-000317,-0.18448111601535616
ACH-000318,-0.048289448662995456
ACH-000319,-0.07696284885684898
ACH-000320,-0.3048049346964523
ACH-000322,-0.2057902966209404
ACH-000323,-0.012627185235917044
ACH-000324,-0.10341779149940117
ACH-000329,-0.10660425956148384
ACH-000330,-0.04568905615390763
ACH-000331,-0.18197224774424345
ACH-000332,-0.07388838943841604
ACH-000334,-0.15670387159562446
ACH-000335,-0.09883360135575514
ACH-000336,0.3894065527581089
ACH-000337,-0.08447120916702489
ACH-000338,0.04645216973887863
ACH-000339,-0.06497597223147326
ACH-000341,-0.11019653405545926
ACH-000348,-0.07326112149445124
ACH-000350,-0.021928690008629542
ACH-000352,-0.17656061272899168
ACH-000356,-0.3132673917644844
ACH-000361,-0.3482545989364398
