,NARFL (64428)
ACH-000004,-1.4915224452651603
ACH-000005,-1.7565813678134232
ACH-000007,-1.2552434640254373
ACH-000009,-1.0799083094605042
ACH-000011,-1.0629686861870815
ACH-000012,-1.331621805202592
ACH-000013,-1.4438011784987592
ACH-000014,-1.1926900604902462
ACH-000015,-1.294362407275719
ACH-000017,-1.141207549805005
ACH-000018,-1.158542699195123
ACH-000019,-0.985764842090918
ACH-000021,-1.2497215747293018
ACH-000022,-1.1155672660399198
ACH-000025,-1.06714757215193
ACH-000028,-1.2551639122418092
ACH-000030,-1.1688117614795033
ACH-000035,-1.3755779665345271
ACH-000036,-1.0937218649627618
ACH-000037,-1.0763216614192477
ACH-000039,-1.2755086609328077
ACH-000040,-1.2422637999752155
ACH-000041,-1.3117393277994196
ACH-000042,-1.0879900024680076
ACH-000045,-1.2059984598756572
ACH-000047,-1.3741036247168257
ACH-000052,-1.2065155281081361
ACH-000053,-1.190773752321595
ACH-000054,-1.2379476980145392
ACH-000055,-1.1517996380682505
ACH-000060,-1.1651193724472173
ACH-000067,-1.2474182145664263
ACH-000070,-0.96257399555601
ACH-000075,-1.212482625184427
ACH-000078,-1.2603627142990337
ACH-000082,-1.3598781639295705
ACH-000085,-1.066670399768557
ACH-000086,-0.9255877340539342
ACH-000087,-1.2301948074861753
ACH-000092,-1.0049021629127752
ACH-000095,-1.161661044171182
ACH-000097,-1.0988080038967891
ACH-000098,-1.3168620417025647
ACH-000099,-1.2190648031906004
ACH-000108,-1.1277232450931722
ACH-000113,-1.1791295329124265
ACH-000116,-1.3145129244698166
ACH-000118,-1.0995755069676878
ACH-000120,-1.327532495796318
ACH-000123,-1.0761687892487308
ACH-000127,-1.181809742313408
ACH-000128,-1.175785536383848
ACH-000132,-1.2320326487104696
ACH-000133,-1.1007366051576637
ACH-000137,-1.3306867537374691
ACH-000138,-1.1916072198265
ACH-000142,-1.0713310291655371
ACH-000143,-1.3743901117767328
ACH-000146,-1.3679762570036698
ACH-000148,-1.4716552077554932
ACH-000150,-1.0481274664108715
ACH-000152,-1.1287021289876016
ACH-000153,-1.4499069419555102
ACH-000159,-0.9697248364238976
ACH-000160,-1.1326124429422426
ACH-000163,-1.2356175128073588
ACH-000167,-2.2818553381274795
ACH-000168,-1.1010691758724345
ACH-000169,-1.2364468312093428
ACH-000178,-1.1179505664246177
ACH-000183,-1.117204939086981
ACH-000188,-1.1469613270996513
ACH-000189,-1.0760084782158363
ACH-000190,-1.162138187251582
ACH-000198,-1.2652179168254079
ACH-000203,-0.6706829060954516
ACH-000204,-0.9063421403084092
ACH-000206,-1.4156407800330706
ACH-000207,-0.6301862643410354
ACH-000208,-1.2325610500415
ACH-000210,-1.6103519040748269
ACH-000211,-1.233224893898151
ACH-000215,-1.0817765403821298
ACH-000221,-1.5906494470105808
ACH-000222,-1.1054381900001962
ACH-000223,-1.1941970563372637
ACH-000226,-1.1941498887844066
ACH-000227,-1.4928082833077332
ACH-000228,-1.1512784210495246
ACH-000231,-1.0541406056793412
ACH-000232,-1.1105659942398
ACH-000233,-1.25808038504641
ACH-000234,-1.1636974519040548
ACH-000235,-1.1600707475054348
ACH-000237,-1.3316096658561527
ACH-000238,-1.1086889283170176
ACH-000242,-1.5151273277274115
ACH-000243,-1.2149416035350884
ACH-000244,-1.0699099338217406
ACH-000246,-1.1712901100044728
ACH-000248,-1.2225645541247276
ACH-000250,-1.0290346741883392
ACH-000251,-1.2109816911091922
ACH-000252,-1.5168232797943173
ACH-000253,-1.334372407864714
ACH-000255,-1.2419072291386557
ACH-000256,-1.441451475196455
ACH-000257,-0.8596538847851461
ACH-000258,-0.903840368032125
ACH-000259,-1.29672321036894
ACH-000260,-1.3005980555918664
ACH-000261,-1.1189447455337778
ACH-000262,-1.2065963074578905
ACH-000263,-0.3682040582458457
ACH-000264,-1.2259120440440925
ACH-000265,-1.252497758645854
ACH-000266,-1.1560906287059185
ACH-000272,-1.1456505958763716
ACH-000274,-1.1813823840152529
ACH-000277,-1.28172522043847
ACH-000278,-1.3124707623056242
ACH-000279,-1.3462625857659805
