,YBX3 (8531)
ACH-000004,-0.2852974953587735
ACH-000005,-0.5381550612046276
ACH-000007,0.055194529354972814
ACH-000009,-0.20675454334643426
ACH-000011,-0.3903971443205033
ACH-000012,-0.06785695704371927
ACH-000013,-0.17619604914335638
ACH-000014,-0.3412158116036397
ACH-000015,-0.22444641361187545
ACH-000017,-0.2046295764631778
ACH-000018,-0.2660144878125477
ACH-000019,-0.02360463836440534
ACH-000021,-0.13255872282366182
ACH-000022,-0.09082110825709593
ACH-000025,-0.26935154408321754
ACH-000028,-0.0644735024528023
ACH-000030,-0.3215947874903193
ACH-000035,-0.2955029149528885
ACH-000036,-0.3024555667130972
ACH-000037,-0.11127264772775294
ACH-000039,-0.4437228720337436
ACH-000040,-0.13396397651060524
ACH-000041,-0.35477204865554496
ACH-000042,-0.07445747295503688
ACH-000045,-0.19481859370154947
ACH-000047,-0.2484081608182397
ACH-000052,-0.29679900026170364
ACH-000053,-0.13228271033147415
ACH-000054,-0.16295394598904248
ACH-000055,-0.12176012676292132
ACH-000060,-0.23494539996557454
ACH-000067,-0.28659759161460346
ACH-000070,-0.2892479054868805
ACH-000075,-0.21111146252349872
ACH-000078,-0.18969891733139188
ACH-000082,-0.3675868525551296
ACH-000085,-0.2853550886684338
ACH-000086,-0.27154111651184365
ACH-000087,-0.1424026092860108
ACH-000092,-0.3225652599040609
ACH-000095,-0.2433197795969731
ACH-000097,-0.3617484279131442
ACH-000098,-0.3169231767785893
ACH-000099,-0.2255342674825764
ACH-000108,0.004436232918698518
ACH-000113,-0.315295822687099
ACH-000116,-0.13581037546239705
ACH-000118,-0.10018438726527433
ACH-000120,-0.11962864741332715
ACH-000123,-0.2010483830116636
ACH-000127,-0.3219839323028212
ACH-000128,-0.1898586507329833
ACH-000132,-0.14327025676372285
ACH-000133,-0.2001232088355116
ACH-000137,-0.13351075222920805
ACH-000138,-0.15235063409887786
ACH-000142,-0.35610427591773514
ACH-000143,-0.11822554585616787
ACH-000146,-0.21015365753534399
ACH-000148,-0.2730285361975152
ACH-000150,-0.3733247663579236
ACH-000152,-0.19335265872326848
ACH-000153,-0.4096458143461169
ACH-000159,-0.25568084093543714
ACH-000160,-0.012111749947327893
ACH-000163,-0.4979501039991333
ACH-000167,0.23853765085675874
ACH-000168,-0.2544916195207845
ACH-000169,-0.2829181591526522
ACH-000178,-0.3427835089046446
ACH-000183,-0.2085783200887157
ACH-000188,-0.2324901634205997
ACH-000189,-0.33247287330404485
ACH-000190,-0.018537123009791445
ACH-000198,-0.22933019572986904
ACH-000203,0.19443835941802656
ACH-000204,-0.15764559903381595
ACH-000206,-0.10855080563608303
ACH-000207,-0.28012297446918993
ACH-000208,-0.5405390522634833
ACH-000210,-0.1197198053838981
ACH-000211,-0.20093066069365315
ACH-000215,-0.16586369636127982
ACH-000221,-0.27844503010755023
ACH-000222,-0.2290060836515545
ACH-000223,-0.31556359566481257
ACH-000226,-0.2159467144351538
ACH-000227,-0.26357277131670764
ACH-000228,-0.2489475792181111
ACH-000231,-0.3678376747749899
ACH-000232,-0.4565131919317929
ACH-000233,-0.2069509020838845
ACH-000234,-0.4595386983338618
ACH-000235,-0.21700731976287851
ACH-000237,-0.25605016598947644
ACH-000238,-0.21282469371315196
ACH-000242,-0.19631072408403066
ACH-000243,-0.0763436222823864
ACH-000244,-0.2674283928959899
ACH-000246,-0.2064283792944434
ACH-000248,-0.020498455902451647
ACH-000250,-0.26254859286808424
ACH-000251,-0.3376720468936189
ACH-000252,-0.3656992530143728
ACH-000253,-0.09693543257953184
ACH-000255,-0.4404749374097881
ACH-000256,-0.12869076579448052
ACH-000257,-0.3157028378496736
ACH-000258,-0.3510611951268437
ACH-000259,-0.18544236158355185
ACH-000260,-0.2733878665193424
ACH-000261,-0.30804860585392485
ACH-000262,-0.3204116509436835
ACH-000263,-0.11683053239160505
ACH-000264,-0.2920433500869233
ACH-000265,-0.195530622852238
ACH-000266,-0.20614473437837752
ACH-000272,-0.2945460378364987
ACH-000274,-0.3564990733652371
ACH-000277,-0.20701605890856484
ACH-000278,-0.20983582870015136
ACH-000279,-0.39774798245245785
ACH-000280,-0.291649342365281
ACH-000281,-0.3135042769516875
ACH-000288,-0.3702151030514744
ACH-000291,-0.18022687549307995
ACH-000293,-0.1226541431195858
ACH-000294,-0.22156779116762707
ACH-000295,-0.08533173705951884
ACH-000296,-0.19723060180690705
ACH-000302,-0.1395649143758595
ACH-000304,-0.4324721883906583
ACH-000307,-0.3137166526931525
ACH-000308,-0.19053463481750044
ACH-000310,-0.2880750633673124
ACH-000311,-0.16718509038290244
ACH-000312,-0.297582724818671
ACH-000315,-0.008437447233310249
ACH-000316,-0.15126776210603324
ACH-000317,-0.4340547667555966
ACH-000318,-0.09112051422961344
ACH-000319,-0.200501195815285
ACH-000320,-0.09171796172549032
ACH-000322,-0.22189728694714467
ACH-000323,-0.17090250887404684
ACH-000324,-0.2534536689848137
ACH-000329,-0.2718562144026059
ACH-000330,-0.15855348652794546
ACH-000331,-0.4261022277172785
ACH-000332,-0.1914106802578982
ACH-000334,-0.12332531326488615
ACH-000335,-0.4474296258604087
ACH-000336,-0.10367819022160384
ACH-000337,-0.1897611594517638
ACH-000338,-0.5333806839126245
ACH-000339,-0.2262269769381233
ACH-000341,-0.2526177470833305
ACH-000348,-0.2393176062740421
ACH-000350,-0.17795786613217346
ACH-000352,-0.19589388803242064
ACH-000356,-0.274316784417626
ACH-000361,-0.4317590480377345
ACH-000362,-0.2435400466723459
ACH-000363,-0.3843277981626509
ACH-000364,-0.19607263489778395
ACH-000365,-0.3373403445748459
ACH-000366,-0.30301559051187743
ACH-000368,-0.22527654200326916
ACH-000374,-0.4149483213883429
ACH-000375,-0.14751666877871086
ACH-000376,-0.34831134657264273
ACH-000381,-0.2400256440860641
ACH-000383,-0.2711053693402829
ACH-000387,-0.2072895412676065
ACH-000389,-0.2627333053953529
ACH-000390,-0.34999411041001444
ACH-000393,-0.07339883318985667
ACH-000395,-0.0038138434384193337
ACH-000396,-0.2686467964073672
ACH-000397,-0.11908003525221225
ACH-000401,-0.34106335888084743
ACH-000402,-0.2800993894235829
ACH-000403,-0.2048112257044992
ACH-000404,-0.31039154762934074
ACH-000406,-0.21284547669430107
ACH-000407,-0.27419347887573536
ACH-000408,-0.4021328727280536
ACH-000410,-0.16624120342605622
ACH-000411,-0.2314171535397085
ACH-000414,-0.3174863426826513
ACH-000415,-0.12113433644598555
ACH-000416,-0.29232150262198475
ACH-000420,-0.13079683012090454
ACH-000421,-0.15502006789897047
ACH-000424,-0.4110614560043046
ACH-000425,-0.22001471964478733
ACH-000426,-0.13564286567346806
ACH-000427,-0.392107520770128
ACH-000433,-0.17157193436413898
ACH-000435,-0.477460994854244
ACH-000436,-0.2648253574563739
ACH-000444,-0.19689516590092707
ACH-000445,-0.12797865368160136
ACH-000448,-0.2389612774082089
ACH-000450,-0.2362111714569769
ACH-000452,-0.38254752148796856
ACH-000454,-0.33656931463367873
ACH-000458,-0.2099779034863652
ACH-000459,-0.2079665427053734
ACH-000460,-0.1924365461196515
ACH-000461,-0.21632362580712225
ACH-000463,-0.2877584592688085
ACH-000464,-0.2753149757213281
ACH-000466,-0.067522569117634
ACH-000467,-0.06191633053853095
ACH-000468,-0.2849240483211405
ACH-000469,-0.19721556525723533
ACH-000470,-0.2546913432897531
ACH-000471,-0.24043189599644915
ACH-000472,-0.29416168121425634
ACH-000473,-0.22470599615640352
ACH-000475,-0.21598447543483207
ACH-000476,-0.17096928959743807
ACH-000477,-0.10992636919623228
ACH-000479,-0.2749972622907841
ACH-000480,-0.27537671778651424
ACH-000481,-0.371749617384245
ACH-000483,-0.1946339790377012
ACH-000484,-0.1398111003854849
ACH-000485,-0.27035199450261976
ACH-000486,-0.19114296223593616
ACH-000487,-0.474314759454818
ACH-000488,-0.28138783847667026
ACH-000490,-0.2983508428121129
ACH-000491,-0.2066096537539163
ACH-000495,-0.0822982525007439
ACH-000496,-0.5600463930237873
ACH-000499,-0.4120191161941296
ACH-000500,-0.3807716351764584
ACH-000502,-0.13117640965686986
ACH-000503,-0.3975865428912324
ACH-000505,-0.19890202659804848
ACH-000507,-0.3632427334418653
ACH-000510,-0.18551284049305075
ACH-000511,-0.5243842549792808
ACH-000512,-0.22123898831590935
