,STAT5B (6777)
ACH-000004,-0.2743406773279842
ACH-000005,-0.19132127668679985
ACH-000007,-0.0503752413801569
ACH-000009,-0.13386839941723805
ACH-000011,-0.0578051932031241
ACH-000012,-0.18708297685134867
ACH-000013,-0.1204787106953767
ACH-000014,-0.151306713900167
ACH-000015,-0.055287492120202175
ACH-000017,-0.2513263249924875
ACH-000018,-0.20128883208585724
ACH-000019,-0.011480042243906141
ACH-000021,-0.08511157436479239
ACH-000022,-0.16911361486232945
ACH-000025,-0.15894270476325842
ACH-000028,-0.02038099255530609
ACH-000030,-0.16333272640330868
ACH-000035,-0.20835280696118288
ACH-000036,-0.14342076560860234
ACH-000037,-0.0856909880620252
ACH-000039,-0.2210699741944804
ACH-000040,-0.1657280438404748
ACH-000041,-0.3091462541859979
ACH-000042,-0.0947180169685388
ACH-000045,-0.7206373160574648
ACH-000047,-0.07729062919035322
ACH-000052,-0.05154618722206866
ACH-000053,-0.09026184470842144
ACH-000054,-0.04320168368925805
ACH-000055,-0.1989200056665162
ACH-000060,-0.10047125151072188
ACH-000067,-0.24248029961386505
ACH-000070,-0.03972094171411995
ACH-000075,0.007167542766409937
ACH-000078,-0.14291527808451995
ACH-000082,-0.15180107656389988
ACH-000085,-0.21546235885359025
ACH-000086,-0.206982876885958
ACH-000087,-0.2359401693946
ACH-000092,-0.15170651954527434
ACH-000095,-0.230354561188308
ACH-000097,-0.12113284694863966
ACH-000098,-0.18642557952206096
ACH-000099,-0.05660837854785768
ACH-000108,-0.18840095066433746
ACH-000113,-0.23117714596284775
ACH-000116,-0.1550486188111831
ACH-000118,-0.08623565287071938
ACH-000120,-0.3674821381501868
ACH-000123,-0.1032534932306385
ACH-000127,-0.04897829552028923
ACH-000128,-0.10841826799662016
ACH-000132,-0.18819832760307112
ACH-000133,-0.055807232975887744
ACH-000137,-0.1400963686500444
ACH-000138,-0.21051957083945072
ACH-000142,-0.2149678097180328
ACH-000143,-0.03607312754138835
ACH-000146,-0.13970355470995582
ACH-000148,-0.15451828631771025
ACH-000150,-0.20846718914959916
ACH-000152,-0.1667125657840556
ACH-000153,-0.34776403486208096
ACH-000159,-0.07618808347816666
ACH-000160,0.13039493448899686
ACH-000163,-0.1407349361446366
ACH-000167,0.4794421771806084
ACH-000168,-0.1851631457890984
ACH-000169,-0.07757151243276088
ACH-000178,-0.09255285883532977
ACH-000183,0.016396211670600503
ACH-000188,-0.19576362611211415
ACH-000189,-0.13433836075966585
ACH-000190,0.13236444645118
ACH-000198,-1.0483437085880047
ACH-000203,-0.2860895334616941
ACH-000204,-0.05332147218950467
ACH-000206,-0.004466090222877152
ACH-000207,-0.1770998729118907
ACH-000208,-0.17255172182282127
ACH-000210,-0.043689154853693714
ACH-000211,-0.26660233022847235
ACH-000215,-0.2064510065119132
ACH-000221,-0.15898894643434436
ACH-000222,0.1564675204471257
ACH-000223,-0.10009309299177724
ACH-000226,-0.19827282498367527
ACH-000227,-0.15600479591648272
ACH-000228,-0.21295146168439286
ACH-000231,-0.12083732342819448
ACH-000232,-0.16594708551819434
ACH-000233,0.005010770365197691
ACH-000234,-0.1572341787465038
ACH-000235,-0.1807388778968764
ACH-000237,-0.05474833999992607
ACH-000238,-0.267463560753273
ACH-000242,-0.2717643885787537
ACH-000243,-0.1886787104263495
