,CLASRP (11129)
ACH-000004,-0.3811413398629661
ACH-000005,-0.4789871053436748
ACH-000007,-0.4573485571494945
ACH-000009,-0.5719146012006582
ACH-000011,-0.4854451097602162
ACH-000012,-0.7252562847654491
ACH-000013,-0.5827402092589872
ACH-000014,-0.23926838275881285
ACH-000015,-0.7764837083695951
ACH-000017,-0.3944077564355395
ACH-000018,-0.6130293603171806
ACH-000019,-0.2975735152244077
ACH-000021,-0.3904526482174681
ACH-000022,-0.39931602559704
ACH-000025,-0.35748080995585346
ACH-000028,-0.4652474556994231
ACH-000030,-0.5518042673529763
ACH-000035,-0.2315718080412688
ACH-000036,-0.029003769952745163
ACH-000037,-0.4895107028805703
ACH-000039,-0.4247880061741631
ACH-000040,-0.2936090315041782
ACH-000041,-0.4592127788590845
ACH-000042,-0.3185558496104067
ACH-000045,-0.3818136629279439
ACH-000047,-0.26458721866274737
ACH-000052,-0.4699708253755932
ACH-000053,-0.5048071054385995
ACH-000054,-0.3463605884572844
ACH-000055,-0.6505770442766642
ACH-000060,-0.5893849888595705
ACH-000067,-0.5090245649868201
ACH-000070,-0.4313978080176895
ACH-000075,-0.5326070963664149
ACH-000078,-0.16293180834177634
ACH-000082,-0.4294147523408969
ACH-000085,-0.4313439141691955
ACH-000086,-0.4083075788801874
ACH-000087,-0.4881159044696166
ACH-000092,-0.5062392740392939
ACH-000095,-0.3913612487109024
ACH-000097,-0.13605878515654474
ACH-000098,-0.5281338035550028
ACH-000099,-0.21588981338684526
ACH-000108,-0.6601773727215882
ACH-000113,-0.4611134528002796
ACH-000116,-0.4383690840819955
ACH-000118,-0.8455020145863393
ACH-000120,-0.4544278665515728
ACH-000123,-0.6497622161289597
ACH-000127,-0.26142162914155564
ACH-000128,-0.2696833760804864
ACH-000132,-0.5102337413604071
ACH-000133,-0.5064300281847387
ACH-000137,-0.4087589591071283
ACH-000138,-0.5005240213181074
ACH-000142,-0.5232282369009533
ACH-000143,-0.6318424467135799
ACH-000146,-0.4248449928354186
ACH-000148,-0.3196363471815897
ACH-000150,-0.3472410965769949
ACH-000152,-0.4627020441077995
ACH-000153,-0.3881767243677238
ACH-000159,-0.4237052967387596
ACH-000160,-0.5988161494088434
ACH-000163,-0.3216345614136097
ACH-000167,-0.6701252397279741
ACH-000168,-0.0014239254638948539
ACH-000169,-0.30492951182518235
ACH-000178,-0.4258573683706906
ACH-000183,-0.41319166699822096
ACH-000188,-0.7136021728031968
ACH-000189,-0.6671229176499655
ACH-000190,-0.4563397345946009
ACH-000198,-0.4193035194686807
ACH-000203,-0.6255291063892158
ACH-000204,-0.1769450807864552
ACH-000206,-0.4309825793012089
ACH-000207,-0.5885729213968849
ACH-000208,-0.3654564931276741
ACH-000210,-0.4048244034970909
ACH-000211,-0.4981174443498327
ACH-000215,-0.2689893337590397
ACH-000221,-0.8653700402180005
ACH-000222,-0.39743574547781374
ACH-000223,-0.3963212283412502
ACH-000226,-0.4328953407837388
ACH-000227,-0.1408281775203364
ACH-000228,-0.436282327893097
ACH-000231,-0.2892471909755037
ACH-000232,-0.22212904582396548
ACH-000233,-0.4738402583562502
ACH-000234,-0.4324490231531591
ACH-000235,-0.4746672647653649
ACH-000237,-0.5345918575070566
ACH-000238,-0.5896391719348187
ACH-000242,-0.3265776691484137
ACH-000243,-0.4297993217664697
ACH-000244,-0.3756851697327744
ACH-000246,-0.5402429199657169
ACH-000248,-0.5185993565232837
ACH-000250,-0.5871571205825832
ACH-000251,-0.7260293379831017
ACH-000252,-0.2262127665739263
ACH-000253,-0.2578041697954535
ACH-000255,-0.5526495486747419
ACH-000256,-0.4699665699847013
ACH-000257,-0.4931372108343458
ACH-000258,-0.10416357287695348
ACH-000259,-0.4934871333664676
ACH-000260,-0.6737486489224921
ACH-000261,-0.5976913698884461
ACH-000262,-0.2959470129923545
ACH-000263,-0.3186282921253479
ACH-000264,-0.2320660717473515
ACH-000265,-0.4611319459397014
ACH-000266,-0.6332530391472709
ACH-000272,-0.191477695318573
ACH-000274,-0.05314502347585852
ACH-000277,-0.2722953781793065
ACH-000278,-0.5897889351772702
ACH-000279,-0.5701957392623258
ACH-000280,-0.5052854137397261
ACH-000281,-0.5202766705350839
ACH-000288,-0.3835671845980684
ACH-000291,-0.2740821862028166
ACH-000293,-0.7189428091302376
ACH-000294,-0.4094056714275533
ACH-000295,-0.42676349935560826
ACH-000296,-0.4791952503824242
ACH-000302,-0.5711692569782758
ACH-000304,-0.02351506976172416
ACH-000307,-0.4571826294821704
ACH-000308,-0.4681667937608219
ACH-000310,-0.2659199335156697
ACH-000311,-0.4209879972319852
ACH-000312,-0.5580204732955727
ACH-000315,-0.4406698051214389
ACH-000316,-0.409882418037862
