,POLR2H (5437)
ACH-000004,-0.6608402680071044
ACH-000005,-0.8816185175865445
ACH-000007,-0.6836485587771409
ACH-000009,-0.9060083149003909
ACH-000011,-0.8518722284606229
ACH-000012,-0.7392159800671778
ACH-000013,-0.8736619590588359
ACH-000014,-0.6693420047860977
ACH-000015,-0.6698760999683017
ACH-000017,-0.6971940507997512
ACH-000018,-0.6846936123334479
ACH-000019,-0.6943719628120277
ACH-000021,-0.8881293745631686
ACH-000022,-0.6949811207513625
ACH-000025,-0.6386507452002439
ACH-000028,-0.9424073351298109
ACH-000030,-0.7113986197744955
ACH-000035,-0.7259717776209417
ACH-000036,-0.6932999458645176
ACH-000037,-0.6588073674332117
ACH-000039,-0.7720075852473837
ACH-000040,-0.8192394519286926
ACH-000041,-1.165592086056712
ACH-000042,-0.6863739320601446
ACH-000045,-0.9772620973327272
ACH-000047,-0.9026973957616662
ACH-000052,-0.6206248646416688
ACH-000053,-0.7304752360794713
ACH-000054,-0.7718584674583312
ACH-000055,-0.7167272996270767
ACH-000060,-0.6475812647991802
ACH-000067,-0.7071916870892079
ACH-000070,-0.7596776663749572
ACH-000075,-0.6084466677750072
ACH-000078,-0.9832547489883884
ACH-000082,-0.8471929474010268
ACH-000085,-0.87041351640177
ACH-000086,-0.6110344274778187
ACH-000087,-0.98621282190124
ACH-000092,-0.7536546931545673
ACH-000095,-0.8135759951355188
ACH-000097,-0.8287602084749095
ACH-000098,-0.5372339822222671
ACH-000099,-0.638874244656186
ACH-000108,-0.8328840588667873
ACH-000113,-0.6685316935402941
ACH-000116,-0.7634298041695244
ACH-000118,-0.8584856235891063
ACH-000120,-0.7667873143541304
ACH-000123,-0.8521511100469051
ACH-000127,-0.9635486787931794
ACH-000128,-0.7901505402661747
ACH-000132,-0.7538567760283721
ACH-000133,-0.6235333200773838
ACH-000137,-0.750036817210692
ACH-000138,-0.6935491447770182
ACH-000142,-0.5570151238692365
ACH-000143,-0.8841992932872489
ACH-000146,-0.7751086985072781
ACH-000148,-0.7122397640053452
ACH-000150,-0.7467296654243831
ACH-000152,-0.7378193356059821
ACH-000153,-0.8496214868817895
ACH-000159,-0.8661388590697043
ACH-000160,-0.566317727102022
ACH-000163,-1.1334314964247971
ACH-000167,-1.208170686682873
ACH-000168,-0.7909312734498832
ACH-000169,-0.9128664872245644
ACH-000178,-1.0306703958775705
ACH-000183,-0.4167758384099889
ACH-000188,-0.8660816525915251
ACH-000189,-0.6895084848773779
ACH-000190,-0.5452837946181128
ACH-000198,-0.813859850757641
ACH-000203,-0.7770921312514902
ACH-000204,-0.6079133595844006
ACH-000206,-1.0369007418910907
ACH-000207,-0.7337684717028983
ACH-000208,-0.8808894864281104
ACH-000210,-0.5756812099049289
ACH-000211,-0.7340078012748833
ACH-000215,-0.7366268654642584
ACH-000221,-0.9257516314394078
ACH-000222,-0.8020927955524308
ACH-000223,-0.8029855931794954
ACH-000226,-0.7292476174209169
ACH-000227,-1.016920993205693
ACH-000228,-1.063213687281206
ACH-000231,-0.8121928624097221
ACH-000232,-0.7266899532026679
ACH-000233,-0.8023266289271362
ACH-000234,-0.9001701143707701
ACH-000235,-0.7410137794378777
ACH-000237,-0.5516818880602345
ACH-000238,-0.7249005964290638
ACH-000242,-0.579857322856355
ACH-000243,-1.1013963123177402
ACH-000244,-0.7603319394244352
ACH-000246,-0.8512283005493277
ACH-000248,-0.710975396235355
ACH-000250,-0.9231322870255246
ACH-000251,-0.6714011196320798
ACH-000252,-1.0867843917175388
ACH-000253,-0.7919110602429681
ACH-000255,-0.8490311951069682
ACH-000256,-0.8881290851155788
ACH-000257,-0.7140003850670259
ACH-000258,-0.7727439307619227
ACH-000259,-0.7054295791267791
ACH-000260,-0.8310862873854029
ACH-000261,-0.8472495614582444
ACH-000262,-0.6787965893011965
ACH-000263,-0.7756048186813265
ACH-000264,-0.7607681980951382
ACH-000265,-0.9187596657960512
ACH-000266,-1.0200693238895766
ACH-000272,-0.6931146274970971
ACH-000274,-0.8470829096590407
ACH-000277,-0.7650925498922206
ACH-000278,-0.9491560139422848
ACH-000279,-1.1134443052093157
ACH-000280,-0.9254626528570596
ACH-000281,-0.9610871401532938
ACH-000288,-0.6785156720031266
ACH-000291,-0.8452498237386618
ACH-000293,-0.9673552624878368
ACH-000294,-0.5483670373681361
ACH-000295,-0.6823101199147354
ACH-000296,-0.8252402719180059
ACH-000302,-0.9185932188290976
ACH-000304,-1.009101519443624
ACH-000307,-0.9565758006973386
ACH-000308,-0.6541298925960259
ACH-000310,-0.8216366935898871
ACH-000311,-1.1433151755087223
ACH-000312,-0.8369405159165734
ACH-000315,-0.5959087224857288
ACH-000316,-0.6133060054422781
ACH-000317,-0.7274700104346834
ACH-000318,-0.7587772096600245
ACH-000319,-0.6843023345279772
ACH-000320,-0.6788138777534346
ACH-000322,-0.7303358485350979
ACH-000323,-0.9183382673990724
ACH-000324,-0.8518570683550878
ACH-000329,-1.0058108537644774
ACH-000330,-0.6879535190914111
ACH-000331,-1.0313370150902816
ACH-000332,-0.7819560875298573
ACH-000334,-0.6263965040446227
ACH-000335,-0.9401672543856447
ACH-000336,-0.6971079955714705
ACH-000337,-0.9738793610022112
ACH-000338,-0.7129010891264641
ACH-000339,-0.8697576903832469
ACH-000341,-0.7676801699081169
ACH-000348,-0.7715859008064897
ACH-000350,-0.7225033449761413
ACH-000352,-1.0013025632552959
ACH-000356,-0.7958303604704281
ACH-000361,-0.7086547886443921
ACH-000362,-0.7071783318928987
ACH-000363,-0.9696147556069304
ACH-000364,-0.8811655997924446
ACH-000365,-0.5843790896181378
ACH-000366,-0.8891682930023791
ACH-000368,-0.7785812929473811
ACH-000374,-0.3688755517094876
ACH-000375,-0.6896154309355947
ACH-000376,-0.8613703387985068
ACH-000381,-0.6550329442770898
ACH-000383,-0.8990695046165964
ACH-000387,-0.6303946494379042
ACH-000389,-0.738863702549212
ACH-000390,-0.6047137821337734
ACH-000393,-1.1617617642816815
ACH-000395,-0.8284574599274594
ACH-000396,-0.7030574063145195
ACH-000397,-1.0287665230593774
ACH-000401,-0.7179094387831605
ACH-000402,-0.8983257421655586
ACH-000403,-0.7568769252050688
ACH-000404,-0.5361028005753083
ACH-000406,-0.8314136541974264
ACH-000407,-0.8770323350709891
ACH-000408,-0.8372909519595425
ACH-000410,-0.7714910402925649
ACH-000411,-0.8678900415088456
ACH-000414,-0.9064610223343472
ACH-000415,-1.0808021186194112
ACH-000416,-0.7948723592734016
ACH-000420,-0.7575935936527551
ACH-000421,-0.8997120928500769
ACH-000424,-0.6326832800206441
ACH-000425,-0.7098265653139302
ACH-000426,-1.3342489972455247
ACH-000427,-0.8307691045552275
ACH-000433,-0.8145466951593411
ACH-000435,-0.5216832925762105
ACH-000436,-0.6220825302121011
ACH-000444,-0.7157411645400046
ACH-000445,-0.8261872749674382
ACH-000448,-0.9133880041158016
ACH-000450,-0.7199320630877952
ACH-000452,-0.5951672984032448
ACH-000454,-0.6513264755667791
ACH-000458,-0.7915826584066485
ACH-000459,-0.5652089880829202
ACH-000460,-0.7518315320811515
ACH-000461,-0.68465499765186
ACH-000463,-0.8891945169344546
ACH-000464,-0.5217163821065117
ACH-000466,-0.8422573865251198
ACH-000467,-0.8666660381006741
ACH-000468,-1.0147379644411822
ACH-000469,-0.861982249253192
ACH-000470,-0.603954517993326
ACH-000471,-1.0699310051501496
ACH-000472,-0.8319218284882597
ACH-000473,-0.7791196662194598
ACH-000475,-0.8859025663351214
ACH-000476,-0.8576658403011991
ACH-000477,-0.6664206029871794
ACH-000479,-0.5178330633012035
ACH-000480,-0.8768217410396033
ACH-000481,-0.9065724841115648
ACH-000483,-1.286883638826011
ACH-000484,-0.8442721121335041
ACH-000485,-0.523312970744399
ACH-000486,-0.9267275064221387
ACH-000487,-0.8979434971392813
ACH-000488,-0.8414903477489958
ACH-000490,-0.7529829582284358
ACH-000491,-0.7876771862038463
ACH-000495,-0.6389172219706525
ACH-000496,-0.7355930010639764
ACH-000499,-0.902470539586862
ACH-000500,-1.0019921949784365
ACH-000502,-0.7860030553576955
ACH-000503,-0.6114319163070089
ACH-000505,-0.8544986819510284
ACH-000507,-0.7813372384056054
ACH-000510,-0.7967148294420326
ACH-000511,-0.885552028014944
ACH-000512,-0.5975769396409757
ACH-000516,-0.7293672118374511
ACH-000517,-0.8623208714141022
ACH-000518,-0.5959712594488729
ACH-000520,-0.8403496482639208
ACH-000521,-0.8881733957701141
ACH-000522,-0.5522986528303757
ACH-000524,-0.8623658920295446
ACH-000527,-0.9079188982054504
ACH-000528,-0.6513934124049274
ACH-000537,-0.9095440242285406
ACH-000541,-0.9211353963797488
ACH-000542,-0.5671104044889105
ACH-000544,-0.8318166503815916
ACH-000545,-0.8428735415959145
ACH-000547,-1.3310468511936604
ACH-000548,-0.9613261174638116
ACH-000549,-0.7801489352184597
ACH-000550,-0.8510869755022201
ACH-000552,-0.8432590468704936
ACH-000556,-1.0096737075960849
ACH-000557,-0.7579634696806713
ACH-000569,-0.7402458861945905
ACH-000570,-0.7731282321983403
ACH-000571,-0.5716085526641805
ACH-000573,-0.9830862197384068
ACH-000576,-0.8701866376171489
ACH-000579,-0.6785004065867615
ACH-000580,-0.7432383405470511
ACH-000584,-0.5180051162420393
ACH-000585,-0.8881117402697406
ACH-000588,-0.5150195123179938
ACH-000589,-0.8166787366196409
ACH-000591,-0.5414122484779708
ACH-000593,-0.9078771261593952
ACH-000600,-0.7299078515703877
ACH-000601,-0.7775656865775779
ACH-000605,-1.0037307675392035
ACH-000606,-0.6998018312206553
ACH-000608,-0.6593733159433409
ACH-000614,-0.5953049349140843
ACH-000616,-0.6918570657336051
ACH-000618,-0.6024549516461809
ACH-000619,-0.6105698140559557
ACH-000620,-0.6444697489193307
ACH-000621,-0.9111015530144494
ACH-000622,-0.5832951657788941
ACH-000623,-0.675246671140468
ACH-000624,-0.9229976376500532
ACH-000627,-0.8956901237739325
ACH-000630,-0.8594183605923702
ACH-000631,-0.8791031458676871
ACH-000632,-0.4501629290568848
ACH-000633,-0.7474060357905624
ACH-000637,-0.9592281647328972
ACH-000638,-0.5878688999183531
ACH-000646,-0.8076121631565313
ACH-000647,-0.7407066862542384
ACH-000648,-0.7925112314648863
ACH-000649,-0.8131036416059857
ACH-000651,-0.8495158081609561
ACH-000652,-0.8839285842335285
ACH-000653,-0.7414802611137925
ACH-000657,-0.8148420401467026
ACH-000658,-0.7057953781653594
ACH-000661,-0.8753084906118421
ACH-000662,-1.0146914883673903
ACH-000663,-0.9261573603482448
ACH-000665,-0.7620628434666411
ACH-000671,-0.5476795725098665
ACH-000672,-0.8362723344196609
ACH-000673,-1.097384602359769
ACH-000676,-0.5919654584870171
ACH-000677,-0.849159145001789
ACH-000681,-0.9699055849255176
ACH-000683,-0.7815716658699038
ACH-000684,-0.664974294727553
ACH-000688,-0.8850749299196351
ACH-000693,-0.5284988734389049
ACH-000694,-0.6048120384256442
ACH-000695,-0.6760959122765009
ACH-000696,-0.8576492644650272
ACH-000697,-0.8353245139759893
ACH-000699,-1.0652505664476477
ACH-000701,-1.1550131228745344
ACH-000706,-0.8097179378438718
ACH-000711,-0.7792051810347317
ACH-000713,-0.6196795128376049
ACH-000714,-0.7131925592822909
ACH-000718,-0.7683562884306839
ACH-000720,-0.8666152441938385
ACH-000721,-0.4289344158264063
ACH-000724,-1.050833152648537
ACH-000725,-0.7460389639616464
ACH-000732,-0.6487288719305164
