,GPT (2875)
ACH-000004,-0.37327815606758
ACH-000005,-0.2932730858133509
ACH-000007,-0.19871041961758595
ACH-000009,0.01860246647479368
ACH-000011,-0.14357207584113968
ACH-000012,0.032066576873822916
ACH-000013,0.0396496788058995
ACH-000014,-0.11902580175218845
ACH-000015,0.15527149602529766
ACH-000017,-0.13309639292922126
ACH-000018,-0.18779780274049224
ACH-000019,-0.10050778830643813
ACH-000021,-0.1658349930505938
ACH-000022,0.05134996334892115
ACH-000025,-0.10470551205663403
ACH-000028,-0.004153409785001746
ACH-000030,-0.1425762744372589
ACH-000035,-0.08623735766466395
ACH-000036,-0.15970359810696913
ACH-000037,0.004694902591591655
ACH-000039,0.03923794183687816
ACH-000040,-0.2814147164240007
ACH-000041,-0.13133991949262935
ACH-000042,-0.17653910936267733
ACH-000045,-0.17925887224771975
ACH-000047,-0.0023285211856923717
ACH-000052,-0.053545691855026056
ACH-000053,-0.07868850771082514
ACH-000054,-0.0584471337183695
ACH-000055,0.023317799875225087
ACH-000060,-0.2101842647767627
ACH-000067,0.044538291654774236
ACH-000070,0.07983538514436395
ACH-000075,-0.09960356994552044
ACH-000078,-0.21930400757211774
ACH-000082,-0.11065098792440746
ACH-000085,0.038781448797642996
ACH-000086,-0.15422653514292578
ACH-000087,-0.1322867881678788
ACH-000092,-0.1664046886070461
ACH-000095,-0.08751158704023611
ACH-000097,-0.16586071865592592
ACH-000098,0.02185383442517773
ACH-000099,0.001953961368133337
ACH-000108,-0.08323407349981288
ACH-000113,-0.044732001099449074
ACH-000116,0.014783181929216129
ACH-000118,-0.10803511760681236
ACH-000120,-0.18638478776220013
ACH-000123,-0.08646815916390943
ACH-000127,-0.09855356135715143
ACH-000128,-0.18545216869926395
ACH-000132,-0.0068710970766660065
ACH-000133,-0.15456866873785907
ACH-000137,-0.1602131602242068
ACH-000138,-0.2005636971036885
ACH-000142,-0.10139733567322387
ACH-000143,-0.2408473442900084
ACH-000146,-0.10493282831692624
ACH-000148,-0.21499310619720935
ACH-000150,-0.2785987046964351
ACH-000152,-0.018335152859273528
ACH-000153,0.2302319466939256
ACH-000159,-0.07297521471970772
ACH-000160,0.14910519461129226
ACH-000163,-0.0836538881575758
ACH-000167,0.4655417573079038
ACH-000168,0.006542114429824756
ACH-000169,-0.02976992761355373
ACH-000178,-0.1429428339555799
ACH-000183,-0.1931066861037174
ACH-000188,-0.08693801014649473
ACH-000189,-0.13389614246854445
ACH-000190,0.2603955960381711
ACH-000198,-0.31101695045754457
ACH-000203,-0.245006622982205
ACH-000204,0.15486284782530416
ACH-000206,0.2719281533521721
ACH-000207,-0.14488333679240084
ACH-000208,-0.1929537290571253
ACH-000210,-0.26574385427545605
ACH-000211,-0.011882291035063094
ACH-000215,0.027802250121129503
ACH-000221,-0.1944349025899092
ACH-000222,-0.1664569622539841
ACH-000223,-0.21603462355551
ACH-000226,0.0006186833170968451
ACH-000227,-0.24663604320099686
ACH-000228,-0.2631429066623525
ACH-000231,-0.05208791434540592
ACH-000232,-0.0678773218215563
ACH-000233,-0.047701075781403486
ACH-000234,-0.18270566905291014
ACH-000235,-0.07612318913247959
ACH-000237,-0.06316210246888455
ACH-000238,-0.07946611299650183
ACH-000242,-0.07917560019027296
ACH-000243,-0.1219614418917468
ACH-000244,-0.4285825398039228
ACH-000246,-0.12243655841569295
ACH-000248,-0.10593090544018717
ACH-000250,-0.2017509509576469
ACH-000251,0.0020685253549478397
ACH-000252,-0.2801857304855583
ACH-000253,-0.11434159241069893
ACH-000255,0.06205877881133352
ACH-000256,-0.3949868081439121
ACH-000257,-0.3688575551420707
ACH-000258,-0.16909634166701967
