,RQCD1 (9125)
ACH-000004,-0.51174339193356
ACH-000005,-0.2842295011084205
ACH-000007,-0.4476835617954545
ACH-000009,-0.7782685100941692
ACH-000011,-0.509043632619728
ACH-000012,-0.9069451980905896
ACH-000013,-0.7205249153125141
ACH-000014,-0.3066375833120309
ACH-000015,-0.3953593004562969
ACH-000017,-0.642912400495212
ACH-000018,-0.5600093610861545
ACH-000019,-0.6626487969383905
ACH-000021,-0.648468279583431
ACH-000022,-0.4282394519242117
ACH-000025,-0.6163767466473675
ACH-000028,-0.5888550363257437
ACH-000030,-0.4512135009518195
ACH-000035,-0.4593250078953896
ACH-000036,-0.6702326715100512
ACH-000037,-0.5268221691698117
ACH-000039,-0.27242157000529804
ACH-000040,-0.43004992025946104
ACH-000041,-0.25570254797103265
ACH-000042,-0.25434861400898745
ACH-000045,-0.18470886930611607
ACH-000047,-0.11870955512535496
ACH-000052,-0.8169234890463744
ACH-000053,-0.7097756163676806
ACH-000054,-0.3178783042834663
ACH-000055,-0.730437852446963
ACH-000060,-0.5766803769601854
ACH-000067,-0.570583293857499
ACH-000070,-0.5285937670560434
ACH-000075,-0.5971263901217692
ACH-000078,-0.4974103728516761
ACH-000082,-0.6521775184611008
ACH-000085,-1.0116243651660397
ACH-000086,-0.31247614701785725
ACH-000087,-0.5475661111246992
ACH-000092,-0.7988207128021922
ACH-000095,-0.388575022598378
ACH-000097,-0.3935936542957521
ACH-000098,-0.4159266103859077
ACH-000099,-0.6563820247851269
ACH-000108,-0.7042924526345241
ACH-000113,-0.3070536157102239
ACH-000116,-0.6581103013737284
ACH-000118,-0.4581398262367408
ACH-000120,-0.6353693771961094
ACH-000123,-0.425570187968705
ACH-000127,-0.5572067035296553
ACH-000128,-0.3553828101186152
ACH-000132,-0.412695569323764
ACH-000133,-0.4998397937731288
ACH-000137,-0.4209424068272957
ACH-000138,-0.4610671319692741
ACH-000142,-0.6688844046087097
ACH-000143,-0.5380765877126721
ACH-000146,-0.535646376135593
ACH-000148,-0.4329614703073141
ACH-000150,-0.5711234365344827
ACH-000152,-0.514622369556073
ACH-000153,-0.44882928772369785
ACH-000159,-0.4731547924150753
ACH-000160,-0.6911188967820131
ACH-000163,-0.33109968661382594
ACH-000167,-1.18553053421212
ACH-000168,-0.7234315121361766
ACH-000169,-0.600378517850319
ACH-000178,-0.5743538953374506
ACH-000183,-0.482023028541697
ACH-000188,-0.5804185037749521
ACH-000189,-0.1902323449442893
ACH-000190,-0.7015635851334351
ACH-000198,-0.6361286674207031
ACH-000203,-0.9011319502296647
ACH-000204,-0.487348636126654
ACH-000206,-0.6969642364371589
ACH-000207,-0.6208041463128076
ACH-000208,-0.6404927156055878
ACH-000210,-0.7432658304260533
ACH-000211,-0.4703083517779164
ACH-000215,-0.6346153165023842
ACH-000221,-0.36088725206045774
ACH-000222,-0.864238497110042
ACH-000223,-0.7386131638090727
ACH-000226,-0.5192186389800431
ACH-000227,-0.4636192298865767
ACH-000228,-0.6433827631702285
ACH-000231,-0.42003680505343066
ACH-000232,-0.4008301961449093
ACH-000233,-0.3198770366812417
ACH-000234,-0.6307981017180011
ACH-000235,-0.5179446279119738
ACH-000237,-0.4830035621332006
ACH-000238,-0.7049732483305582
ACH-000242,-0.05456390668320134
ACH-000243,-0.7813832159933412
ACH-000244,-0.3906257022422679
ACH-000246,-0.517882788454883
ACH-000248,-0.3915631743118324
ACH-000250,-0.6765747110133331
ACH-000251,-0.8673696766422658
ACH-000252,-0.42410507705210615
ACH-000253,-0.6881541985798679
ACH-000255,-0.21907247975791044
ACH-000256,-0.3503385751493713
ACH-000257,-0.4555822480963334
ACH-000258,-0.7252965117663498
ACH-000259,-0.7199724994788458
ACH-000260,-0.5623776031456936
ACH-000261,-0.32710310947538673
ACH-000262,-0.525274525577016
ACH-000263,-0.6845776065928328
ACH-000264,-0.4884351395334
ACH-000265,-0.4205802200659362
ACH-000266,-0.601839542834276
ACH-000272,-0.447844364649632
ACH-000274,-0.3553382846329149
ACH-000277,-0.5679822437483022
ACH-000278,-0.5555803694201547
ACH-000279,-0.5311489040591214
ACH-000280,-0.6614830978946112
ACH-000281,-0.5271356587687601
ACH-000288,-0.7292776685459476
ACH-000291,-0.6420204865934139
ACH-000293,-0.35338183917596994
ACH-000294,-0.5394672578633464
ACH-000295,-0.5444835177092766
ACH-000296,-0.6551344174602591
ACH-000302,-0.6700779414137661
ACH-000304,-0.8089423258133057
ACH-000307,-0.7874498749486977
ACH-000308,-0.6311792116720152
ACH-000310,-0.42848811385177416
ACH-000311,-0.59013531965898
ACH-000312,-0.5896896656568298
ACH-000315,-0.7189971154696407
ACH-000316,-0.5244031122607087
ACH-000317,-0.5626256804942262
ACH-000318,-0.42118092778153626
ACH-000319,-0.4798907071977192
ACH-000320,-0.3537541850213235
ACH-000322,-0.3014844269978005
ACH-000323,-0.4271996724717783
ACH-000324,-0.3291011724604954
ACH-000329,-0.4454633191541918
ACH-000330,-0.7120185853837996
ACH-000331,-0.5527657255201855
ACH-000332,-0.5493405179935015
ACH-000334,-0.3270075584407217
ACH-000335,-0.3879399391526641
ACH-000336,-0.6674179985441498
ACH-000337,-0.7880018171779694
ACH-000338,-0.4976359474025045
ACH-000339,-0.294455947727416
ACH-000341,-0.34707682017055685
ACH-000348,-0.6131034748519858
ACH-000350,-0.4120373601787351
ACH-000352,-0.6239389285050644
ACH-000356,-0.26566919885667656
ACH-000361,-0.381061265149898
ACH-000362,-0.6682873537532925
ACH-000363,-0.6321656213332117
ACH-000364,-0.4895996148659312
