,PI4KA (5297)
ACH-000004,-0.989219102686489
ACH-000005,-0.7371811065391195
ACH-000007,-0.996395464082244
ACH-000009,-0.822579116099818
ACH-000011,-0.5028754549052918
ACH-000012,-1.025390305581577
ACH-000013,-0.7894499544425082
ACH-000014,-0.45469525616757706
ACH-000015,-0.8482989366551884
ACH-000017,-0.7923208086749349
ACH-000018,-1.0290894593426625
ACH-000019,-0.7400547511739312
ACH-000021,-0.3559115121333813
ACH-000022,-0.9685207547596162
ACH-000025,-0.8926262497039783
ACH-000028,-0.7282987226478922
ACH-000030,-1.0450587312462407
ACH-000035,-0.9327761718653029
ACH-000036,-0.8355162133494988
ACH-000037,-0.4605961198881415
ACH-000039,-0.8636615456711618
ACH-000040,-0.7841565042555397
ACH-000041,-0.7912231519823736
ACH-000042,-0.9134985519589898
ACH-000045,-0.7345394214044175
ACH-000047,-0.8530420428251336
ACH-000052,-0.4751091984254632
ACH-000053,-0.9166003676057092
ACH-000054,-0.759787332245212
ACH-000055,-0.939404615082578
ACH-000060,-0.9569554103297316
ACH-000067,-0.9119102502088527
ACH-000070,-0.5828972003543036
ACH-000075,-0.5580824841307506
ACH-000078,-0.8154560063346961
ACH-000082,-0.8217119626479468
ACH-000085,-0.8176636579875038
ACH-000086,-0.7865014836902917
ACH-000087,-0.8622495929024595
ACH-000092,-0.7669067927946593
ACH-000095,-0.6890241219755366
ACH-000097,-0.8345543286477337
ACH-000098,-0.8628697168378063
ACH-000099,-0.6987810174430649
ACH-000108,-0.866829719396075
ACH-000113,-0.6897475602625387
ACH-000116,-0.7862297009647834
ACH-000118,-0.7456193796449354
ACH-000120,-0.7561016304474425
ACH-000123,-0.9355489789441884
ACH-000127,-0.5671410942140561
ACH-000128,-0.7640614456629413
ACH-000132,-0.9807269484687714
ACH-000133,-0.8547403788567468
ACH-000137,-0.8197306600867398
ACH-000138,-0.8124568710287429
ACH-000142,-0.7934470247156934
ACH-000143,-0.8070984357710089
ACH-000146,-0.6621185395208027
ACH-000148,-0.7499331520713841
ACH-000150,-0.7537873568741825
ACH-000152,-0.6848073986794819
ACH-000153,-0.7062371617176627
ACH-000159,-0.6367555411584732
ACH-000160,-0.8558887313544029
ACH-000163,-0.6462984085212089
ACH-000167,-1.2589740547215202
ACH-000168,-0.6235089658581973
ACH-000169,-0.8108468580707403
ACH-000178,-0.6799672009181521
ACH-000183,-0.8713929267933861
ACH-000188,-0.7288591480628676
ACH-000189,-0.8149691914288231
ACH-000190,-0.9720924006016592
ACH-000198,-0.7270507085833189
ACH-000203,-0.9891350978297456
ACH-000204,-0.6329372927736074
ACH-000206,-0.5220915942257192
ACH-000207,-0.6954189698018578
ACH-000208,-1.2615270455652146
ACH-000210,-1.069312863061572
ACH-000211,-0.7388198966743729
ACH-000215,-0.7319884781749741
ACH-000221,-0.8737786608720921
ACH-000222,-0.7378514678736721
ACH-000223,-0.8133184159552591
ACH-000226,-0.8896036084876279
ACH-000227,-0.4372974687733071
ACH-000228,-1.0634192111063088
ACH-000231,-0.7184697671425805
ACH-000232,-0.8447124407360398
ACH-000233,-0.7986441787524098
ACH-000234,-0.7614092736683663
ACH-000235,-0.7409465911953409
ACH-000237,-0.8626271675882006
ACH-000238,-0.6902826237197639
ACH-000242,-1.1716701390415276
ACH-000243,-0.8365320048355295
ACH-000244,-0.6800845699489609
ACH-000246,-0.7519230743508573
ACH-000248,-0.7861974243206212
ACH-000250,-0.6017035762373607
ACH-000251,-0.9462494461604024
ACH-000252,-1.1451626559038492
