,RFPL4B (442247)
ACH-000004,-0.04643211747761957
ACH-000005,0.1196596713295469
ACH-000007,-0.15997857365841633
ACH-000009,0.00326018628005673
ACH-000011,-0.17934830212395622
ACH-000012,-0.15982994407806805
ACH-000013,-0.12311422343168993
ACH-000014,-0.1019187119742771
ACH-000015,-0.06331490562800225
ACH-000017,-0.12637082399674854
ACH-000018,-0.13426309389378116
ACH-000019,-0.18142701202789424
ACH-000021,-0.2785319345428324
ACH-000022,-0.158925783445464
ACH-000025,-0.16327955929816187
ACH-000028,-0.14082704289669148
ACH-000030,-0.13835786320136334
ACH-000035,-0.06862897248333062
ACH-000036,0.011892720180556602
ACH-000037,-0.21717099743175544
ACH-000039,-0.34260537701973703
ACH-000040,-0.07267605599880908
ACH-000041,-0.17555008706190042
ACH-000042,-0.15120820765054135
ACH-000045,-0.04730445590131235
ACH-000047,-0.299726847674368
ACH-000052,-0.1649878916168233
ACH-000053,-0.11307667626433203
ACH-000054,-0.08638438290782684
ACH-000055,-0.2061139214068014
ACH-000060,-0.16146420596607902
ACH-000067,-0.17228642256241372
ACH-000070,-0.14977430423248586
ACH-000075,-0.1750758590444762
ACH-000078,-0.3549703140296794
ACH-000082,-0.16865664924673676
ACH-000085,0.037976277830317616
ACH-000086,-0.07836261480234792
ACH-000087,-0.5502594294070722
ACH-000092,-0.205636014709256
ACH-000095,-0.06053323406451335
ACH-000097,-0.1103060740347034
ACH-000098,-0.13497994129500224
ACH-000099,-0.2615624313996986
ACH-000108,-0.1614693568861377
ACH-000113,-0.029802560144777262
ACH-000116,-0.17589835419456762
ACH-000118,-0.11925404211810448
ACH-000120,-0.31747846736185736
ACH-000123,-0.13380212947223094
ACH-000127,-0.23061800270565
ACH-000128,-0.15615568814223196
ACH-000132,-0.09542361024781833
ACH-000133,0.00019449006128906642
ACH-000137,-0.2488663921905824
ACH-000138,-0.0027331201213906127
ACH-000142,-0.13135202007600533
ACH-000143,-0.18805450683823624
ACH-000146,-0.06229284918705536
ACH-000148,-0.08090543845386515
ACH-000150,-0.2391853289238691
ACH-000152,-0.1210945293096042
ACH-000153,-0.2204527708582374
ACH-000159,-0.08937815662922552
ACH-000160,-0.06547954139878451
ACH-000163,-0.15736934078078546
ACH-000167,-0.043952955477093804
ACH-000168,0.013384071295078726
ACH-000169,-0.09027281073652532
ACH-000178,-0.037582840528595306
ACH-000183,-0.12316082119527562
ACH-000188,-0.0507029590605514
