,HS3ST3B1 (9953)
ACH-000004,0.007997260998670142
ACH-000005,0.28277924909830904
ACH-000007,-0.04374119149721513
ACH-000009,-0.031238071532448945
ACH-000011,-0.008927487883581277
ACH-000012,0.11160489448780522
ACH-000013,-0.029327402489792508
ACH-000014,0.1639491697285159
ACH-000015,0.017898614105460755
ACH-000017,0.000187248246858072
ACH-000018,0.03044117434697676
ACH-000019,-0.1278250574668658
ACH-000021,-0.027774004957096518
ACH-000022,-0.08785703543906953
ACH-000025,-0.3475200321154247
ACH-000028,-0.003966712226400974
ACH-000030,0.03847210327969208
ACH-000035,0.08107952177015854
ACH-000036,-0.1649615999517219
ACH-000037,0.08812765539940423
ACH-000039,0.12841591313805634
ACH-000040,0.20137124955340885
ACH-000041,-0.013738576536268128
ACH-000042,-0.19461273857573216
ACH-000045,0.029770887737524062
ACH-000047,-0.006873567784418105
ACH-000052,0.0767720181659587
ACH-000053,0.05788956110683041
ACH-000054,-0.16230756952826114
ACH-000055,-0.08884758689540195
ACH-000060,-0.11527164304055125
ACH-000067,-0.06050806819034
ACH-000070,0.016555578172261942
ACH-000075,-0.08900170211691967
ACH-000078,0.03714157424570995
ACH-000082,-0.032539156265345086
ACH-000085,-0.024028937519059008
ACH-000086,-0.07344487441027245
ACH-000087,-0.025102126268516604
ACH-000092,0.043441551244011264
ACH-000095,-0.22718195163709776
ACH-000097,-0.1341847161799216
ACH-000098,0.05079593727765868
ACH-000099,0.022863658428139973
ACH-000108,0.0752540220248363
ACH-000113,-0.09230421870176732
ACH-000116,-0.15693280235974494
ACH-000118,0.0056973370309319656
ACH-000120,0.07908563149760968
ACH-000123,0.059344020078153675
ACH-000127,-0.04363715435602804
ACH-000128,-0.09117158276669274
ACH-000132,-0.05701431138376445
ACH-000133,-0.16838543377912496
ACH-000137,0.029356055057645037
ACH-000138,-0.010500347791143236
ACH-000142,0.1921664451078927
ACH-000143,-0.0111250805414334
ACH-000146,-0.07086863952768402
ACH-000148,-0.03896473211752786
ACH-000150,-0.17147930153050728
ACH-000152,-0.006044831219292065
ACH-000153,-0.05414014882709735
ACH-000159,-0.030104043442145106
ACH-000160,-0.08776821419357049
ACH-000163,-0.05536754099624057
ACH-000167,0.3430950642651364
ACH-000168,-0.03763443063602755
ACH-000169,0.01737456362810639
ACH-000178,-0.08735484630932848
ACH-000183,-0.012416105955734684
ACH-000188,-0.1019034766916685
ACH-000189,-0.0197580880706912
ACH-000190,-0.3429923731905108
ACH-000198,-0.11574053375447264
ACH-000203,0.2930646544069303
ACH-000204,0.014184125620213891
ACH-000206,0.1697417130933468
ACH-000207,-0.07855918176015894
ACH-000208,-0.18101133080404014
ACH-000210,-0.19816940619976794
ACH-000211,-0.026245287683370682
ACH-000215,0.025369006136128632
ACH-000221,-0.19374874541734186
ACH-000222,0.10736251376031132
ACH-000223,-0.12144221175577652
ACH-000226,-0.22984690523764445
ACH-000227,0.20706449123572346
ACH-000228,-0.030521490688658236
ACH-000231,-0.014994021095905566
ACH-000232,-0.06296721780217966
ACH-000233,-0.1485809179206627
ACH-000234,-0.043260774636558835
ACH-000235,-0.13714536861777166
ACH-000237,0.013830237319940463
ACH-000238,0.02133410173494009
ACH-000242,-0.08356904748541298
ACH-000243,-0.004594636601849624
ACH-000244,-0.157631027273895
ACH-000246,-0.0800998940980447
ACH-000248,-0.06660369810290112
