,TARS (6897)
ACH-000004,-1.3509381086040682
ACH-000005,-1.3034035989624586
ACH-000007,-1.4679729522938705
ACH-000009,-1.4563319726585762
ACH-000011,-1.0915880244645249
ACH-000012,-1.368207150081258
ACH-000013,-1.338947840362706
ACH-000014,-1.4045162505143651
ACH-000015,-1.1109471302184657
ACH-000017,-1.1803080020607912
ACH-000018,-1.2883663048494056
ACH-000019,-1.4353906756460877
ACH-000021,-1.228088386957524
ACH-000022,-1.4063521375723305
ACH-000025,-1.2852536319749794
ACH-000028,-1.0467712634327944
ACH-000030,-1.156137323644897
ACH-000035,-1.135454920141974
ACH-000036,-1.3299580748439308
ACH-000037,-1.0774387828228922
ACH-000039,-1.3648245933250414
ACH-000040,-1.2626990715456954
ACH-000041,-1.2163300429748731
ACH-000042,-1.4583763246491577
ACH-000045,-1.1147722021074726
ACH-000047,-1.179420553778468
ACH-000052,-1.195456268273842
ACH-000053,-1.4053346565930904
ACH-000054,-1.4287531348985674
ACH-000055,-1.1791802294006621
ACH-000060,-1.0792944381671263
ACH-000067,-1.458396888018734
ACH-000070,-1.3120959316028955
ACH-000075,-1.0678720626272278
ACH-000078,-1.3930418616835107
ACH-000082,-1.107076731984996
ACH-000085,-1.0298920831032736
ACH-000086,-1.4003088999228168
ACH-000087,-1.276187901739671
ACH-000092,-1.3554259860465874
ACH-000095,-1.344380307534689
ACH-000097,-1.2978326672921607
ACH-000098,-1.3010020584695967
ACH-000099,-1.2902471302327378
ACH-000108,-1.4025998573100833
ACH-000113,-1.1990747688172063
ACH-000116,-1.1178622305672985
ACH-000118,-1.231694226362864
ACH-000120,-1.0737792526881629
ACH-000123,-1.2969037344861474
ACH-000127,-1.300373413870292
ACH-000128,-1.4532500710385383
ACH-000132,-1.3368422390683476
ACH-000133,-1.1559431552811479
ACH-000137,-1.4446077851211556
ACH-000138,-1.2512509974045711
ACH-000142,-1.1464245563368212
ACH-000143,-1.2228115949323346
ACH-000146,-1.2313887137590531
ACH-000148,-1.50020628843014
ACH-000150,-1.252648834602613
ACH-000152,-1.2971233061204854
ACH-000153,-1.3459151485011684
ACH-000159,-1.3993395461084803
ACH-000160,-1.3796659014091124
ACH-000163,-1.2443632500592785
ACH-000167,-2.1991177168887432
ACH-000168,-1.0434787488457815
ACH-000169,-1.3592574293641415
ACH-000178,-0.9732419643047208
ACH-000183,-1.571027140007783
ACH-000188,-1.073171503361242
ACH-000189,-0.8917781514029604
ACH-000190,-1.3309491359029897
ACH-000198,-1.26411549262527
ACH-000203,-1.123482565393274
ACH-000204,-1.0422241708509845
ACH-000206,-1.153821556676277
ACH-000207,-0.8305387171464907
ACH-000208,-1.0708690881199086
ACH-000210,-1.0054324587329353
ACH-000211,-1.3669069340066724
ACH-000215,-1.2073843294492903
ACH-000221,-1.473797752987441
ACH-000222,-1.5167071951937512
ACH-000223,-1.381710282383574
ACH-000226,-1.0984121052026772
ACH-000227,-1.1952884520022302
ACH-000228,-1.3443238754847868
ACH-000231,-1.2282161562426115
ACH-000232,-1.239011496802139
ACH-000233,-1.1184655657415172
ACH-000234,-1.1241910893204403
ACH-000235,-1.340903111680642
ACH-000237,-1.3862548706214612
ACH-000238,-1.1559600481664327
ACH-000242,-1.2316490305037195
ACH-000243,-1.3197852184685095
ACH-000244,-1.3448891736034194
ACH-000246,-1.3067596286499317
ACH-000248,-1.2645777700088914
ACH-000250,-1.3558144552604978
ACH-000251,-1.262432350387778
ACH-000252,-1.4629528211758882
ACH-000253,-1.2736095561452352
ACH-000255,-1.26439988060251
