,UBE2N (7334)
ACH-000004,-1.1597660300133628
ACH-000005,-0.5986884734287897
ACH-000007,-0.6133884242040257
ACH-000009,0.11961686968643173
ACH-000011,-1.0077786931218098
ACH-000012,-0.6495274861523093
ACH-000013,-0.8666977615868044
ACH-000014,-0.9398743450735114
ACH-000015,-0.9199343892753736
ACH-000017,-1.0213204088702346
ACH-000018,-0.97740019708192
ACH-000019,-0.6809261105048343
ACH-000021,-0.8998930775387709
ACH-000022,-0.3943397111395279
ACH-000025,-1.0763277718611417
ACH-000028,-1.2726227576811628
ACH-000030,-1.1342403923379845
ACH-000035,-1.229691506763906
ACH-000036,-0.7616031615628911
ACH-000037,-0.9459692413940332
ACH-000039,-1.0822254373907103
ACH-000040,-0.8661711289840199
ACH-000041,-1.3555346471721506
ACH-000042,-0.9076982184388204
ACH-000045,-0.8110056032948292
ACH-000047,-0.7925604274780205
ACH-000052,-1.1890473806374091
ACH-000053,-1.0145467099339591
ACH-000054,-0.7106280223371224
ACH-000055,-0.8727827710638161
ACH-000060,-1.059640901099267
ACH-000067,-1.1246871633543
ACH-000070,-1.0610250703748323
ACH-000075,-0.1914579395359453
ACH-000078,-0.1424198866553313
ACH-000082,-0.6596267542684586
ACH-000085,-1.2742225391311783
ACH-000086,-0.9021150566970528
ACH-000087,-0.913626979155124
ACH-000092,-0.9529381431992314
ACH-000095,-0.6160225180920894
ACH-000097,-0.5486127860414303
ACH-000098,-0.7388821425516536
ACH-000099,-0.2463488231751381
ACH-000108,-0.5708224443193437
ACH-000113,-0.975184166919701
ACH-000116,-1.2029535976109402
ACH-000118,-1.0745432741965764
ACH-000120,-1.2050233566897697
ACH-000123,-0.8635098240731557
ACH-000127,-1.139280197876729
ACH-000128,-1.2605012146406984
ACH-000132,-0.8421482683320708
ACH-000133,-1.0291517852553702
ACH-000137,-1.5606748877735042
ACH-000138,-0.93572852525693
ACH-000142,-0.8502279723867748
ACH-000143,-1.1516713490780883
ACH-000146,-0.8135528008981374
ACH-000148,-0.8538612945319788
ACH-000150,-1.148463268388347
ACH-000152,-0.86410855785145
ACH-000153,-0.5881177476550542
ACH-000159,-0.5834916234059749
ACH-000160,-0.7389893608333716
ACH-000163,-0.7710447658323112
ACH-000167,-0.0657784315318167
ACH-000168,-0.7727358998615559
ACH-000169,-1.2526000624627276
ACH-000178,-1.0630858953716376
ACH-000183,-0.8254020865552881
ACH-000188,-0.959406345740674
ACH-000189,-0.602585562450203
ACH-000190,-0.35051934737925833
ACH-000198,-0.9741170645211522
ACH-000203,-0.8592408371146709
ACH-000204,-0.6976494031220587
ACH-000206,-1.2004482970451067
ACH-000207,-0.9349673938437092
ACH-000208,-0.6772440498040367
ACH-000210,-1.2869714437906887
ACH-000211,-1.1847631683466109
ACH-000215,-1.2090824324144975
ACH-000221,-1.0272585381357222
ACH-000222,-0.4864433455026527
ACH-000223,-0.9740156741295936
ACH-000226,-1.0064419743408812
ACH-000227,-0.6635226719153552
ACH-000228,-1.1369591101724053
ACH-000231,-1.1248810556228601
ACH-000232,-0.984887712706455
ACH-000233,-1.1149600217875866
ACH-000234,-0.8534073620793584
ACH-000235,-0.8357676664573227
ACH-000237,-1.1698488921915149
ACH-000238,-1.292845373949968
ACH-000242,-1.1447527977463143
ACH-000243,-1.2566510552734431
ACH-000244,-0.342130575325472
ACH-000246,-0.4453807674624039
ACH-000248,-0.922882740805744
ACH-000250,-0.4952650787985119
ACH-000251,-1.3216179191861903
ACH-000252,-1.2676818983605358
ACH-000253,-0.8786832881775841
ACH-000255,-1.059854054643515
ACH-000256,-1.0696802792699514
ACH-000257,-0.8946466037311241
ACH-000258,-0.7419992178235405
ACH-000259,-0.6910097246006329
ACH-000260,-0.924739171877312
ACH-000261,-0.7991183525073097
ACH-000262,-0.8000871469903134
ACH-000263,-0.5255558162598385
ACH-000264,-0.9687363891579628
ACH-000265,-1.0075465655732527
ACH-000266,-0.7685182993753041
ACH-000272,-0.6492867129443206
ACH-000274,-0.3910494441471114
ACH-000277,-0.6175671798024945
ACH-000278,-1.326877491250668
ACH-000279,-1.3274894233925612
ACH-000280,-0.8617504240625998
ACH-000281,-1.378759103791791
ACH-000288,-0.9211849833611566
ACH-000291,-0.5255034609664933
ACH-000293,-1.0299952353149415
ACH-000294,-0.9394713842032394
ACH-000295,-0.92347451990205
ACH-000296,-0.9306376243658264
ACH-000302,-0.3933422962164885
ACH-000304,-0.5517285106172831
ACH-000307,-1.0023497165981892
ACH-000308,-1.5644641495624914
ACH-000310,-0.4794348551527066
ACH-000311,-0.976077049085368
ACH-000312,-0.4810924527613368
ACH-000315,-0.9090588153045042
ACH-000316,-1.0309837966660067
ACH-000317,-0.6206836692482353
ACH-000318,-1.0340159444882788
ACH-000319,-1.0186781879077684
ACH-000320,-1.2375479651859198
ACH-000322,-1.0174515319096078
ACH-000323,-0.3125794106499521
ACH-000324,-1.0031138274273579
ACH-000329,-0.722788107938175
ACH-000330,-1.1783797594485657
ACH-000331,-0.9309441740513102
ACH-000332,-0.6777922480926003
ACH-000334,-0.5464757303802268
ACH-000335,-1.0502486520029122
ACH-000336,-0.8979761604576019
ACH-000337,-0.9160522511226769
ACH-000338,-1.524262386334431
ACH-000339,-0.8539976904292954
ACH-000341,-0.4283438027584553
ACH-000348,-1.2963275215331511
ACH-000350,-0.9346696884175284
ACH-000352,-0.7976301819749004
ACH-000356,-1.16870753309727
ACH-000361,-0.6868399473054979
ACH-000362,-1.0318373086434391
ACH-000363,-0.38465812267244937
ACH-000364,-0.9077679879987788
ACH-000365,-0.9438213230204846
ACH-000366,-0.61151416833
ACH-000368,-1.1289257326933306
ACH-000374,-1.3840513718843719
ACH-000375,-0.6985457996668223
ACH-000376,-0.8933181976864133
ACH-000381,-0.7517584390046987
ACH-000383,-0.7160383104683828
ACH-000387,-1.159405121171584
ACH-000389,-0.8731568756069099
ACH-000390,-0.9634790468892206
ACH-000393,-0.7676208117657398
ACH-000395,-0.9008122912387052
ACH-000396,-1.044958976918988
ACH-000397,-1.1138896761330075
ACH-000401,-1.0396123381920999
ACH-000402,-0.6987312820228042
ACH-000403,-0.4121056945311257
ACH-000404,-1.1610556475448095
ACH-000406,-0.6403031304707604
ACH-000407,-0.9348910581101054
ACH-000408,-1.1858281254627758
ACH-000410,-0.9519666552474658
ACH-000411,-0.8001514847997396
ACH-000414,-0.8412916827767386
ACH-000415,-1.0183334710788836
ACH-000416,-0.4906575077546125
ACH-000420,-1.3740146789414778
ACH-000421,-0.9649113970981604
ACH-000424,-0.9510455155579915
ACH-000425,-0.8061161706708327
ACH-000426,-1.0738951291605612
ACH-000427,-0.5899464657357066
ACH-000433,-0.4711252176572146
ACH-000435,-1.0679685544683026
ACH-000436,-0.9519278504234259
ACH-000444,-0.9669193727959116
ACH-000445,-1.278432289708712
ACH-000448,-0.9025439393548738
ACH-000450,-1.0411557837196832
ACH-000452,-0.6864040318578016
ACH-000454,-0.9601274154456372
ACH-000458,-0.9511015036017579
ACH-000459,-1.3227931898001155
ACH-000460,-1.0153007541103702
ACH-000461,-1.068599997590335
ACH-000463,-0.9528699935938912
ACH-000464,-1.1359040683021393
ACH-000466,-1.1158833257656222
ACH-000467,-0.5898556570799827
ACH-000468,-1.059421111713063
ACH-000469,-1.1986107897269629
ACH-000470,-1.1601658670709147
ACH-000471,-0.7062335649713082
ACH-000472,-0.953658077644348
ACH-000473,-1.2412476093453157
ACH-000475,-0.7400908149687939
ACH-000476,-0.6675128552530573
ACH-000477,-1.1850472070248717
ACH-000479,-0.6315033189867082
ACH-000480,-0.6842209937850077
ACH-000481,-0.593318104186068
ACH-000483,-0.5581981260037309
ACH-000484,-0.3867436196105623
ACH-000485,-0.8980170444399609
ACH-000486,-0.6231680925307634
ACH-000487,-0.8066301847692096
ACH-000488,-1.1595895732930963
ACH-000490,-0.927852176829572
ACH-000491,-0.7067382228754389
ACH-000495,-0.19426842190355856
ACH-000496,-1.1969727399966814
ACH-000499,-1.097903792434481
ACH-000500,-0.6378088402916732
ACH-000502,-0.9372272110548698
ACH-000503,-1.3127816992155072
ACH-000505,-1.3982246552802269
ACH-000507,-0.9769093500361008
ACH-000510,-0.5410718702217343
ACH-000511,-0.9748502941476496
ACH-000512,-1.0930352385640938
ACH-000516,-0.7840230613632155
ACH-000517,-1.0222616617880045
ACH-000518,-1.1106265478248132
ACH-000520,-0.9837362065507584
ACH-000521,-1.026409500771897
ACH-000522,-1.2096264312655505
ACH-000524,-1.1342745828029317
ACH-000527,-0.6884573899708183
ACH-000528,-0.8931616504464064
ACH-000537,-0.7184118620475284
ACH-000541,-0.31745475524712324
ACH-000542,-0.9977378560935558
ACH-000544,-1.2401861990840972
ACH-000545,-1.0880063340471733
ACH-000547,-1.088836777840307
ACH-000548,-1.0005569108732608
ACH-000549,-1.1351683361691232
ACH-000550,-1.0679226541250515
ACH-000552,-1.0572820587057359
ACH-000556,-0.3858327768137645
ACH-000557,-0.21907533313962413
ACH-000569,-1.0369770726138956
ACH-000570,-1.2245986786515934
ACH-000571,-0.5851015164816182
ACH-000573,-1.1459993632047676
ACH-000576,-0.8440715697890899
ACH-000579,-1.108824966993512
ACH-000580,-0.5571423647392506
ACH-000584,-1.2248162339262536
ACH-000585,-0.92715808875905
ACH-000588,-0.8126205338483032
ACH-000589,-0.7480526020510243
ACH-000591,-1.3087427918138272
ACH-000593,-0.7104126142894064
ACH-000600,-0.6779351682279715
ACH-000601,-0.8321244376838748
ACH-000605,-1.0315411548493072
ACH-000606,-0.9234233585146341
ACH-000608,-0.38484090645728936
ACH-000614,-0.4969302718869221
ACH-000616,-1.1801580003761392
ACH-000618,-0.8603571579872423
ACH-000619,-1.0875613521786625
ACH-000620,-0.7658829586741568
ACH-000621,-0.8342145294751098
ACH-000622,-0.5980428000966782
