,FBLIM1 (54751)
ACH-000004,-0.40678503792901066
ACH-000005,-0.7837100476323329
ACH-000007,-0.3363683877557975
ACH-000009,-0.5037554069800128
ACH-000011,-0.35164094143251723
ACH-000012,-0.4669329947515228
ACH-000013,-0.5186497307450276
ACH-000014,-0.4310518257019556
ACH-000015,-0.4095266821889516
ACH-000017,-0.4664230867898946
ACH-000018,-0.3093923863478977
ACH-000019,-0.3584962206489433
ACH-000021,-0.39195843819265297
ACH-000022,-0.3562431286874329
ACH-000025,-0.526047354466892
ACH-000028,-0.17249002079175754
ACH-000030,-0.3135508376428544
ACH-000035,-0.6407047960568921
ACH-000036,-0.4057600295706028
ACH-000037,-0.6291305521993031
ACH-000039,-0.4526212559452358
ACH-000040,-0.4698793018558212
ACH-000041,-0.4048458213710732
ACH-000042,-0.5493652668212685
ACH-000045,-0.4618810398161337
ACH-000047,-0.4973086064470776
ACH-000052,-0.5158980899261238
ACH-000053,-0.35336006136643483
ACH-000054,-0.5189532670723515
ACH-000055,-0.6169915859920181
ACH-000060,-0.4586035917215873
ACH-000067,-0.4515368856150144
ACH-000070,-0.3300611581992872
ACH-000075,-0.3682389379238217
ACH-000078,-0.3195283006181483
ACH-000082,-0.3575308840413338
ACH-000085,-0.5696000431136904
ACH-000086,-0.378804675800193
ACH-000087,-0.7260188369425914
ACH-000092,-0.582962566594246
ACH-000095,-0.2711249536942667
ACH-000097,-0.3744530006556732
ACH-000098,-0.3838588161638259
ACH-000099,-0.42178062992373255
ACH-000108,-0.7247794833950971
ACH-000113,-0.1947969749504116
ACH-000116,-0.4920857579584404
ACH-000118,-0.4091561567767679
ACH-000120,-0.4376512733810015
ACH-000123,-0.3660947608467936
ACH-000127,-0.34428701232265885
ACH-000128,-0.544832406764915
ACH-000132,-0.3170096815648898
ACH-000133,-0.6801878118443859
ACH-000137,-0.6876932104873087
ACH-000138,-0.4756512884867018
ACH-000142,-0.3711865282826557
ACH-000143,-0.5005077356633579
ACH-000146,-0.25754557373312364
ACH-000148,-0.4695795548618374
ACH-000150,-0.5519653318788236
ACH-000152,-0.4179174111652599
ACH-000153,-0.4054997302011496
ACH-000159,-0.5041891640673065
ACH-000160,-0.3987386086669085
ACH-000163,-0.3258653566188837
ACH-000167,-0.7662300723498752
ACH-000168,-0.5558842442118334
ACH-000169,-0.4085403442375541
ACH-000178,-0.43429125058691065
ACH-000183,-0.6157966196132145
ACH-000188,-0.3751096136628126
ACH-000189,-0.12597340766354428
ACH-000190,-0.25952328097230026
ACH-000198,-0.4705527130771641
ACH-000203,-0.012594063306425736
ACH-000204,-0.5174481522557557
ACH-000206,-0.5712781364502384
ACH-000207,-0.5493120054224275
ACH-000208,-0.2476421206943001
ACH-000210,-0.4122231236375545
ACH-000211,-0.4991580312113975
ACH-000215,-0.4371671796880008
ACH-000221,-0.5064929053417876
ACH-000222,-0.4983623211929316
ACH-000223,-0.4886873862215556
ACH-000226,-0.5223927420981045
ACH-000227,-0.5129782399995273
ACH-000228,-0.54406095782335
ACH-000231,-0.3593942811547509
ACH-000232,-0.3952313983272327
