,SPPL2C (162540)
ACH-000004,-0.23115474709559275
ACH-000005,-0.5221719275560899
ACH-000007,-0.10086830443099158
ACH-000009,-0.3608101211012024
ACH-000011,-0.14832520974414776
ACH-000012,-0.14050917642025182
ACH-000013,-0.2708604045801049
ACH-000014,-0.3177849822544169
ACH-000015,-0.11838752050528
ACH-000017,-0.19650642073797805
ACH-000018,-0.024781933767407043
ACH-000019,-0.24895515189192866
ACH-000021,-0.11248970512744708
ACH-000022,-0.3167201574390949
ACH-000025,-0.15200763739775042
ACH-000028,-0.2765734266650657
ACH-000030,-0.3237795915449168
ACH-000035,-0.2687233509643284
ACH-000036,-0.18710565706040336
ACH-000037,-0.2277915299077628
ACH-000039,-0.2956119141144076
ACH-000040,-0.19659821039797185
ACH-000041,-0.3421267228786096
ACH-000042,-0.2911451330754903
ACH-000045,-0.20391245512658346
ACH-000047,-0.1610897150228334
ACH-000052,-0.21228096113609154
ACH-000053,-0.2261150963196355
ACH-000054,-0.1608074500068258
ACH-000055,-0.3472318542712732
ACH-000060,-0.032638756161121274
ACH-000067,-0.3824839797429784
ACH-000070,-0.185870460337243
ACH-000075,-0.2415917900407896
ACH-000078,-0.3492693148031162
ACH-000082,-0.1244218671156853
ACH-000085,-0.2550527775345641
ACH-000086,-0.2715870641156538
ACH-000087,-0.08664812572539872
ACH-000092,-0.15113458511023048
ACH-000095,-0.3498804253581417
ACH-000097,-0.22334890297725368
ACH-000098,-0.1853827904220652
ACH-000099,-0.211040489940532
ACH-000108,-0.011146795631498759
ACH-000113,-0.08783541453929349
ACH-000116,-0.2838448357525167
ACH-000118,-0.2821058215140225
ACH-000120,-0.32762335136286
ACH-000123,-0.17505023837019773
ACH-000127,-0.19398756180509524
ACH-000128,-0.2441681699325418
ACH-000132,-0.20387164317217127
ACH-000133,-0.2558650673719798
ACH-000137,-0.11722409294047155
ACH-000138,-0.21389874024655486
ACH-000142,-0.33288344195295577
ACH-000143,-0.04910781127346839
ACH-000146,-0.17819020600556806
ACH-000148,-0.2643772209277164
ACH-000150,-0.43212139578030734
ACH-000152,-0.3468561542069799
ACH-000153,-0.239662046801696
ACH-000159,-0.13561866842651546
ACH-000160,-0.10797226039796108
ACH-000163,-0.3362852414925959
ACH-000167,-0.4650180793890341
ACH-000168,-0.011449672152897994
ACH-000169,-0.170458324548369
ACH-000178,-0.18430120446059325
ACH-000183,-0.28429960609419863
ACH-000188,-0.4941368295691813
ACH-000189,-0.5129168082618795
ACH-000190,-0.10283512184059523
ACH-000198,-0.19024536889198893
ACH-000203,0.08275359056937433
ACH-000204,-0.018495378990696712
ACH-000206,-0.20238272649105213
ACH-000207,-0.19073939206651205
ACH-000208,-0.1271885287400589
ACH-000210,-0.12871865860912315
ACH-000211,-0.3658070461083718
ACH-000215,-0.2610751429404019
ACH-000221,-0.16046855309081462
ACH-000222,-0.29151210998792954
ACH-000223,-0.1306629375766845
ACH-000226,-0.262595100386844
ACH-000227,-0.1175926295457948
ACH-000228,-0.1872608992757746
ACH-000231,-0.18096825235686412
ACH-000232,-0.2097443686656985
ACH-000233,-0.1860933472173972
ACH-000234,-0.14858876736399554
ACH-000235,-0.35189865987784
ACH-000237,-0.18702095237609764
ACH-000238,-0.22419913940559386
ACH-000242,-0.5401138278076165
ACH-000243,-0.2870369908687689
ACH-000244,-0.2916117192987786
ACH-000246,-0.13168505994426474
ACH-000248,-0.19946084911453632
ACH-000250,-0.2724751713653833
ACH-000251,-0.3036090974806979
ACH-000252,-0.1827140186973621
ACH-000253,-0.3055932718577606
ACH-000255,-0.21098127072204534
ACH-000256,-0.3336860167350837
ACH-000257,-0.1728905450198711
ACH-000258,-0.06433000374031238
ACH-000259,-0.3020937247610835
ACH-000260,-0.2688178178169788
ACH-000261,-0.20638288313620706
ACH-000262,-0.19899984886413036
ACH-000263,-0.09977986760586233
ACH-000264,-0.27379189778341045
ACH-000265,-0.2742222464046785
ACH-000266,-0.2364057908315475
ACH-000272,-0.24661315962364816
ACH-000274,-0.2520825516205239
ACH-000277,-0.2364850331495829
ACH-000278,-0.3199926330230673
ACH-000279,-0.3766216189131158
ACH-000280,-0.15255455060277134
ACH-000281,-0.21818527176339644
ACH-000288,-0.2508141742122193
ACH-000291,-0.2684408636884941
ACH-000293,-0.25092902525657257
ACH-000294,-0.29070468251943005
ACH-000295,-0.05640272817989361
ACH-000296,-0.31696591347900843
ACH-000302,-0.2631724341061433
ACH-000304,-0.11871908064966664
ACH-000307,-0.24342538269279415
ACH-000308,-0.26504520887742217
ACH-000310,-0.3186299962765841
ACH-000311,-0.32310963990167657
ACH-000312,-0.30231528965276977
ACH-000315,-0.4694772671734418
ACH-000316,-0.22751414528659075
ACH-000317,-0.17634382547115965
ACH-000318,-0.2432389984673097
ACH-000319,-0.1226441301756534
ACH-000320,-0.3224993925249553
ACH-000322,-0.3778653247201651
ACH-000323,-0.28896146119436683
ACH-000324,-0.2306125867012384
ACH-000329,-0.28264181952766176
ACH-000330,-0.15659640387766371
ACH-000331,-0.3682268758749992
ACH-000332,-0.2341590775699039
ACH-000334,-0.11875084756957095
ACH-000335,-0.18039065866108708
ACH-000336,-0.1593792318106023
ACH-000337,-0.2817395145678309
ACH-000338,-0.5917005488147461
ACH-000339,-0.2279152349636325
ACH-000341,-0.09437646796285573
ACH-000348,-0.18580509324468525
ACH-000350,-0.17830485941321303
ACH-000352,-0.3065555133667697
ACH-000356,-0.3075657492365685
ACH-000361,0.03903671718079915
ACH-000362,-0.014625925500655475
ACH-000363,-0.17625014990948284
ACH-000364,-0.2652503336861578
ACH-000365,-0.3221425049760388
ACH-000366,-0.1629450361280579
ACH-000368,-0.05651169493294445
ACH-000374,-0.15801728531855894
ACH-000375,-0.11319801321351307
ACH-000376,-0.07093377872572945
ACH-000381,-0.3417729977632216
ACH-000383,-0.24251821034762502
ACH-000387,-0.2019440600082741
ACH-000389,-0.29576430470120085
ACH-000390,-0.28824748120706656
ACH-000393,-0.13855422559910113
ACH-000395,0.008020528365882722
ACH-000396,-0.3168753647160107
ACH-000397,-0.2761556862105876
ACH-000401,-0.2328032815378471
ACH-000402,-0.2315663529841522
ACH-000403,-0.2980094198086961
ACH-000404,0.0594505394009108
ACH-000406,-0.17626787555434972
ACH-000407,-0.05448734584469755
ACH-000408,-0.15698316887524322
ACH-000410,-0.2184735891579622
ACH-000411,-0.30851071175576344
ACH-000414,-0.2758126301523301
ACH-000415,-0.4072093305998553
ACH-000416,-0.2734644007106477
ACH-000420,-0.08776586300002821
ACH-000421,-0.21640007480148
ACH-000424,-0.3574026887203505
ACH-000425,-0.16037586403070075
ACH-000426,-0.1896991172261548
ACH-000427,-0.21606783444508865
ACH-000433,0.027830502852647404
ACH-000435,-0.2870746117673121
ACH-000436,-0.20993277710232933
ACH-000444,-0.2869499755205511
ACH-000445,-0.17588288471823496
ACH-000448,-0.23850527228950225
ACH-000450,-0.17644732454789838
ACH-000452,-0.246578196933857
ACH-000454,-0.2031144481321384
ACH-000458,-0.3888799912481739
ACH-000459,-0.2260317704526097
ACH-000460,-0.16920579012408474
ACH-000461,0.04643669468084432
ACH-000463,-0.3037293083307168
ACH-000464,-0.17299528535378444
ACH-000466,-0.2658001116223893
ACH-000467,-0.22567928152507266
ACH-000468,-0.3551983065683443
ACH-000469,-0.28187120475401395
ACH-000470,-0.07478155729970874
ACH-000471,-0.2920248899764407
ACH-000472,-0.2426059348351577
ACH-000473,-0.2279621234076326
ACH-000475,-0.20589739203180654
ACH-000476,-0.0683248817742266
ACH-000477,-0.20385847959096265
ACH-000479,-0.226561208266442
ACH-000480,-0.26806738582864115
ACH-000481,-0.2089663024035867
ACH-000483,-0.2580092303011813
ACH-000484,-0.1490181316491852
ACH-000485,-0.2824704558509584
ACH-000486,-0.11728823440280114
ACH-000487,-0.10220962883484766
ACH-000488,-0.18990700555316292
ACH-000490,-0.24568471840755016
ACH-000491,-0.3918234025155289
ACH-000495,-0.031823457031061826
ACH-000496,-0.2731475383480476
ACH-000499,-0.3954925672289013
ACH-000500,-0.5382147872766854
ACH-000502,-0.2686574757532673
ACH-000503,-0.05949723540085941
ACH-000505,-0.2478453793480493
ACH-000507,-0.2293882584604835
ACH-000510,-0.27716259351175343
ACH-000511,-0.2661900704944687
