,TIPRL (261726)
ACH-000004,-0.3650562500525385
ACH-000005,-0.342687778661651
ACH-000007,-0.6393136197861173
ACH-000009,-0.7098200175116202
ACH-000011,-0.6959326066382682
ACH-000012,-0.6838208844016225
ACH-000013,-0.5497964610233185
ACH-000014,-0.5667650536570172
ACH-000015,-0.3536045231105831
ACH-000017,-0.4367198854906576
ACH-000018,-0.4688760883987626
ACH-000019,-0.5946449168600265
ACH-000021,-0.3814136444063901
ACH-000022,-0.6060840540308752
ACH-000025,-0.5395618553870143
ACH-000028,-0.7857942700950441
ACH-000030,-0.21847915883714364
ACH-000035,-0.08173646362305431
ACH-000036,-0.6477010123977135
ACH-000037,-0.3000166790971816
ACH-000039,-0.3737767904477917
ACH-000040,-0.4102567954978111
ACH-000041,-0.4923159735374565
ACH-000042,-0.5103976020675414
ACH-000045,-0.1907555816573648
ACH-000047,-0.3354374830526905
ACH-000052,-0.7129249435881654
ACH-000053,-0.3728953837697851
ACH-000054,-0.3091986290137345
ACH-000055,-0.6294939829726276
ACH-000060,-0.2221086812964228
ACH-000067,-0.19653323993895186
ACH-000070,-0.4474643260284235
ACH-000075,-0.3547836793496679
ACH-000078,-0.25241251976236057
ACH-000082,-0.3508098205306729
ACH-000085,-0.9003877303760325
ACH-000086,-0.38866935700230987
ACH-000087,-0.4329277954364655
ACH-000092,-0.5113676501805632
ACH-000095,-0.23332489178534244
ACH-000097,-0.654139761681172
ACH-000098,-0.1551071696233097
ACH-000099,-0.3852502001482688
ACH-000108,-0.4242238855664863
ACH-000113,-0.2299660703921839
ACH-000116,-0.4866774194210315
ACH-000118,-0.6786239826737783
ACH-000120,-0.3996020368935906
ACH-000123,-0.43147391420322223
ACH-000127,-0.3118850202837405
ACH-000128,-0.18285156708733244
ACH-000132,-0.3989130024042022
ACH-000133,-0.5687655875429445
ACH-000137,-0.293200790784765
ACH-000138,-0.3221711072662107
ACH-000142,-0.33759437176129997
ACH-000143,-0.2797971605715909
ACH-000146,-0.3641728697622196
ACH-000148,-0.6134673484740151
ACH-000150,-0.1975792392949908
ACH-000152,-0.5577951468909382
ACH-000153,-0.5378490266935666
ACH-000159,-0.5811122538411223
ACH-000160,-0.18598437665713466
ACH-000163,-0.7681808469666402
ACH-000167,-0.4698742458423588
ACH-000168,-0.3770832842270134
ACH-000169,-0.3209108443331436
ACH-000178,-0.5080703392233247
ACH-000183,-0.3158548475346387
ACH-000188,-0.36669248179465536
ACH-000189,-0.4792235667313015
ACH-000190,-0.4993902294489741
ACH-000198,-0.6020903498558416
ACH-000203,-1.0827902882435805
ACH-000204,-0.6812265000173732
ACH-000206,-0.27242247679213777
ACH-000207,-0.2640458173171913
ACH-000208,-0.4495947091937787
ACH-000210,-0.4680533819387517
ACH-000211,-0.9068534312506892
ACH-000215,-0.6080586367707249
ACH-000221,-0.3149207055383991
ACH-000222,-0.7109346001768926
ACH-000223,-0.7558651675489446
ACH-000226,-0.33831724835703875
ACH-000227,-0.1610194293803787
ACH-000228,-0.3860054366310445
ACH-000231,-0.35649657837064863
ACH-000232,-0.10932820741025123
ACH-000233,-0.3203775209865093
ACH-000234,-0.4344274566243314
ACH-000235,-0.5453544053932474
ACH-000237,-0.18044486926655773
ACH-000238,-0.3211464635721425
ACH-000242,-0.3365150659389855
ACH-000243,-0.7539970410960324
ACH-000244,-0.6759565297505494
ACH-000246,-0.4151058035060126
ACH-000248,-0.5701950254298879
ACH-000250,-0.5313924719437083
ACH-000251,-0.5462183990395985
ACH-000252,-0.3909963194577085
ACH-000253,-0.638064727054672
ACH-000255,-0.3058615210704283
ACH-000256,-0.4351874594972427
ACH-000257,-0.2836026507115414
ACH-000258,-0.6672737886108993
ACH-000259,-0.18714144696516485
ACH-000260,-0.435363335060178
ACH-000261,-0.02109037726468084
ACH-000262,-0.4084829668840079
ACH-000263,-0.3131723560240965
ACH-000264,-0.5724715515348966
ACH-000265,-0.32885638317360666
ACH-000266,-0.20344362354334
ACH-000272,-0.4210210869924529
ACH-000274,-0.20959098218318672
