,EFHC1 (114327)
ACH-000004,-0.2603146301399862
ACH-000005,-0.046427817373346274
ACH-000007,-0.07237449576548298
ACH-000009,-0.16160856563864034
ACH-000011,-0.030376738987686162
ACH-000012,-0.3067301227704965
ACH-000013,-0.24894581213561856
ACH-000014,-0.2731517520723377
ACH-000015,-0.19122723865504032
ACH-000017,-0.2001898129265536
ACH-000018,-0.29151158807893107
ACH-000019,-0.33897696354804296
ACH-000021,-0.1916196200280212
ACH-000022,-0.15364526507689108
ACH-000025,-0.19415121608065236
ACH-000028,-0.13519565453113933
ACH-000030,-0.1403676539819028
ACH-000035,-0.2952736031310636
ACH-000036,-0.2133149782800659
ACH-000037,-0.10654747685189384
ACH-000039,-0.2322324784539385
ACH-000040,-0.2001618174404156
ACH-000041,-0.3096594981975855
ACH-000042,-0.19803688240022632
ACH-000045,-0.024399503026220203
ACH-000047,-0.34333088362265884
ACH-000052,-0.41897631863750656
ACH-000053,-0.10081412996537632
ACH-000054,-0.19638638178998333
ACH-000055,0.032306401709209266
ACH-000060,-0.37657209567101824
ACH-000067,-0.19684344943927773
ACH-000070,-0.16801666730642262
ACH-000075,-0.2673843169955944
ACH-000078,-0.1125414526341617
ACH-000082,-0.15003040808283266
ACH-000085,-0.40330148729820253
ACH-000086,-0.2253431211495179
ACH-000087,-0.4269207724165104
ACH-000092,-0.09890103005492797
ACH-000095,-0.07638795982594893
ACH-000097,-0.20654027853792006
ACH-000098,-0.27940696146040983
ACH-000099,-0.18584543363369865
ACH-000108,-0.2615153173539909
ACH-000113,-0.17754899542918298
ACH-000116,-0.17046401006539927
ACH-000118,-0.15521099445416472
ACH-000120,-0.2462766042603639
ACH-000123,-0.300257338549373
ACH-000127,-0.16580603059787985
ACH-000128,-0.2310834789097099
ACH-000132,-0.08546376842394059
ACH-000133,-0.19299624053876616
ACH-000137,-0.12327037191480672
ACH-000138,-0.10367495568695953
ACH-000142,-0.1015680292623985
ACH-000143,-0.3566075027767734
ACH-000146,-0.22344570641391384
ACH-000148,-0.1104736568361054
ACH-000150,-0.054062018599404814
ACH-000152,-0.19893829007982328
ACH-000153,-0.09693797031562708
ACH-000159,-0.2280519904121179
ACH-000160,-0.08701538753634247
ACH-000163,-0.2039388468708573
ACH-000167,-0.056508330106895675
ACH-000168,-0.3750826636531615
ACH-000169,-0.18743581269618664
ACH-000178,-0.1874527234996005
ACH-000183,-0.3649704292246195
ACH-000188,-0.2427855240155935
ACH-000189,0.1429118772575344
ACH-000190,-0.3622781379180961
ACH-000198,-0.3068731228562927
ACH-000203,-0.14945805381364896
ACH-000204,-0.1591571977049776
ACH-000206,-0.2902726888006774
ACH-000207,-0.3232251306028348
ACH-000208,-0.2794797096027101
ACH-000210,-0.2648844775347895
ACH-000211,-0.2345378109587645
ACH-000215,-0.15660801512772518
ACH-000221,-0.14546036870026274
ACH-000222,-0.3563895712993796
ACH-000223,-0.11150974049445338
ACH-000226,-0.1780629826590035
ACH-000227,-0.14033979247787318
ACH-000228,-0.08494126097484746
ACH-000231,-0.2666746644546807
ACH-000232,-0.12401496474941337
ACH-000233,-0.1375876152057013
ACH-000234,-0.19068779167586486
ACH-000235,-0.18781935670372332
ACH-000237,-0.20742763490816266
ACH-000238,-0.2035093529881596
ACH-000242,-0.13398259390884878
ACH-000243,-0.12634529840736533
ACH-000244,-0.15858571068318422
ACH-000246,-0.16380950161002392
ACH-000248,-0.3037466096108364
ACH-000250,-0.1311647870720695
ACH-000251,-0.06373904981435738
ACH-000252,-0.2121361274612628
ACH-000253,-0.17935525390477733
ACH-000255,-0.1183613199478834
ACH-000256,-0.3076156153059337
ACH-000257,-0.15722292490534198
ACH-000258,-0.10842516249237454
ACH-000259,-0.13286636633365256
ACH-000260,-0.07348651440017204
ACH-000261,-0.20669746972602507
ACH-000262,0.24925521761806754
ACH-000263,0.2543259001852322
ACH-000264,-0.24379389967003176
ACH-000265,-0.22973513540680085
ACH-000266,-0.164840629550666
ACH-000272,-0.2007382358318628
ACH-000274,-0.16393274437311825
ACH-000277,-0.10524829369406916
ACH-000278,-0.14048475596557464
ACH-000279,-0.2797049615981935
ACH-000280,-0.28825774511168745
ACH-000281,-0.19935061672599008
ACH-000288,-0.2041912248032812
ACH-000291,-0.1365398395309925
ACH-000293,-0.4453861890769457
ACH-000294,-0.1530064936523303
ACH-000295,0.0017522586593217634
ACH-000296,-0.272735669516525
ACH-000302,-0.18582927100363625
ACH-000304,-0.02166969887596143
ACH-000307,-0.3701495648678085
ACH-000308,-0.13240562327595834
ACH-000310,-0.07923277489450334
ACH-000311,-0.09590238217928602
ACH-000312,-0.14330455713551196
ACH-000315,-0.4597233802431445
ACH-000316,-0.2587476250010307
ACH-000317,-0.523125679291918
ACH-000318,-0.2364074429559876
ACH-000319,-0.05646713826977547
ACH-000320,-0.1589928166619711
ACH-000322,0.0815232798238071
ACH-000323,-0.07226655328014256
ACH-000324,-0.14547401674799365
ACH-000329,-0.06631165629946865
ACH-000330,-0.16475304461396714
ACH-000331,-0.1325107140908615
ACH-000332,-0.17409365797179355
ACH-000334,-0.1881918860037637
ACH-000335,0.011909831375239028
ACH-000336,-0.3796211384420675
ACH-000337,-0.5205552943222841
ACH-000338,-0.32984542205240464
ACH-000339,-0.2103999629974527
ACH-000341,-0.254652667378476
ACH-000348,-0.08161519915481655
ACH-000350,-0.14684801840611422
ACH-000352,-0.18536420236752407
ACH-000356,-0.3147036722806905
ACH-000361,-0.2274244542704323
ACH-000362,-0.27301254625683863
ACH-000363,-0.19501008912614154
ACH-000364,-0.3272456332741755
ACH-000365,-0.2010038981131446
ACH-000366,-0.08315677835478155
ACH-000368,-0.16864621856318374
ACH-000374,-0.399513234092748
ACH-000375,-0.20866865871008286
ACH-000376,-0.2648988778477505
ACH-000381,-0.37510951269889387
ACH-000383,-0.15972620874526525
ACH-000387,-0.18855562594222172
ACH-000389,-0.23521952175444366
ACH-000390,-0.14434490306049122
ACH-000393,-0.32042809491434593
ACH-000395,-0.1365751739576231
ACH-000396,-0.20885503860527355
ACH-000397,-0.10049878691162732
ACH-000401,-0.4451220607873766
ACH-000402,-0.17997503673312654
ACH-000403,-0.2750922061390272
ACH-000404,-0.30562925337119506
ACH-000406,-0.14965902284899232
ACH-000407,-0.17612122310218686
ACH-000408,-0.1803887526376418
ACH-000410,-0.19779069212243824
ACH-000411,-0.08287499769129868
ACH-000414,-0.15522770147112813
ACH-000415,-0.30711269784647105
ACH-000416,-0.15334410512563024
ACH-000420,0.06118184487235497
ACH-000421,-0.20539642838067387
ACH-000424,-0.12060084887509233
ACH-000425,-0.15140397268020034
ACH-000426,-0.28549250454546504
ACH-000427,0.09943790714807776
ACH-000433,-0.25031190326485153
ACH-000435,0.2894887752316965
ACH-000436,0.013327002682668862
ACH-000444,0.039028761671644215
ACH-000445,-0.180837711220824
ACH-000448,-0.1677739335179451
ACH-000450,-0.26429811234382783
ACH-000452,-0.16177409077495472
ACH-000454,-0.13557393915089372
ACH-000458,-0.22745907572193666
ACH-000459,-0.06717966606764175
ACH-000460,-0.17746669611627386
ACH-000461,-0.1853910739560937
ACH-000463,-0.22789861306796946
ACH-000464,-0.036379325266993015
ACH-000466,-0.2290872372551324
ACH-000467,-0.006235134381457914
ACH-000468,-0.22382825440745935
ACH-000469,-0.2215256846378257
ACH-000470,-0.06889918549087792
ACH-000471,-0.3150976939717293
ACH-000472,-0.09748801507738973
ACH-000473,-0.1799433067184193
ACH-000475,-0.17384702390657444
ACH-000476,-0.15970413310636344
ACH-000477,-0.24968921174244454
ACH-000479,-0.13111226523815395
ACH-000480,-0.13892554867544973
ACH-000481,-0.33858241910898235
ACH-000483,-0.01397435289765132
ACH-000484,0.018706636919030496
ACH-000485,-0.12695650321670066
ACH-000486,-0.2318456728154099
ACH-000487,-0.3562221088977421
ACH-000488,-0.29554786785397463
ACH-000490,-0.20835956526709096
ACH-000491,-0.2495067605480853
ACH-000495,-0.17154446124655665
ACH-000496,-0.28554354364179807
ACH-000499,-0.2179031607829897
ACH-000500,-1.004774869939548
ACH-000502,-0.16526658735846625
ACH-000503,-0.016577901815683742
ACH-000505,-0.16360216461338328
ACH-000507,-0.24974617624847684
ACH-000510,-0.19163670617034634
ACH-000511,-0.030595586117667987
ACH-000512,-0.24839292018931325
ACH-000516,-0.21047769783541206
ACH-000517,-0.1940400030697884
ACH-000518,-0.03735648617298995
ACH-000520,-0.18690805362704052
ACH-000521,-0.17954301871618958
ACH-000522,-0.15765953956830436
ACH-000524,-0.17986824479238167
ACH-000527,-0.12203021604107367
ACH-000528,-0.1137988060341768
ACH-000537,-0.2836310045321749
ACH-000541,-0.2597126239872773
ACH-000542,-0.19839521346990974
ACH-000544,-0.33453985241924217
ACH-000545,-0.13814755058821707
ACH-000547,-0.197108588734208
ACH-000548,-0.01579303499067151
ACH-000549,-0.2311375835471399
ACH-000550,-0.15079576999374772
ACH-000552,-0.34480682100106796
ACH-000556,-0.09775602194965367
ACH-000557,-0.16214142504184856
ACH-000569,-0.19534066907676065
ACH-000570,-0.2077221609628524
ACH-000571,-0.22784641605365344
ACH-000573,-0.18243314320964604
ACH-000576,-0.20811723269580454
ACH-000579,-0.09461165619024972
ACH-000580,-0.07011175616025749
ACH-000584,-0.10819173239095653
ACH-000585,-0.12497709651539585
ACH-000588,-0.051700884217407365
ACH-000589,-0.10811061465382912
ACH-000591,-0.207524565341275
ACH-000593,-0.21965702580171664
ACH-000600,-0.18673147853796868
ACH-000601,-0.13485981529476931
ACH-000605,-0.02294700953579932
ACH-000606,-0.14653432715244574
ACH-000608,-0.1775799136554195
ACH-000614,-0.4044371060598058
ACH-000616,-0.27165339017244045
ACH-000618,-0.061577440908829786
ACH-000619,-0.3242436932155412
ACH-000620,-0.13808559488068278
ACH-000621,-0.2986628092541062
ACH-000622,-0.3344854035452106
ACH-000623,-0.18853025520201427
ACH-000624,-0.2236646676037493
ACH-000627,-0.3002972817930569
ACH-000630,-0.2477970385985878
ACH-000631,-0.5454886364156927
ACH-000632,-0.19376209385460666
ACH-000633,-0.192367235128575
ACH-000637,-0.05509619563491137
ACH-000638,-0.3076262801665101
ACH-000646,-0.09076413407851516
ACH-000647,-0.22139209728021086
ACH-000648,-0.17770405261324576
ACH-000649,-0.26580757036536323
ACH-000651,-0.2846034778433146
ACH-000652,-0.4719351582667416
ACH-000653,-0.2079158806267479
ACH-000657,-0.24631566948359604
ACH-000658,-0.1757243317339686
ACH-000661,-0.22299803474917645
ACH-000662,0.18225947131602796
ACH-000663,-0.26728399682255644
ACH-000665,-0.1951332415704592
ACH-000671,-0.3766546785076254
ACH-000672,-0.15552638927565704
ACH-000673,-0.2606551418252224
ACH-000676,-0.14768204117224154
ACH-000677,-0.002920859722466793
ACH-000681,-0.17974590760451178
ACH-000683,-0.2815571367295033
ACH-000684,-0.32595562181409105
ACH-000688,-0.2583653743148924
ACH-000693,-0.1702397693842664
ACH-000694,-0.19465953641182704
ACH-000695,-0.27416601770507665
ACH-000696,-0.11763409860986937
ACH-000697,-0.13863702867705482
ACH-000699,-0.3136673256636653
ACH-000701,-0.06639000891301244
ACH-000706,-0.20669216969743387
ACH-000711,-0.23886352026084484
ACH-000713,-0.5235267007336974
ACH-000714,-0.15887832908535632
ACH-000718,-0.13419179409762252
ACH-000720,-0.16495296767821474
ACH-000721,-0.25672418211167125
ACH-000724,-0.2706284032873633
ACH-000725,-0.1870825538662544
ACH-000732,-0.292401571354426
ACH-000734,-0.2553357216401701
ACH-000735,-0.2683650433908272
ACH-000736,-0.3006049515953717
ACH-000738,-0.22056544149544596
ACH-000746,-0.011778460198195846
ACH-000747,-0.1318206340468719
ACH-000748,-0.26638042137164264
ACH-000753,-0.22760322739076785
ACH-000756,-0.2404173031992668
ACH-000757,-0.4609366071492579
ACH-000758,-0.2518047056254926
ACH-000760,-0.1016363944200118
ACH-000762,-0.2800565419600987
ACH-000763,-0.19186633454052668
ACH-000764,-0.4681037977888924
ACH-000765,-0.2747139441154033
ACH-000766,-0.1639133291976852
ACH-000767,-0.27608017574944965
ACH-000768,-0.022851281003408296
ACH-000769,-0.2456842244113717
ACH-000770,-0.14044662599479674
ACH-000771,-0.3137732698676644
ACH-000773,-0.23826377308226146
ACH-000776,0.11436571813730245
ACH-000777,-0.19626702168883328
ACH-000778,-0.07836975259658946
ACH-000781,-0.2040842347439619
ACH-000782,-0.07206832494580108
ACH-000783,-0.16257555763325104
ACH-000784,-0.16615863645347045
ACH-000785,-0.2520011513379943
ACH-000787,-0.13513000724573468
ACH-000788,-0.11488701476097955
ACH-000791,-0.09322689211159936
ACH-000792,-0.2122097261809796
ACH-000794,-0.1794220877984178
ACH-000796,-0.06725418588817654
ACH-000798,0.043121191489763566
ACH-000799,-0.13358809585915504
ACH-000800,-0.03588548142256301
ACH-000802,-0.23777695457857595
ACH-000804,-0.053428636269699216
ACH-000805,-0.08416329347607404
ACH-000809,-0.1428848173514925
ACH-000810,-0.040757840989821874
ACH-000811,-0.274678205157532
ACH-000817,-0.026653911964327967
ACH-000819,-0.2396424564510809
ACH-000820,-0.21638625953732912
ACH-000821,-0.20389961694129666
ACH-000822,-0.17514021298567542
ACH-000823,-0.16140614642254358
ACH-000824,-0.1567825200323267
ACH-000827,-0.31359378354620443
ACH-000829,-0.19609596149333536
ACH-000831,-0.32693935780118144
ACH-000832,-0.27301043121875634
ACH-000833,-0.18970378751630115
ACH-000834,-0.2893434377941048
ACH-000835,-0.1663212601299956
ACH-000836,-0.19949086974561334
ACH-000837,-0.1677645709960555
ACH-000838,-0.1303102396168539
