,PPM1J (333926)
ACH-000004,-0.09546651953369398
ACH-000005,-0.06010428573283905
ACH-000007,-0.3381620091154892
ACH-000009,-0.1866510171860784
ACH-000011,-0.18253960110222814
ACH-000012,-0.4242488025356285
ACH-000013,-0.3729608528003681
ACH-000014,-0.2242409368383321
ACH-000015,-0.25578532822669325
ACH-000017,-0.2478795921469141
ACH-000018,-0.1850898893491582
ACH-000019,-0.2253135204975179
ACH-000021,-0.16109420765172236
ACH-000022,-0.26454393803827103
ACH-000025,-0.5719124304826638
ACH-000028,-0.3666019464773441
ACH-000030,-0.3008835672137473
ACH-000035,-0.4212964646598097
ACH-000036,-0.16039736514074707
ACH-000037,-0.14798052202230194
ACH-000039,-0.2639987639616654
ACH-000040,-0.2683328719531303
ACH-000041,-0.1646694592252184
ACH-000042,-0.17450400440170474
ACH-000045,-0.1273974376466711
ACH-000047,-0.3002341902152702
ACH-000052,-0.2162571277612264
ACH-000053,-0.1818407257718271
ACH-000054,-0.5468410195334743
ACH-000055,-0.29238998275608885
ACH-000060,-0.26996855602998
ACH-000067,-0.20258988475583026
ACH-000070,-0.21712504226728951
ACH-000075,-0.2941515766616197
ACH-000078,-0.3068073326483736
ACH-000082,-0.21310742327016055
ACH-000085,-0.3415112991757412
ACH-000086,-0.4665871679011866
ACH-000087,-0.22984784602688346
ACH-000092,-0.4105058655868417
ACH-000095,-0.13323604804330474
ACH-000097,-0.1419764295966633
ACH-000098,-0.08911133033964777
ACH-000099,-0.22247844730600605
ACH-000108,-0.21526943905940504
ACH-000113,-0.10826054967783964
ACH-000116,-0.14626055246231665
ACH-000118,-0.19419586414633916
ACH-000120,-0.03907700454868759
ACH-000123,-0.36041560463000377
ACH-000127,-0.2392391892929065
ACH-000128,-0.1973825419744917
ACH-000132,-0.19905960700880287
ACH-000133,-0.3020126376856162
ACH-000137,-0.30207353172325163
ACH-000138,-0.07298780666286812
ACH-000142,-0.3508788865701849
ACH-000143,-0.3099694537565326
ACH-000146,-0.162753591947965
ACH-000148,-0.2800675496710023
ACH-000150,-0.17681086885027164
ACH-000152,-0.3867344882976749
ACH-000153,0.21024760531169465
ACH-000159,-0.22984706467764646
ACH-000160,-0.12521692464304476
ACH-000163,-0.039198949237958775
ACH-000167,-0.14850387692276915
ACH-000168,-0.1966866923076556
ACH-000169,-0.14971510798317386
ACH-000178,-0.049481414457095335
ACH-000183,-0.22378119765091908
ACH-000188,-0.21683407377709005
ACH-000189,-0.26723923191705
ACH-000190,-0.18104392238164935
ACH-000198,-0.06677921265684962
ACH-000203,-0.12083378802020217
ACH-000204,-0.07440187441729827
ACH-000206,-0.3105141202196585
ACH-000207,-0.3852958410391438
ACH-000208,-0.43081065728633294
ACH-000210,-0.12884450507930484
ACH-000211,-0.24691954897868465
ACH-000215,-0.17676987017165965
ACH-000221,-0.3494016327722299
ACH-000222,-0.017248690187115768
ACH-000223,-0.3155680316127433
ACH-000226,-0.281520030517492
ACH-000227,-0.3890091023759436
ACH-000228,-0.21408991609836567
ACH-000231,-0.3513350446213731
ACH-000232,-0.3176621178069524
ACH-000233,-0.17491818194746322
ACH-000234,-0.10857042874732176
ACH-000235,-0.21250205251261087
ACH-000237,-0.2479461527009293
ACH-000238,-0.2816474284097527
ACH-000242,-0.36369942975837255
ACH-000243,-0.264253754718405
ACH-000244,-0.35967475302834473
ACH-000246,-0.2406509097085075
ACH-000248,-0.20348312451763875
ACH-000250,-0.27028683468827713
ACH-000251,-0.08175465267685797
ACH-000252,-0.2348873558437487
ACH-000253,-0.17981398844912744
ACH-000255,-0.18876595569788124
ACH-000256,-0.03696032019486618
ACH-000257,-0.20969091011800373
ACH-000258,-0.13183450657320225
ACH-000259,-0.30070771670419083
ACH-000260,-0.12574080301389992
ACH-000261,-0.2422201002722669
ACH-000262,-0.09818555371893413
ACH-000263,-0.1001521324910423
ACH-000264,-0.1655551587815567
ACH-000265,-0.27399139946454704
ACH-000266,-0.16791135414560054
ACH-000272,-0.258414695330588
ACH-000274,-0.2161701957244085
ACH-000277,-0.2707206416303574
ACH-000278,-0.25087570050248936
ACH-000279,-0.2018553725608957
ACH-000280,-0.2448159624657311
ACH-000281,-0.03137002887475149
ACH-000288,-0.26424117050998264
ACH-000291,-0.2416839526453213
ACH-000293,-0.1075117118739763
ACH-000294,-0.06303183617153847
ACH-000295,-0.18827349158035975
ACH-000296,-0.5095142778959973
ACH-000302,-0.185733924969336
ACH-000304,-0.3841426558875003
ACH-000307,-0.2450354377364633
ACH-000308,-0.20415003697192252
ACH-000310,-0.1758583107752718
ACH-000311,-0.24162854392143135
ACH-000312,-0.3117558798964004
ACH-000315,-0.4264881120657007
ACH-000316,-0.1817885136564519
ACH-000317,-0.38421560184232295
ACH-000318,-0.3571193121746376
ACH-000319,-0.1622854500683348
ACH-000320,-0.5572768274593773
ACH-000322,-0.09406696351049634
ACH-000323,-0.5341911082917301
ACH-000324,-0.1898300068977543
ACH-000329,-0.2941473593021101
ACH-000330,-0.19993633224598253
ACH-000331,-0.36237895469846776
ACH-000332,-0.15213190823268402
ACH-000334,0.011563588578866258
ACH-000335,-0.4541154165444222
ACH-000336,-0.05302460883226285
ACH-000337,-0.3212819342049258
ACH-000338,-0.35174222259291793
ACH-000339,-0.26731203999079856
ACH-000341,-0.16700850797184302
ACH-000348,-0.1970202631180865
ACH-000350,-0.1230829628076352
ACH-000352,-0.30108035060378
ACH-000356,-0.154813557184116
ACH-000361,-0.40088247602585214
ACH-000362,-0.12998855082558414
ACH-000363,-0.2213025337409348
ACH-000364,-0.08813840996434873
ACH-000365,-0.18886072771088305
ACH-000366,-0.292069580423466
ACH-000368,-0.2153646454940988
ACH-000374,-0.2721740828116376
ACH-000375,-0.2747993266423035
ACH-000376,-0.3151767523892108
ACH-000381,-0.3260010122793213
ACH-000383,-0.31315618205881485
ACH-000387,-0.23219239689894164
ACH-000389,-0.15210669686860598
ACH-000390,-0.3633642174169461
ACH-000393,-0.19062929867976489
ACH-000395,-0.3513996112680787
ACH-000396,-0.2126727681505671
ACH-000397,-0.2963011142836315
ACH-000401,-0.308556991336268
ACH-000402,-0.4318241294405345
ACH-000403,-0.18725233272800007
ACH-000404,-0.15000463760639174
ACH-000406,-0.19398790866771567
ACH-000407,-0.27897278097958444
ACH-000408,-0.2500591955851478
ACH-000410,-0.20740680734751588
ACH-000411,-0.11150458309683353
ACH-000414,-0.2515193649679754
ACH-000415,-0.4412908061584381
ACH-000416,-0.3163752875939559
ACH-000420,-0.0997677240524002
ACH-000421,-0.12575015457903127
ACH-000424,-0.5557447873468289
ACH-000425,-0.22494967978837133
ACH-000426,0.009511181622280006
ACH-000427,-0.2722120643202804
ACH-000433,-0.36717154771879024
ACH-000435,0.06704324443712684
ACH-000436,-0.12481797372199666
ACH-000444,-0.3613663714768348
ACH-000445,-0.4001867647388793
ACH-000448,-0.23854841944471766
ACH-000450,-0.4330502878475061
ACH-000452,-0.1948944446261594
ACH-000454,-0.39561695734435137
ACH-000458,-0.3499669601851925
ACH-000459,0.030297091855396783
ACH-000460,-0.09577953790761116
ACH-000461,-0.3009927612066717
ACH-000463,-0.1427830279552135
ACH-000464,-0.4048182861367841
ACH-000466,-0.3052976797605063
ACH-000467,-0.09432843914808214
ACH-000468,-0.3142933281476783
ACH-000469,-0.1412706509963763
