,QDPR (5860)
ACH-000004,0.04090371040444488
ACH-000005,0.37089827308162704
ACH-000007,0.03480173631378305
ACH-000009,0.02184649994689464
ACH-000011,0.13237363938824054
ACH-000012,0.10163559279137424
ACH-000013,0.11972462241904852
ACH-000014,0.2823134484495081
ACH-000015,0.06915974550205478
ACH-000017,0.11325589360301533
ACH-000018,0.2069251145745971
ACH-000019,0.068414248155215
ACH-000021,0.07570795345277517
ACH-000022,0.1834445804945616
ACH-000025,0.10391493936486157
ACH-000028,0.15643893486429172
ACH-000030,0.06719731373391999
ACH-000035,0.359612759130194
ACH-000036,0.08354541848467979
ACH-000037,0.08599848992172196
ACH-000039,0.0958875140155596
ACH-000040,0.0539176061347399
ACH-000041,-0.04446451053885672
ACH-000042,0.05459100032677882
ACH-000045,0.12038874625027055
ACH-000047,0.08052834781203387
ACH-000052,0.0958002348207886
ACH-000053,0.07520372088933247
ACH-000054,0.12967555868437794
ACH-000055,0.007541739692298573
ACH-000060,0.12599450046302274
ACH-000067,0.1684386150368461
ACH-000070,0.15525346297348913
ACH-000075,-0.24868192103232603
ACH-000078,0.07310134901238885
ACH-000082,0.1119908880497996
ACH-000085,0.1125200164048854
ACH-000086,0.16107463551560916
ACH-000087,0.13328376381366794
ACH-000092,0.1127575991243114
ACH-000095,-0.021833663363715568
ACH-000097,-0.0034167518440510703
ACH-000098,0.12066025811376495
ACH-000099,0.033919430987935865
ACH-000108,0.08270680208289494
ACH-000113,0.11506318065966195
ACH-000116,-0.0066729232296752145
ACH-000118,0.03853681903426035
ACH-000120,0.19882664396081934
ACH-000123,0.08609639560881101
ACH-000127,0.06473520453510624
ACH-000128,0.11501806921103665
ACH-000132,0.05538854729547735
ACH-000133,-0.08596097846581446
ACH-000137,0.04480779024823362
ACH-000138,0.0670744786174518
ACH-000142,0.17436485449699626
ACH-000143,0.22214326579386898
ACH-000146,0.08042568504584342
ACH-000148,0.048774741102183015
ACH-000150,0.03567797582789258
ACH-000152,0.2212591689713588
