,MZT2A (653784)
ACH-000004,-0.3440869598003337
ACH-000005,-0.1403578058679036
ACH-000007,-0.10194931455969417
ACH-000009,-0.4596318361681196
ACH-000011,-0.13129752955370302
ACH-000012,-0.26954574370331924
ACH-000013,-0.14680645257243718
ACH-000014,-0.22383684501208945
ACH-000015,-0.2977537600055212
ACH-000017,-0.10742589783611944
ACH-000018,-0.31876892186308164
ACH-000019,-0.18072363037608813
ACH-000021,-0.09943961606081
ACH-000022,-0.10713668970182244
ACH-000025,-0.31201423013192114
ACH-000028,-0.4064210161993194
ACH-000030,-0.17771770270880555
ACH-000035,-0.12873678761485535
ACH-000036,-0.15350508841361096
ACH-000037,-0.15900343388562582
ACH-000039,-0.28554225491523266
ACH-000040,-0.26236734365621195
ACH-000041,-0.4078132305070284
ACH-000042,-0.15921167448179752
ACH-000045,-0.5436491740106393
ACH-000047,-0.09714749041859803
ACH-000052,-0.3107402991280554
ACH-000053,-0.2612195818953875
ACH-000054,-0.35398834554830344
ACH-000055,-0.28968576007067365
ACH-000060,-0.1278252230941911
ACH-000067,-0.1847120054184153
ACH-000070,-0.03190395510363839
ACH-000075,-0.12217742511432204
ACH-000078,-0.3198163602804777
ACH-000082,-0.2678127857577474
ACH-000085,-0.3312271618378665
ACH-000086,-0.3479057062535006
ACH-000087,-0.3278937849929073
ACH-000092,-0.4453129137821223
ACH-000095,-0.2279766835714757
ACH-000097,-0.1941162578310138
ACH-000098,-0.3738520379608057
ACH-000099,-0.19311475763778813
ACH-000108,-0.10866935266538463
ACH-000113,-0.2692002141005264
ACH-000116,-0.10178901938611376
ACH-000118,-0.16065196977079005
ACH-000120,-0.5080075170413647
ACH-000123,-0.21894333772352725
ACH-000127,-0.28473598743816425
ACH-000128,-0.34688125003483944
ACH-000132,-0.2073283219677912
ACH-000133,-0.4473956232148724
ACH-000137,-0.34053103454489114
ACH-000138,-0.12501672716647588
ACH-000142,-0.21382319153183352
ACH-000143,-0.20736506796077164
ACH-000146,-0.23954541313028035
ACH-000148,-0.2587213360050005
ACH-000150,-0.17371373660075956
ACH-000152,-0.2742921118308876
ACH-000153,-0.3111245603568136
ACH-000159,-0.2791779877062206
ACH-000160,-0.263263316859249
ACH-000163,-0.4753244456825757
ACH-000167,-0.892491834160177
ACH-000168,-0.1879848864283525
ACH-000169,-0.23103991121799985
ACH-000178,-0.3041601214256772
ACH-000183,-0.20158622902609866
ACH-000188,-0.2730659785857927
ACH-000189,-0.3361740454132802
ACH-000190,0.007075594048182486
ACH-000198,-0.4300382995714243
ACH-000203,0.1634178870017483
ACH-000204,-0.1432719743953558
ACH-000206,-0.3056929298547596
ACH-000207,-0.11271294641296095
ACH-000208,-0.2432847676394587
ACH-000210,-0.31791232213353193
ACH-000211,-0.3965585648759557
ACH-000215,-0.22493159082376668
ACH-000221,-0.3146735113116543
ACH-000222,-0.19146430240738246
ACH-000223,-0.3841935670481617
ACH-000226,-0.16855467074532945
ACH-000227,-0.21790555940910364
ACH-000228,-0.2453832649242363
ACH-000231,-0.22171299048482299
ACH-000232,-0.28553932584030284
ACH-000233,-0.22671971714568026
ACH-000234,-0.2778301536372666
ACH-000235,-0.21975276060215834
ACH-000237,-0.4854809231744624
ACH-000238,-0.20299973422223475
ACH-000242,0.07023827807152118
ACH-000243,-0.2625351719061991
ACH-000244,-0.3896716492447233
ACH-000246,-0.13826117888622574
ACH-000248,-0.21915243170437052
ACH-000250,-0.20299287465884347
ACH-000251,-0.4827658843286122
ACH-000252,-0.3930466318314573
ACH-000253,-0.28693348599144564
ACH-000255,-0.2124580143682457
ACH-000256,-0.14584485502516026
ACH-000257,-0.21731532489604474
ACH-000258,-0.2869690968874909
ACH-000259,-0.2096634706303492
ACH-000260,-0.3120044097558169
ACH-000261,-0.1804104769741893
ACH-000262,-0.5142818853614658
ACH-000263,-0.3210087144144316
ACH-000264,-0.204710918284458
ACH-000265,-0.16858261243582312
ACH-000266,-0.2314504822249465
ACH-000272,-0.2816448018480642
ACH-000274,-0.27388189445186073
ACH-000277,-0.16590610525651325
ACH-000278,-0.1553592503903857
ACH-000279,-0.23760103970547305
ACH-000280,-0.13934651999912231
ACH-000281,-0.04601400369035095
ACH-000288,-0.43449232735258
ACH-000291,-0.3176031888564128
ACH-000293,-0.263011299847542
ACH-000294,-0.30504540703678
ACH-000295,-0.2887721530652176
ACH-000296,-0.2648292672320835
ACH-000302,-0.2776857912642948
ACH-000304,-0.27120084858058857
ACH-000307,-0.33328713545787464
ACH-000308,-0.39559233935449495
ACH-000310,-0.3742374726686649
ACH-000311,0.07313983210311792
ACH-000312,-0.10854197801839724
ACH-000315,-0.24616230099756825
ACH-000316,-0.31885314130796144
ACH-000317,-0.16545040069418102
ACH-000318,-0.3167185805140594
ACH-000319,-0.2374286958093316
ACH-000320,-0.4088911002109447
ACH-000322,-0.14697959325081136
ACH-000323,-0.2743941007592136
ACH-000324,-0.2953308344896864
ACH-000329,-0.3347594383049289
ACH-000330,-0.15565499170656766
ACH-000331,-0.3939503394677757
ACH-000332,-0.20657975635408016
ACH-000334,-0.3090633629825506
ACH-000335,-0.4303772888011049
ACH-000336,-0.4352753620806507
ACH-000337,-0.31759609852213605
ACH-000338,-0.3459275326803995
ACH-000339,-0.24498648022840944
ACH-000341,-0.27016589800722834
ACH-000348,-0.34067688477142605
ACH-000350,-0.10673764396370597
ACH-000352,-0.1113785063567665
ACH-000356,0.05113739524514965
ACH-000361,-0.19490991976165867
ACH-000362,-0.2973024376708778
ACH-000363,-0.2197653105380975
ACH-000364,-0.4665864697404503
ACH-000365,-0.15122707876392266
ACH-000366,-0.2905595724122649
ACH-000368,-0.11598911941543875
ACH-000374,-0.4081662739627323
ACH-000375,-0.1682430397146449
ACH-000376,-0.2512066268914764
ACH-000381,-0.08570553130145912
ACH-000383,-0.2192695177241981
ACH-000387,-0.23424823924132435
ACH-000389,-0.12615168307264504
ACH-000390,-0.2185405328505152
ACH-000393,-0.30827625005218634
ACH-000395,-0.4929605351395422
ACH-000396,-0.4355877310887485
ACH-000397,-0.3039237932020961
ACH-000401,-0.2795426630870461
ACH-000402,-0.2560361085593971
ACH-000403,-0.3658204970058049
ACH-000404,-0.5322717522859348
ACH-000406,-0.1877488777961377
ACH-000407,-0.07245386012730767
ACH-000408,-0.005171819230152048
ACH-000410,-0.2127841015850365
ACH-000411,-0.2316526092880358
ACH-000414,-0.1128098366199886
ACH-000415,-0.2776924385071313
ACH-000416,-0.3472715766424796
ACH-000420,-0.33453126252865273
ACH-000421,-0.1960350217246816
ACH-000424,-0.43580796621379
ACH-000425,-0.3942509220563672
ACH-000426,-0.302209824672383
ACH-000427,-0.3087625982518284
ACH-000433,-0.1303220716549359
ACH-000435,-0.3516613473798543
ACH-000436,-0.4330985245829374
