,PHAX (51808)
ACH-000004,-0.6258267003273006
ACH-000005,-0.8872230450212559
ACH-000007,-0.6191938618331433
ACH-000009,-0.7720663348384543
ACH-000011,-0.4332728119262716
ACH-000012,-0.8278884163464232
ACH-000013,-0.7653476302008515
ACH-000014,-0.7379393478036512
ACH-000015,-0.901520105924136
ACH-000017,-0.742609941556731
ACH-000018,-0.7810305002485903
ACH-000019,-0.4612307458527141
ACH-000021,-0.5281354289968453
ACH-000022,-0.6191691358308619
ACH-000025,-0.49173246292371103
ACH-000028,-0.5214708244588596
ACH-000030,-0.5950875238379877
ACH-000035,-0.5755648173669056
ACH-000036,-0.4453674727821321
ACH-000037,-0.7149447191254578
ACH-000039,-0.6363080621846922
ACH-000040,-0.6143689638679941
ACH-000041,-0.7607558503423383
ACH-000042,-0.893880174550058
ACH-000045,-0.7716762563370524
ACH-000047,-0.9455459185966616
ACH-000052,-0.7808860339304391
ACH-000053,-0.7657540142362028
ACH-000054,-0.8367148388559668
ACH-000055,-0.8894245460408375
ACH-000060,-0.7208080689349354
ACH-000067,-0.7011667597634678
ACH-000070,-0.4081859849449653
ACH-000075,-0.7031161784323993
ACH-000078,-0.8207454221228011
ACH-000082,-0.8597784205310379
ACH-000085,-0.8868265100248774
ACH-000086,-0.6835576810453651
ACH-000087,-0.44905020076128255
ACH-000092,-0.5900366108752921
ACH-000095,-0.6328006497482981
ACH-000097,-1.0319746936125482
ACH-000098,-0.4751256280689443
ACH-000099,-0.4856292967713575
ACH-000108,-0.8980400203413325
ACH-000113,-0.7196237920928482
ACH-000116,-1.1145851194241865
ACH-000118,-0.7271030157785441
ACH-000120,-0.7024246808389331
ACH-000123,-0.7070308136309599
ACH-000127,-0.5276355028607622
ACH-000128,-0.5694807866122955
ACH-000132,-0.6832281789723486
ACH-000133,-0.6319282084023728
ACH-000137,-0.8380010622489783
ACH-000138,-0.5974442507718657
ACH-000142,-0.5363199147789314
ACH-000143,-0.7879618687020354
ACH-000146,-0.7572746847164468
ACH-000148,-0.6828429653682846
ACH-000150,-0.5046786381291672
ACH-000152,-0.6940133900878419
ACH-000153,-0.6072211478896729
ACH-000159,-0.6079796354037766
ACH-000160,-0.5507386298427549
ACH-000163,-0.9924059395033544
